order,family,genus,species,sex.system,SCS,scs.notes,fem.2n,mal.2n,hap
Blattodea,Blattellidae,Agmoblatta,Agmoblatta_thaxteri,,XO,,26,25,13
Blattodea,Blattellidae,Amazonina,Amazonina_conspersa,,XO,,24,23,12
Blattodea,Blattellidae,Amazonina,Amazonina_n.sp.,,XO,,26,25,13
Blattodea,Blattellidae,Amazonina,Amazonina_n.sp.38B,,XO,,26,25,13
Blattodea,Blaberidae,Archimandrita,Archimandrita_tessellata,,XO,,46,45,23
Blattodea,Polyphagidae,Arenivaga,Arenivaga_investigata,,XO,,46,45,23
Blattodea,Blattellidae,Attaphila,Attaphila_fungicola,,XO,,34,33,17
Blattodea,Blaberidae,Blaberus,Blaberus_atropos,,XO,,74,73,37
Blattodea,Blaberidae,Blaberus,Blaberus_cranifer,,XO,,74,73,37
Blattodea,Blaberidae,Blaberus,Blaberus_discoidalis,,XO,,38,37,19
Blattodea,Blaberidae,Blaberus,Blaberus_giganteus,,XO,,74,73,37
Blattodea,Blaberidae,Blaberus,Blaberus_parabolicus,,XO,,40,39,20
Blattodea,Blattidae,Blatta,Blatta_orientalis,,XO,,48,47,24
Blattodea,Blattellidae,Blattella,Blattella_bisignata,,XO,,24,23,12
Blattodea,Blattellidae,Blattella,Blattella_germanica,,XO,,24,23,12
Blattodea,Blattellidae,Blattella,Blattella_lituricollis_lituricollis,,XO,,26,25,13
Blattodea,Blattellidae,Blattella,Blattella_sauteri,,XO,,24,23,12
Blattodea,Blattellidae,Blattella,Blattella_sp.C43T,,XO,,28,27,14
Blattodea,Blattellidae,Blattella,Blattella_sp.D,,XO,,30,29,15
Blattodea,Blattellidae,Blattella,Blattella_sp.E71A,,XO,,50,49,25
Blattodea,Blattellidae,Blattella,Blattella_vaga,,XO,,24,23,12
Blattodea,Blaberidae,Byrsotria,Byrsotria_fumigata,,XO,,48,47,24
Blattodea,Blaberidae,Capucina,Capucina_patula,,XO,,38,37,19
Blattodea,Blattellidae,Cariblatta,Cariblatta_lutea_minima,,XO,,26,25,13
Blattodea,Polyphagidae,Cryptocercus,Cryptocercus_punctulatus,gonochorous,XO, multivalent absent order listed as Dictyoptera,48,47,24
Blattodea,Polyphagidae,Cryptocercus,Cryptocercus_primarius,,XO, multivalent absent order listed as Dictyoptera,20,19,10
Blattodea,Polyphagidae,Cryptocercus,Cryptocercus_punctulatus,,XO, multivalent absent order listed as Dictyoptera,38,37,19
Blattodea,Polyphagidae,Cryptocercus,Cryptocercus_relictus,,XO, multivalent absent order listed as Dictyoptera,18,17,9
Blattodea,Blattidae,Cryptocercus,Cryptocercus_punctulatus,,XO,,40,39,20
Blattodea,Blattellidae,Dendroblatta,Dendroblatta_cnephaia,,XO,,32,31,16
