#Nodes with GAIN events with expectation above 0.5
N5: 0.640909
N6: 0.519916
Coptotermes_acinaciformis: 0.737663
N33: 0.597329
Neotermes_insularis: 4.67599
N40: 0.929098
Incisitermes_sp: 0.582304
Cryptotermes_queenslandis: 0.614155
Procryptotermes_australiensis: 4.1425
Cryptotermes_cynocephalus: 2.25218
N48: 1.48942
Stolotermes_sp: 0.626192
N50: 1.73934
Mastotermes_darwiniensis: 1.83306
Porotermes_adamsoni: 1.79299
Total number of gain events: 29.6646
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.71289
Schedorhinotermes_lamanianus: 1.70027
Bifiditermes_improbus: 2.2779
Cryptotermes_primus: 4.32282
Cryptotermes_brevis: 1.68872
Cryptotermes_domesticus: 4.37037
Kalotermes_flavicollis: 2.93325
N49: 2.19607
Stolotermes_sp: 1.81554
N50: 0.516002
Mastotermes_darwiniensis: 2.4518
Porotermes_adamsoni: 1.51088
Total number of loss events: 33.6886
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.890909
Mastotermes_darwiniensis: 0.872622
Total number of duplication events: 2.0352
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.24031	0.245823	6.02344e-013	0
N3	0.0378839	0.102642	1.09052e-014	0
N4	0.462013	0.167843	3.30043e-013	0
N5	0.640909	0.105287	8.47322e-016	0
N6	0.519916	0.0833791	1.35312e-019	0
N7	0.114383	0.0333431	2.56346e-030	0
N8	0.00110348	0.00108378	1.31855e-036	0
N9	0.0847768	0.0811606	9.10338e-037	0
N10	0.00957426	0.009445	2.62947e-037	0
Amitermes_darwini	0.0133318	0.0132027	0	0
Amitermes_germanus	0.0133318	0.0132027	0	0
N11	0.0011039	0.00109003	1.55205e-034	0
Amitermes_parvus	0.0364551	0.0362108	0	0
Drepanotermes_septentrionalis	0.0364551	0.0362108	0	0
N12	0.00467357	0.00973865	9.77368e-037	0
N13	0.0304452	0.0246247	6.41031e-031	0
N14	0.0344	0.0315843	1.2131e-032	0
Ephelotermes_melachoma	0.0238156	0.0235122	0	0
N15	0.00371337	0.00354562	2.89511e-036	0
Ephelotermes_taylori	0.0132035	0.0130679	0	0
Macrognathotermes_sunteri	0.0132035	0.0130679	0	0
Lophotermes_septentrionalis	0.101952	0.0988328	0	0
N16	0.129603	0.408207	1.79783e-030	0
Procubitermes_sp	0.000678936	1.71289	0	0
N17	0.279026	0.000627588	4.11925e-033	0
Tuberculitermes_bycanistes	0.00999139	0.000848196	0	0
Unguitermes_sp	0.00999139	0.000848196	0	0
N18	0.00532727	0.00351576	4.38975e-038	0
N19	0.0691067	0.0677576	1.76907e-035	0
Crenetermes_albotarsalis	0.052124	0.0513902	0	0
