#Nodes with GAIN events with expectation above 0.5
N5: 0.651294
N38: 0.577126
Neotermes_insularis: 0.572814
Cryptotermes_queenslandis: 0.806531
Incisitermes_sp: 1.0721
Procryptotermes_australiensis: 2.25269
Cryptotermes_cynocephalus: 2.05003
N48: 0.845836
N50: 1.318
Zootermopsis_angusticollis: 0.544086
Zootermopsis_nevadensis: 0.544086
Mastotermes_darwiniensis: 2.37393
Porotermes_adamsoni: 1.24885
Total number of gain events: 22.094
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.76632
Schedorhinotermes_lamanianus: 1.86891
N38: 1.06972
Bifiditermes_improbus: 1.6687
Cryptotermes_primus: 4.30525
Cryptotermes_brevis: 1.65932
Cryptotermes_domesticus: 4.0496
Kalotermes_flavicollis: 2.42952
N49: 1.8231
Stolotermes_sp: 2.65117
N50: 0.895341
Mastotermes_darwiniensis: 1.65767
Porotermes_adamsoni: 1.89491
Total number of loss events: 34.9262
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.792159
Mastotermes_darwiniensis: 0.999256
Total number of duplication events: 2.22218
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0819542	0.0853213	2.17921e-014	0
N3	0.130363	0.416047	1.3624e-014	0
N4	0.170306	0.141585	3.28827e-012	0
N5	0.651294	0.214264	2.58704e-014	0
N6	0.195922	0.0484746	1.44586e-020	0
N7	0.0657031	0.0369404	1.19046e-028	0
N8	0.000731315	0.000856255	4.65646e-035	0
N9	0.0863606	0.0848917	2.57374e-035	0
N10	0.0054582	0.005629	8.07178e-035	0
N11	0.0056619	0.0057622	6.0739e-037	0
Amitermes_darwini	0.00868906	0.00881555	0	0
Pericapritermes_sp	0.00868906	0.00881555	0	0
Amitermes_germanus	0.0250131	0.0252399	0	0
N12	0.00347047	0.00343305	3.10743e-033	0
Amitermes_parvus	0.0301361	0.0305711	0	0
Drepanotermes_septentrionalis	0.0301361	0.0305711	0	0
N13	0.00410747	0.0078022	9.7756e-035	0
N14	0.0533002	0.0479645	4.05893e-031	0
N15	0.00785219	0.00807026	3.82975e-033	0
Ephelotermes_melachoma	0.0377339	0.0380855	0	0
N16	0.00036272	0.000355037	3.41034e-036	0
Ephelotermes_taylori	0.035366	0.0357253	0	0
Macrognathotermes_sunteri	0.035366	0.0357253	0	0
Lophotermes_septentrionalis	0.0637332	0.0643029	0	0
N17	0.113445	0.342943	4.66564e-032	0
Procubitermes_sp	0.000582569	1.76632	0	0
N18	0.223037	0.0015469	1.22409e-032	0
Tuberculitermes_bycanistes	0.0158699	0.00309948	0	0
Unguitermes_sp	0.0158699	0.00309948	0	0
N19	0.009045	0.0076808	1.12038e-037	0
