#Nodes with GAIN events with expectation above 0.5
N4: 0.579569
N5: 0.87143
Neotermes_insularis: 1.98972
Cryptotermes_queenslandis: 0.995777
Procryptotermes_australiensis: 4.0881
Cryptotermes_cynocephalus: 1.95718
Incisitermes_sp: 1.06291
N48: 0.769022
Stolotermes_sp: 0.880804
Mastotermes_darwiniensis: 1.30206
Porotermes_adamsoni: 1.66838
Total number of gain events: 21.1892
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.88864
Schedorhinotermes_lamanianus: 1.9131
Bifiditermes_improbus: 2.42737
Cryptotermes_primus: 1.21368
Cryptotermes_brevis: 1.87433
Cryptotermes_domesticus: 4.34005
Kalotermes_flavicollis: 3.76012
N49: 4.3578
N50: 1.28044
Mastotermes_darwiniensis: 3.23935
Porotermes_adamsoni: 1.78252
Total number of loss events: 33.7286
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.998909
N50: 0.536807
Mastotermes_darwiniensis: 0.99972
Total number of duplication events: 2.57509
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.245498	0.385837	2.60411e-012	0
N3	0.11194	0.347388	7.99534e-014	0
N4	0.579569	0.0915859	7.31747e-010	0
N5	0.87143	0.162976	2.80219e-015	0
N6	0.0651597	0.0131736	3.93003e-024	0
N7	0.0315042	0.0186251	1.19349e-033	0
N8	0.00283115	0.0029805	5.62029e-038	0
N9	0.036559	0.035645	4.63745e-035	0
N10	0.0136911	0.0139126	4.81139e-034	0
Amitermes_darwini	0.0134129	0.0138107	0	0
Amitermes_germanus	0.0134129	0.0138107	0	0
N11	0.0116058	0.0119131	2.61889e-034	0
N12	0.00765369	0.00793349	3.16567e-034	0
Amitermes_parvus	0.00126687	0.00129909	0	0
Pericapritermes_sp	0.00126687	0.00129909	0	0
Drepanotermes_septentrionalis	0.013807	0.014119	0	0
N13	0.00628181	0.0102497	7.52132e-037	0
N14	0.0180887	0.0137634	9.56457e-038	0
N15	0.000629566	0.000587978	6.90037e-038	0
Ephelotermes_melachoma	0.0415079	0.0416123	0	0
N16	0.000561803	0.000519392	1.41473e-039	0
N17	0.0095078	0.00942304	1.76173e-038	0
N18	0.00866101	0.00888643	3.34784e-034	0
Ephelotermes_taylori	0.00022453	0.000230711	0	0
Microtermes_sp	0.00022453	0.000230711	0	0
Protermes_sp	0.0119864	0.012218	0	0
Macrognathotermes_sunteri	0.038405	0.0385518	0	0
Lophotermes_septentrionalis	0.0433964	0.0434592	0	0
