#Nodes with GAIN events with expectation above 0.5
N5: 0.561833
Coptotermes_acinaciformis: 0.756861
N33: 0.574638
N38: 0.601154
Bifiditermes_improbus: 0.500171
Neotermes_insularis: 0.791255
N41: 0.578354
Cryptotermes_queenslandis: 0.95197
Incisitermes_sp: 0.578568
Procryptotermes_australiensis: 3.25515
Cryptotermes_cynocephalus: 1.88052
N48: 0.892252
Glyptotermes_brevicornis: 0.53935
Glyptotermes_iridipennis: 0.53935
Stolotermes_sp: 1.0339
Mastotermes_darwiniensis: 1.7796
Porotermes_adamsoni: 2.11464
Total number of gain events: 26.2754
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N2: 0.880749
Procubitermes_sp: 1.83857
Coptotermes_acinaciformis: 0.614064
Schedorhinotermes_lamanianus: 2.14576
N38: 1.50773
Bifiditermes_improbus: 1.73002
Neotermes_insularis: 1.24239
N40: 1.08073
Cryptotermes_primus: 1.80968
Cryptotermes_brevis: 2.58357
Cryptotermes_domesticus: 2.10079
Kalotermes_flavicollis: 3.71017
N49: 4.82293
Stolotermes_sp: 0.562364
N50: 1.22314
Mastotermes_darwiniensis: 3.08558
Porotermes_adamsoni: 3.2425
Total number of loss events: 44.4842
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.999587
N50: 0.567303
Mastotermes_darwiniensis: 0.900305
Total number of duplication events: 2.93829
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.439842	0.880749	1.45008e-009	0
N3	0.0913334	0.392587	1.00852e-010	0
N4	0.331267	0.148877	1.25419e-008	0
N5	0.561833	0.21901	1.80761e-012	0
N6	0.224056	0.116356	1.79787e-016	0
N7	0.153692	0.156589	3.74692e-021	0
N8	0.00881946	0.010724	6.2998e-026	0
N9	0.0628396	0.0597496	3.7772e-029	0
N10	0.0944263	0.104067	2.99e-026	0
Amitermes_darwini	0.0393064	0.0466884	0	0
Amitermes_germanus	0.0393064	0.0466884	0	0
N11	0.0291961	0.0284706	5.1322e-025	0
Amitermes_parvus	0.13516	0.152908	0	0
Drepanotermes_septentrionalis	0.13516	0.152908	0	0
N12	0.0360488	0.045787	3.58809e-029	0
N13	0.0956512	0.0950509	6.09617e-026	0
N14	0.00587387	0.0074546	8.20298e-028	0
Ephelotermes_melachoma	0.0505493	0.0537632	0	0
N15	0.0105566	0.0118216	6.71037e-033	0
Ephelotermes_taylori	0.0241886	0.0261375	0	0
Macrognathotermes_sunteri	0.0241886	0.0261375	0	0
Lophotermes_septentrionalis	0.0744839	0.0792785	0	0
N16	0.154493	0.338279	1.19521e-027	0
Procubitermes_sp	0.0181623	1.83857	0	0
N17	0.159034	0.00177108	3.35983e-031	0
Tuberculitermes_bycanistes	0.0303218	0.00799617	0	0
Unguitermes_sp	0.0303218	0.00799617	0	0
N18	0.033085	0.0333604	1.01322e-026	0
N19	0.0230288	0.0249849	1.14691e-026	0
N20	0.030686	0.0307893	2.77881e-027	0
Crenetermes_albotarsalis	0.137663	0.151165	0	0
N21	0.0674837	0.0770609	5.63428e-027	0
Cubitermes_sp	0.0233833	0.0273084	0	0
Thoracotermes_macrothorax	0.0233833	0.0273084	0	0
N22	0.0996383	0.111179	6.56613e-030	0
N23	0.013598	0.0151105	4.61761e-033	0
Nasutitermes_graveolus	0.00771541	0.00826817	0	0
Nasutitermes_triodiae	0.00771541	0.00826817	0	0
N24	0.00457676	0.00536843	1.39318e-030	0
Nasutitermes_longipennis	0.0194977	0.0207713	0	0
Tumulitermes_pastinator	0.0194977	0.0207713	0	0
N25	0.193698	0.206768	2.50156e-026	0
N26	0.00661968	0.00862133	5.94255e-031	0
Microcerotermes_boreus	0.00533675	0.00582726	0	0
Pericapritermes_sp	0.00533675	0.00582726	0	0
Microcerotermes_nervosus	0.0204554	0.0229475	0	0
N27	0.216257	0.186736	3.07816e-019	0
N28	0.271261	0.311323	1.92509e-019	0
Macrotermes_bellicosus	0.0287954	0.0369883	0	0
Odontotermes_sp	0.0287954	0.0369883	0	0
