#Nodes with GAIN events with expectation above 0.5
N4: 0.647331
Cryptotermes_queenslandis: 0.953408
Incisitermes_sp: 0.836961
Cryptotermes_cynocephalus: 1.77968
Procryptotermes_australiensis: 3.40974
N47: 0.869841
Porotermes_adamsoni: 0.623601
Total number of gain events: 13.2345
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.9497
Schedorhinotermes_lamanianus: 2.01284
N37: 1.27214
Bifiditermes_improbus: 1.35327
Cryptotermes_primus: 0.507385
Cryptotermes_brevis: 2.33912
Cryptotermes_domesticus: 3.36501
Kalotermes_flavicollis: 3.41239
N48: 4.1906
N49: 2.65922
Mastotermes_darwiniensis: 2.08952
Porotermes_adamsoni: 0.876405
Total number of loss events: 29.8441
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.998402
N49: 0.772645
Mastotermes_darwiniensis: 0.999999
Total number of duplication events: 2.80894
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N37:ML=18 to Neotermes_insularis:ML=26  ProbOfChange = 1  sum expections= 0.378811
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 1	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0322419	0.113157	2.81465e-022	0
N3	0.175472	0.0148468	1.06383e-016	0
N4	0.647331	0.0628925	1.52921e-020	0
N5	0.015222	0.0155375	2.36998e-025	0
N6	0.0862444	0.00982156	1.74247e-027	0
N7	0.016279	0.0100328	3.30788e-031	0
N8	0.00848145	0.00856414	1.05043e-035	0
N9	0.0118408	0.0119257	2.95334e-039	0
N10	0.000316752	0.000433205	2.63575e-038	0
N11	0.000273558	0.000243171	5.82388e-040	0
N12	0.00740808	0.00742862	3.93656e-038	0
Amitermes_darwini	0.00271261	0.00287077	0	0
Amitermes_germanus	0.00271261	0.00287077	0	0
Pericapritermes_sp	0.0175031	0.0176818	0	0
Amitermes_parvus	0.0185639	0.0187122	0	0
Drepanotermes_septentrionalis	0.0214415	0.0217062	0	0
N13	0.00130223	0.00156357	1.52361e-035	0
N14	0.0076705	0.00722215	1.41454e-036	0
N15	0.00297433	0.00332748	6.89455e-040	0
Ephelotermes_melachoma	0.0129875	0.0131711	0	0
N16	7.75609e-005	6.84449e-005	1.85323e-038	0
Ephelotermes_taylori	0.0120348	0.0122276	0	0
Macrognathotermes_sunteri	0.0120348	0.0122276	0	0
Lophotermes_septentrionalis	0.024643	0.0251799	0	0
N17	0.0300251	0.0804874	2.83343e-032	0
Procubitermes_sp	7.4181e-005	1.9497	0	0
N18	0.0435338	0.000149818	9.69084e-034	0
Tuberculitermes_bycanistes	0.00848785	0.00199981	0	0
Unguitermes_sp	0.00848785	0.00199981	0	0
N19	0.00455174	0.00401689	9.88473e-035	0
N20	0.00555062	0.00548054	1.29291e-034	0
N21	0.0146439	0.015363	1.14683e-037	0
N22	0.000121442	0.000135829	7.67347e-036	0
Crenetermes_albotarsalis	0.0111965	0.0115003	0	0
Cubitermes_sp	0.0111965	0.0115003	0	0
Thoracotermes_macrothorax	0.0120347	0.0123529	0	0
N23	0.0161375	0.0169681	8.68342e-034	0
N24	0.00177443	0.00180521	1.9152e-038	0
Nasutitermes_graveolus	0.00583529	0.00601121	0	0
Nasutitermes_triodiae	0.00583529	0.00601121	0	0
N25	0.00166088	0.00168905	1.94921e-038	0
Nasutitermes_longipennis	0.00596544	0.00614396	0	0
Tumulitermes_pastinator	0.00596544	0.00614396	0	0
N26	0.0300068	0.0290037	7.16945e-035	0
Microcerotermes_boreus	0.0165061	0.0184764	0	0
Microcerotermes_nervosus	0.0165061	0.0184764	0	0
N27	0.0218843	0.0133739	1.10859e-028	0
N28	0.0275655	0.0268725	2.01471e-028	0
N29	0.0151394	0.0175171	9.26564e-031	0
Macrotermes_bellicosus	0.00817463	0.00918665	0	0
Odontotermes_sp	0.00817463	0.00918665	0	0
Pseudacanthotermes_militaris	0.0368148	0.0402046	0	0
