#Nodes with GAIN events with expectation above 0.5
N5: 0.543354
Pseudacanthotermes_militaris: 0.553906
Coptotermes_acinaciformis: 0.77606
N33: 0.59416
Neotermes_insularis: 2.09687
Cryptotermes_queenslandis: 0.972757
Cryptotermes_cynocephalus: 1.68052
Procryptotermes_australiensis: 3.17505
Incisitermes_sp: 1.06381
N48: 0.781125
Glyptotermes_brevicornis: 0.601777
Glyptotermes_iridipennis: 0.601777
Stolotermes_sp: 1.01311
Mastotermes_darwiniensis: 2.65653
Porotermes_adamsoni: 1.84503
Total number of gain events: 27.6398
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.7763
Pseudacanthotermes_militaris: 0.546505
Schedorhinotermes_lamanianus: 1.9696
Bifiditermes_improbus: 2.55853
N42: 0.81358
Cryptotermes_primus: 4.36739
Cryptotermes_domesticus: 3.28168
Cryptotermes_brevis: 2.40128
Kalotermes_flavicollis: 3.59105
N49: 4.16462
Stolotermes_sp: 0.766472
N50: 0.983998
Mastotermes_darwiniensis: 2.14811
Porotermes_adamsoni: 2.38205
Total number of loss events: 41.594
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.99089
N50: 0.526547
Mastotermes_darwiniensis: 0.998895
Total number of duplication events: 2.66906
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.283489	0.405103	2.78482e-011	0
N3	0.0883999	0.346571	2.13841e-012	0
N4	0.44717	0.171147	1.14411e-009	0
N5	0.543354	0.15293	5.82452e-015	0
N6	0.198616	0.0577971	1.65729e-019	0
N7	0.139255	0.102938	6.53823e-024	0
N8	0.00799527	0.00990822	3.94972e-032	0
N9	0.053428	0.0477802	1.18827e-031	0
N10	0.0481456	0.0486312	2.45083e-027	0
Amitermes_darwini	0.0534049	0.0572565	0	0
Amitermes_germanus	0.0534049	0.0572565	0	0
N11	0.0200979	0.0190777	4.11389e-027	0
Amitermes_parvus	0.107563	0.11292	0	0
Drepanotermes_septentrionalis	0.107563	0.11292	0	0
N12	0.01052	0.0223798	3.49769e-033	0
N13	0.0771637	0.0629517	1.21958e-029	0
N14	0.00757655	0.00746625	4.43119e-032	0
N15	0.00485645	0.00474954	4.54165e-034	0
Ephelotermes_melachoma	0.0431298	0.0443884	0	0
Ephelotermes_taylori	0.0431298	0.0443884	0	0
Macrognathotermes_sunteri	0.0611404	0.0622921	0	0
N16	0.0412915	0.0418839	5.82005e-030	0
Lophotermes_septentrionalis	0.0129046	0.0133536	0	0
N17	0.00408502	0.0044384	9.8148e-038	0
Microtermes_sp	0.00342382	0.00351944	0	0
Protermes_sp	0.00342382	0.00351944	0	0
N18	0.0648796	0.296381	9.40946e-030	0
Procubitermes_sp	0.0209732	1.7763	0	0
N19	0.270504	0.0357935	1.46219e-024	0
Tuberculitermes_bycanistes	0.0220485	0.0120873	0	0
Unguitermes_sp	0.0220485	0.0120873	0	0
N20	0.0109921	0.00857232	6.41531e-033	0
N21	9.48697e-005	7.71098e-005	3.35074e-032	0
N22	0.055989	0.0519095	8.28708e-031	0
Crenetermes_albotarsalis	0.168749	0.175869	0	0
N23	0.0337674	0.0344823	2.6964e-025	0
