#Nodes with GAIN events with expectation above 0.5
N5: 0.809573
N24: 0.656617
N28: 0.747423
Pseudacanthotermes_militaris: 1.03408
Coptotermes_acinaciformis: 1.2274
N33: 1.03866
Schedorhinotermes_lamanianus: 0.583406
N38: 0.869294
Neotermes_insularis: 5.44777
N42: 0.520362
Cryptotermes_queenslandis: 1.1
Incisitermes_sp: 1.40925
Cryptotermes_cynocephalus: 2.27409
Procryptotermes_australiensis: 2.40583
N48: 1.70948
Kalotermes_flavicollis: 0.604813
N49: 0.967682
Stolotermes_sp: 0.719419
N50: 2.45676
Zootermopsis_angusticollis: 0.590473
Zootermopsis_nevadensis: 0.590473
Mastotermes_darwiniensis: 4.12818
Porotermes_adamsoni: 2.69679
Total number of gain events: 45.6523
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.79494
N24: 0.53881
N28: 0.537575
Pseudacanthotermes_militaris: 0.798899
Coptotermes_acinaciformis: 0.729221
N33: 0.552454
Schedorhinotermes_lamanianus: 1.98447
N35: 0.506773
Bifiditermes_improbus: 2.77885
Cryptotermes_primus: 4.50666
Cryptotermes_brevis: 2.02682
Cryptotermes_domesticus: 3.91962
N48: 0.703051
Kalotermes_flavicollis: 3.53116
N49: 2.09475
Stolotermes_sp: 3.09391
N50: 0.839276
Mastotermes_darwiniensis: 2.2379
Porotermes_adamsoni: 2.88315
Total number of loss events: 46.6323
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.999919
Mastotermes_darwiniensis: 0.998864
Total number of duplication events: 2.35654
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.222959	0.162316	2.96456e-011	0
N3	0.160716	0.402578	3.14892e-013	0
N4	0.23541	0.241135	6.62737e-012	0
N5	0.809573	0.333411	9.55182e-013	0
N6	0.244857	0.0687142	3.76551e-017	0
N7	0.402119	0.173298	4.87374e-019	0
N8	0.140072	0.067845	2.14999e-023	0
N9	0.349999	0.308393	3.65029e-027	0
N10	0.0484684	0.0441011	7.84192e-029	0
Amitermes_darwini	0.0278	0.0263623	0	0
Amitermes_germanus	0.0278	0.0263623	0	0
N11	0.0490454	0.0446337	6.67577e-029	0
Amitermes_parvus	0.0270222	0.0256289	0	0
Drepanotermes_septentrionalis	0.0270222	0.0256289	0	0
N12	0.014347	0.00814551	4.24277e-027	0
N13	0.0497965	0.0391844	5.81968e-031	0
N14	0.00752153	0.00988553	1.0036e-029	0
N15	0.0961822	0.161747	2.10493e-033	0
Crenetermes_albotarsalis	0.273546	0.175019	0	0
N16	0.00363942	0.0157471	1.68423e-030	0
Cubitermes_sp	0.272396	0.161729	0	0
N17	0.0123451	0.148395	1.664e-033	0
Procubitermes_sp	0.0416736	1.79494	0	0
Thoracotermes_macrothorax	0.34439	0.0976516	0	0
N18	0.264172	0.237487	4.2788e-027	0
Tuberculitermes_bycanistes	0.0763265	0.0700495	0	0
Unguitermes_sp	0.0763265	0.0700495	0	0
N19	0.150427	0.126912	5.43434e-030	0
N20	0.0174546	0.0149396	5.46473e-029	0
N21	0.0310708	0.0287379	2.29773e-031	0
Ephelotermes_melachoma	0.0527477	0.0505129	0	0
Ephelotermes_taylori	0.0527477	0.0505129	0	0
Macrognathotermes_sunteri	0.129183	0.124615	0	0
Lophotermes_septentrionalis	0.181875	0.174792	0	0
N22	0.2539	0.224747	1.00615e-026	0
N23	0.0417597	0.0372812	2.3232e-025	0
Microcerotermes_boreus	0.118688	0.11111	0	0
Pericapritermes_sp	0.118688	0.11111	0	0
Microcerotermes_nervosus	0.204179	0.192122	0	0
