#Nodes with GAIN events with expectation above 0.5
N4: 0.531523
Coptotermes_acinaciformis: 0.65463
N32: 0.516191
N37: 0.627079
Neotermes_insularis: 0.878113
Cryptotermes_queenslandis: 0.912803
Incisitermes_sp: 0.839596
Procryptotermes_australiensis: 3.185
Cryptotermes_cynocephalus: 1.89773
N47: 1.00952
Stolotermes_sp: 0.5861
N49: 0.859388
Zootermopsis_angusticollis: 0.640073
Zootermopsis_nevadensis: 0.640073
Mastotermes_darwiniensis: 2.05648
Porotermes_adamsoni: 0.96642
Total number of gain events: 23.8318
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.7974
Schedorhinotermes_lamanianus: 2.00946
N37: 0.741981
Bifiditermes_improbus: 2.38006
Cryptotermes_primus: 0.676457
Cryptotermes_brevis: 2.3183
Cryptotermes_domesticus: 3.31636
Kalotermes_flavicollis: 2.30135
N48: 2.41574
Stolotermes_sp: 2.64932
N49: 0.767258
Mastotermes_darwiniensis: 1.91411
Porotermes_adamsoni: 1.94154
Total number of loss events: 34.759
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.660916
Mastotermes_darwiniensis: 0.999502
Total number of duplication events: 2.27089
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.138929	0.489392	1.68677e-017	0
N3	0.0913809	0.0746139	2.99145e-013	0
N4	0.531523	0.210237	2.30937e-015	0
N5	0.318817	0.120097	2.59062e-019	0
N6	0.0558026	0.0399292	3.74678e-027	0
N7	0.00503306	0.00584439	4.83645e-033	0
N8	0.0716582	0.069326	1.65192e-036	0
N9	0.0207172	0.0220509	1.09529e-034	0
N10	0.00121374	0.00132229	8.49972e-036	0
Amitermes_darwini	0.00771986	0.00790283	0	0
Pericapritermes_sp	0.00771986	0.00790283	0	0
Amitermes_germanus	0.0119056	0.0121971	0	0
N11	0.00770646	0.0076706	5.94243e-030	0
Amitermes_parvus	0.0402966	0.0419576	0	0
Drepanotermes_septentrionalis	0.0402966	0.0419576	0	0
N12	0.00127877	0.00262385	6.8145e-034	0
N13	0.0201663	0.016213	2.05823e-032	0
N14	0.0117196	0.0112425	8.2665e-030	0
Ephelotermes_melachoma	0.091134	0.0935124	0	0
N15	0.00885719	0.00865707	1.62608e-030	0
Ephelotermes_taylori	0.0608428	0.0634214	0	0
Macrognathotermes_sunteri	0.0608428	0.0634214	0	0
Lophotermes_septentrionalis	0.137324	0.139226	0	0
N16	0.0767375	0.294592	4.85171e-034	0
Procubitermes_sp	0.0173035	1.7974	0	0
N17	0.215513	0.0112494	1.41123e-027	0
Tuberculitermes_bycanistes	0.0254748	0.0098435	0	0
Unguitermes_sp	0.0254748	0.0098435	0	0
N18	0.0105299	0.00891583	3.14657e-033	0
N19	0.00164137	0.00139719	1.34701e-031	0
N20	0.0237526	0.0222707	4.65067e-033	0
N21	0.0131374	0.0129688	1.1855e-028	0
Crenetermes_albotarsalis	0.0730838	0.0766973	0	0
Cubitermes_sp	0.0730838	0.0766973	0	0
Thoracotermes_macrothorax	0.110325	0.11377	0	0
N22	0.128913	0.130507	3.14411e-034	0
N23	0.00253984	0.00281801	1.04988e-035	0
Nasutitermes_graveolus	0.00317886	0.00326896	0	0
Nasutitermes_triodiae	0.00317886	0.00326896	0	0
N24	0.00427262	0.00459795	2.01659e-034	0
