#Nodes with GAIN events with expectation above 0.5
N4: 0.611776
N40: 0.911326
Procryptotermes_australiensis: 3.13906
Cryptotermes_cynocephalus: 2.06389
N47: 1.04525
N49: 1.06614
Mastotermes_darwiniensis: 1.70145
Porotermes_adamsoni: 0.638976
Total number of gain events: 18.8021
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.96205
Schedorhinotermes_lamanianus: 1.86212
Bifiditermes_improbus: 2.22564
Cryptotermes_austrinus: 0.586032
Cryptotermes_primus: 4.28096
Cryptotermes_brevis: 2.02611
Cryptotermes_domesticus: 4.14242
Kalotermes_flavicollis: 0.51166
N48: 1.91323
Stolotermes_sp: 2.61763
Porotermes_adamsoni: 1.13163
Total number of loss events: 28.6238
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 0.877566
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N37:ML=20 to Neotermes_insularis:ML=26  ProbOfChange = 1  sum expections= 0.329765
	HEURISTIC ESTIMATION:	Gains = 6	Losses = 0	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0695377	0.209211	3.89141e-020	0
N3	0.203471	0.0883463	1.50199e-015	0
N4	0.611776	0.0674181	1.217e-018	0
N5	0.182193	0.0188655	1.41112e-023	0
N6	0.0995436	0.0310229	9.3703e-029	0
N7	0.00432558	0.00181134	3.88619e-032	0
N8	0.00629959	0.00549938	1.92287e-038	0
N9	0.023883	0.0232911	2.2397e-035	0
N10	0.0189466	0.0195931	5.40799e-034	0
N11	0.00176102	0.00176368	1.74564e-038	0
N12	0.00845191	0.00853231	3.49854e-034	0
Amitermes_darwini	0.00125999	0.00127749	0	0
Pericapritermes_sp	0.00125999	0.00127749	0	0
Amitermes_germanus	0.0163459	0.0164438	0	0
N13	0.00247308	0.00244956	1.9021e-038	0
Amitermes_parvus	0.015459	0.0155831	0	0
Drepanotermes_septentrionalis	0.015459	0.0155831	0	0
N14	0.0549085	0.0556032	1.25202e-033	0
Tuberculitermes_bycanistes	0.00142562	0.00147803	0	0
Unguitermes_sp	0.00142562	0.00147803	0	0
N15	0.0229251	0.022467	5.17989e-036	0
N16	0.00722738	0.00745018	1.82768e-033	0
N17	0.00149015	0.00146776	7.2002e-035	0
Ephelotermes_melachoma	0.0323177	0.0327309	0	0
Ephelotermes_taylori	0.0323177	0.0327309	0	0
Macrognathotermes_sunteri	0.0401321	0.0405226	0	0
Lophotermes_septentrionalis	0.0689936	0.0696068	0	0
N18	0.00258331	0.00233699	9.76745e-037	0
N19	0.0721408	0.0815947	4.50538e-036	0
