#Nodes with GAIN events with expectation above 0.5
N4: 0.691446
Neotermes_insularis: 1.33537
N38: 0.580599
Cryptotermes_queenslandis: 0.805238
N45: 0.890528
Cryptotermes_cynocephalus: 0.708263
Procryptotermes_australiensis: 3.27635
Porotermes_adamsoni: 1.27532
N50: 0.980458
Mastotermes_darwiniensis: 1.93495
Total number of gain events: 21.0505
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N4: 0.517061
Procubitermes_sp: 1.76749
Schedorhinotermes_lamanianus: 2.08297
Bifiditermes_improbus: 3.12693
Neotermes_insularis: 1.13628
N39: 0.554983
N42: 0.690107
Cryptotermes_primus: 1.47595
Cryptotermes_domesticus: 2.47794
Cryptotermes_brevis: 2.44457
Kalotermes_flavicollis: 4.16179
N48: 1.19976
Porotermes_adamsoni: 1.20619
N49: 1.70551
Stolotermes_sp: 2.68515
N50: 1.16203
Mastotermes_darwiniensis: 2.40512
Total number of loss events: 38.6454
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.998308
Mastotermes_darwiniensis: 0.997732
Total number of duplication events: 2.56178
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0806655	0.428026	1.11576e-013	0
N3	0.168416	0.286771	2.52594e-013	0
N4	0.691446	0.517061	9.41291e-016	0
N5	0.0646783	0.0231393	4.87087e-024	0
N6	0.0266083	0.0232998	4.07138e-031	0
N7	0.0045048	0.0050548	2.33843e-034	0
N8	0.0269773	0.0214915	1.57571e-034	0
N9	0.00445014	0.0038968	2.96863e-028	0
N10	0.0663107	0.0701397	3.81435e-031	0
Amitermes_darwini	0.0195891	0.0222825	0	0
Amitermes_germanus	0.0195891	0.0222825	0	0
Drepanotermes_septentrionalis	0.129721	0.136243	0	0
Amitermes_parvus	0.146653	0.152621	0	0
N11	0.0132014	0.0273338	1.51825e-033	0
N12	0.0790745	0.0648094	6.16852e-030	0
N13	0.00181401	0.00219244	8.02475e-036	0
N14	0.000234003	0.000269489	5.84927e-041	0
N15	0.00121007	0.00107205	4.71348e-039	0
Ephelotermes_melachoma	0.024684	0.0250231	0	0
N16	0.0189538	0.0192762	4.42669e-034	0
Microtermes_sp	0.00023013	0.000246782	0	0
Protermes_sp	0.00023013	0.000246782	0	0
Ephelotermes_taylori	0.0317553	0.0319563	0	0
Macrognathotermes_sunteri	0.0342687	0.0345052	0	0
Lophotermes_septentrionalis	0.0418639	0.0424784	0	0
N17	0.0517886	0.293593	2.47855e-030	0
Procubitermes_sp	0.022945	1.76749	0	0
N18	0.288756	0.0344551	3.52537e-030	0
Tuberculitermes_bycanistes	0.00291976	0.0017652	0	0
Unguitermes_sp	0.00291976	0.0017652	0	0
N19	0.00423321	0.00325725	8.70302e-037	0
