#Nodes with GAIN events with expectation above 0.5
Neotermes_insularis: 1.9474
N41: 0.531385
N42: 0.664689
Procryptotermes_australiensis: 2.68973
Cryptotermes_cynocephalus: 2.07118
N48: 0.699933
N49: 0.502474
N50: 2.77578
Zootermopsis_angusticollis: 0.633524
Zootermopsis_nevadensis: 0.633524
Mastotermes_darwiniensis: 2.7034
Porotermes_adamsoni: 1.3622
Total number of gain events: 24.6934
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N4: 0.542141
Procubitermes_sp: 1.79399
Schedorhinotermes_lamanianus: 1.9886
Bifiditermes_improbus: 2.39582
Cryptotermes_primus: 1.35146
Cryptotermes_brevis: 1.81979
Cryptotermes_domesticus: 1.18752
Kalotermes_flavicollis: 3.46056
N49: 0.951037
Stolotermes_sp: 3.73138
N50: 0.55769
Mastotermes_darwiniensis: 1.85784
Porotermes_adamsoni: 2.51489
Total number of loss events: 31.4998
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.995216
Mastotermes_darwiniensis: 0.99912
Total number of duplication events: 2.16404
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.13242	0.101359	3.5974e-012	0
N3	0.131728	0.383567	1.39206e-012	0
N4	0.286326	0.542141	1.04413e-010	0
N5	0.462004	0.243827	1.70957e-016	0
N6	0.119478	0.0343252	8.88825e-023	0
N7	0.0523538	0.0337583	2.05401e-029	0
N8	0.000819586	0.00118254	6.65443e-035	0
N9	0.0128432	0.0259713	6.69567e-034	0
N10	0.0943211	0.0794984	5.02145e-033	0
N11	0.00983747	0.00983431	3.87872e-037	0
Amitermes_darwini	0.00794739	0.0080612	0	0
Amitermes_germanus	0.00794739	0.0080612	0	0
N12	0.000757203	0.000709603	5.75135e-034	0
Amitermes_parvus	0.0283495	0.0285078	0	0
Drepanotermes_septentrionalis	0.0283495	0.0285078	0	0
N13	0.0737528	0.281226	1.54465e-032	0
Procubitermes_sp	0.0161803	1.79399	0	0
N14	0.209467	0.00655165	7.30541e-030	0
Tuberculitermes_bycanistes	0.0280795	0.00880981	0	0
Unguitermes_sp	0.0280795	0.00880981	0	0
N15	0.101537	0.0995558	6.02494e-037	0
N16	0.00211899	0.00232548	4.15872e-036	0
N17	0.00020989	0.000207876	1.03877e-038	0
Ephelotermes_melachoma	0.0304648	0.030658	0	0
Ephelotermes_taylori	0.0304648	0.030658	0	0
Macrognathotermes_sunteri	0.0312096	0.0314008	0	0
Lophotermes_septentrionalis	0.0427093	0.0431071	0	0
N18	0.0052852	0.00406493	3.8096e-037	0
N19	0.0517256	0.0505013	1.53085e-034	0
N20	0.00313539	0.00313568	2.1554e-030	0
Crenetermes_albotarsalis	0.0620917	0.0633152	0	0
Thoracotermes_macrothorax	0.0620917	0.0633152	0	0
Cubitermes_sp	0.0753641	0.0765879	0	0
N21	0.0144773	0.0136006	1.23279e-033	0
N22	0.0400524	0.0401605	3.47228e-031	0
N23	0.00704868	0.00725563	7.85307e-033	0
Microcerotermes_boreus	0.0291158	0.029677	0	0
Microcerotermes_nervosus	0.0291158	0.029677	0	0
Pericapritermes_sp	0.0482974	0.0490655	0	0
N24	0.0740844	0.0748242	1.92668e-033	0
N25	0.00183072	0.00187813	5.53973e-038	0
Nasutitermes_graveolus	0.00930084	0.00938976	0	0
Nasutitermes_triodiae	0.00930084	0.00938976	0	0
N26	0.00265378	0.0027121	1.4205e-038	0
Nasutitermes_longipennis	0.00792984	0.00800784	0	0
Tumulitermes_pastinator	0.00792984	0.00800784	0	0
N27	0.073436	0.0548414	3.26247e-026	0
Macrotermes_bellicosus	0.226298	0.225076	0	0
