#Nodes with GAIN events with expectation above 0.5
N5: 0.506662
Neotermes_insularis: 2.70775
N43: 0.844803
Cryptotermes_queenslandis: 0.819838
Cryptotermes_cynocephalus: 1.93959
Procryptotermes_australiensis: 3.33269
Incisitermes_sp: 1.04497
N48: 0.937412
N50: 0.578788
Mastotermes_darwiniensis: 2.54394
Porotermes_adamsoni: 1.19664
Total number of gain events: 23.3517
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.75744
Schedorhinotermes_lamanianus: 2.00849
Bifiditermes_improbus: 2.76266
N41: 0.692982
Cryptotermes_primus: 4.2657
Cryptotermes_brevis: 1.67947
Cryptotermes_domesticus: 3.62109
Kalotermes_flavicollis: 3.86072
N49: 2.83079
Stolotermes_sp: 1.33123
Mastotermes_darwiniensis: 1.57067
Porotermes_adamsoni: 1.78348
Total number of loss events: 35.733
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.98998
Mastotermes_darwiniensis: 0.999212
Total number of duplication events: 2.2721
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.223004	0.295324	1.69048e-014	0
N3	0.0382953	0.149335	4.50979e-015	0
N4	0.177623	0.0789426	3.72672e-013	0
N5	0.506662	0.153621	8.6105e-018	0
N6	0.155244	0.03573	1.44619e-023	0
N7	0.053393	0.0303589	1.42882e-026	0
N8	0.0087411	0.0070287	2.3127e-030	0
N9	0.0239872	0.0278828	9.03011e-036	0
N10	0.00282436	0.00116676	1.11261e-032	0
N11	0.0283812	0.026334	1.17882e-037	0
N12	0.000976204	0.0010964	9.07031e-036	0
N13	0.00149413	0.00152821	2.51547e-040	0
N14	0.00377518	0.00375733	2.4676e-039	0
Amitermes_darwini	0.010104	0.0103547	0	0
Amitermes_germanus	0.010104	0.0103547	0	0
Amitermes_parvus	0.0252191	0.0254519	0	0
Drepanotermes_septentrionalis	0.0373045	0.0375714	0	0
Pericapritermes_sp	0.0445646	0.0449516	0	0
N15	0.0329642	0.0308428	1.23368e-037	0
N16	0.00135792	0.00149547	1.29801e-035	0
N17	0.00164619	0.00159237	5.00965e-039	0
Ephelotermes_melachoma	0.0211887	0.021566	0	0
Ephelotermes_taylori	0.0211887	0.021566	0	0
Macrognathotermes_sunteri	0.0323191	0.0326426	0	0
Lophotermes_septentrionalis	0.0397644	0.0402255	0	0
N18	0.0652146	0.306098	1.04464e-037	0
Procubitermes_sp	0.0016463	1.75744	0	0
N19	0.245598	0.00501404	3.14646e-032	0
