#Nodes with GAIN events with expectation above 0.5
N5: 0.578294
Neotermes_insularis: 1.98349
Procryptotermes_australiensis: 3.33652
Cryptotermes_cynocephalus: 1.69104
N48: 0.596828
Stolotermes_sp: 0.819502
Mastotermes_darwiniensis: 0.794256
Porotermes_adamsoni: 0.993629
Total number of gain events: 16.684
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.82319
Schedorhinotermes_lamanianus: 1.93898
N38: 0.802471
Bifiditermes_improbus: 1.85145
Neotermes_insularis: 0.725993
N41: 0.915094
Cryptotermes_brevis: 1.62847
Cryptotermes_domesticus: 1.63765
Kalotermes_flavicollis: 3.38828
N49: 4.1027
N50: 1.18553
Mastotermes_darwiniensis: 2.58263
Porotermes_adamsoni: 1.27043
Total number of loss events: 29.2309
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.994951
Mastotermes_darwiniensis: 1
Total number of duplication events: 2.94599
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N41:ML=20 to Cryptotermes_primus:ML=15  ProbOfChange = 1  sum expections= 0.157938
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0255958	0.060791	3.49825e-018	0
N3	0.0709962	0.24443	1.77228e-016	0
N4	0.438289	0.0506369	3.49872e-012	0
N5	0.578294	0.105225	6.42359e-018	0
N6	0.0963466	0.027826	1.10989e-023	0
N7	0.015182	0.012577	2.35078e-032	0
N8	0.00828782	0.0134498	1.55705e-036	0
N9	0.0233852	0.017808	2.73878e-034	0
N10	0.00194563	0.00198376	9.35688e-034	0
N11	0.00689596	0.00707382	1.78483e-036	0
Amitermes_darwini	0.00731926	0.00763513	0	0
Amitermes_germanus	0.00731926	0.00763513	0	0
Amitermes_parvus	0.024904	0.0253977	0	0
Drepanotermes_septentrionalis	0.0338175	0.0343494	0	0
N12	0.0384093	0.210951	6.63737e-034	0
Procubitermes_sp	0.000779967	1.82319	0	0
N13	0.181553	0.00604474	3.02622e-033	0
Tuberculitermes_bycanistes	0.00325894	0.00118119	0	0
Unguitermes_sp	0.00325894	0.00118119	0	0
N14	0.000620306	0.000446413	1.32816e-036	0
N15	0.00226641	0.00191328	2.27616e-037	0
N16	0.00794567	0.00802678	2.10822e-036	0
N17	0.0117884	0.0115276	3.26694e-036	0
Crenetermes_albotarsalis	0.0243909	0.0252141	0	0
N18	0.00834022	0.00886027	5.0656e-035	0
Cubitermes_sp	0.00598938	0.00629254	0	0
Thoracotermes_macrothorax	0.00598938	0.00629254	0	0
N19	0.00319767	0.00298868	9.65268e-036	0
N20	0.0116287	0.0122451	6.67003e-034	0
N21	0.00209623	0.00214316	2.05477e-038	0
Nasutitermes_graveolus	0.00432199	0.00443016	0	0
Nasutitermes_triodiae	0.00432199	0.00443016	0	0
N22	0.00142111	0.00145236	1.74452e-039	0
Nasutitermes_longipennis	0.00579109	0.00591493	0	0
Tumulitermes_pastinator	0.00579109	0.00591493	0	0
Pericapritermes_sp	0.0432106	0.0439821	0	0
N23	0.0610688	0.0608885	3.77955e-035	0
Microcerotermes_boreus	0.00776584	0.00858972	0	0
Microcerotermes_nervosus	0.00776584	0.00858972	0	0
N24	0.0461521	0.0453475	8.56892e-038	0
N25	0.00553031	0.00651029	8.71865e-036	0
Ephelotermes_melachoma	0.00990986	0.0100249	0	0
N26	4.43879e-005	4.9342e-005	1.19027e-039	0
Ephelotermes_taylori	0.00925075	0.00936082	0	0
Macrognathotermes_sunteri	0.00925075	0.00936082	0	0
Lophotermes_septentrionalis	0.0262489	0.0273439	0	0
N27	0.0269138	0.0200311	2.30475e-028	0
N28	0.115318	0.119711	2.88318e-033	0
Macrotermes_bellicosus	2.62812e-006	4.79434e-006	0	0
Odontotermes_sp	2.62812e-006	4.79434e-006	0	0
N29	0.0224995	0.0215143	2.76764e-027	0
N30	0.05747	0.0628383	1.72875e-033	0
