#Nodes with GAIN events with expectation above 0.5
N4: 0.647259
N42: 0.971229
Cryptotermes_cynocephalus: 1.67857
Procryptotermes_australiensis: 3.42421
N47: 0.735829
Stolotermes_sp: 0.621706
Mastotermes_darwiniensis: 1.3836
Porotermes_adamsoni: 0.704991
Total number of gain events: 15.8637
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.96245
Schedorhinotermes_lamanianus: 1.95604
N37: 1.51971
Bifiditermes_improbus: 0.67181
Cryptotermes_primus: 1.45213
Cryptotermes_brevis: 1.81494
Kalotermes_flavicollis: 2.49203
N48: 3.7098
N49: 0.959839
Mastotermes_darwiniensis: 1.51166
Porotermes_adamsoni: 0.879952
Total number of loss events: 23.5523
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.904844
Mastotermes_darwiniensis: 0.999995
Total number of duplication events: 2.57338
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N37:ML=18 to Neotermes_insularis:ML=26  ProbOfChange = 1  sum expections= 0.146154
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 1	Demi-dupl = 0
N45:ML=20 to Cryptotermes_domesticus:ML=15  ProbOfChange = 0.999994  sum expections= 0.189288
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0665736	0.244562	6.6539e-021	0
N3	0.250624	0.0215179	2.21234e-015	0
N4	0.647259	0.0363795	9.41768e-022	0
N5	0.00694885	0.00730854	1.21925e-024	0
N6	0.204559	0.030007	1.77294e-030	0
N7	0.00414113	0.00264531	7.8239e-033	0
N8	0.00178431	0.00153952	4.01488e-036	0
N9	0.0461569	0.0455556	3.13949e-036	0
N10	0.00419767	0.00503629	6.99141e-033	0
N11	0.00263619	0.0028936	2.63319e-034	0
Amitermes_darwini	0.00177787	0.00183402	0	0
Amitermes_germanus	0.00177787	0.00183402	0	0
Amitermes_parvus	0.00811123	0.00842479	0	0
Drepanotermes_septentrionalis	0.0208448	0.021997	0	0
N12	0.00966967	0.00987283	1.98786e-037	0
N13	0.00647114	0.0061222	1.12865e-037	0
N14	0.000580492	0.000487079	9.5128e-034	0
Crenetermes_albotarsalis	0.0333759	0.034166	0	0
Cubitermes_sp	0.0333759	0.034166	0	0
Thoracotermes_macrothorax	0.0353385	0.0360352	0	0
N15	0.00228487	0.0022729	5.21595e-036	0
N16	0.00235898	0.00251937	3.61648e-037	0
N17	0.00206104	0.00281411	1.62977e-039	0
N18	0.00019773	0.00153658	4.4196e-040	0
Ephelotermes_melachoma	0.0216809	0.0197883	0	0
N19	0.00118728	0.0369714	1.26249e-039	0
Macrognathotermes_sunteri	0.0505928	0.012916	0	0
Procubitermes_sp	0.000127202	1.96245	0	0
Ephelotermes_taylori	0.023255	0.0227012	0	0
Lophotermes_septentrionalis	0.034459	0.0346583	0	0
N20	0.0411972	0.0415072	1.42385e-033	0
Tuberculitermes_bycanistes	0.000783666	0.000833305	0	0
Unguitermes_sp	0.000783666	0.000833305	0	0
N21	0.00889141	0.00686188	2.64433e-036	0
