#Nodes with GAIN events with expectation above 0.5
N4: 0.763865
N5: 0.831145
Coptotermes_acinaciformis: 0.548859
N37: 0.612607
Neotermes_insularis: 3.44813
N39: 0.504661
Cryptotermes_queenslandis: 1.0034
Procryptotermes_australiensis: 2.60019
N48: 1.28174
Cryptotermes_cynocephalus: 0.847721
Stolotermes_sp: 1.07927
Porotermes_adamsoni: 1.83841
Mastotermes_darwiniensis: 2.39416
Total number of gain events: 25.3806
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.75706
Schedorhinotermes_lamanianus: 1.70121
Bifiditermes_improbus: 2.89335
Cryptotermes_primus: 4.46011
Cryptotermes_brevis: 1.80692
Cryptotermes_domesticus: 4.24624
Kalotermes_flavicollis: 3.3767
N49: 4.21209
N50: 1.83348
Porotermes_adamsoni: 1.40839
Mastotermes_darwiniensis: 2.47708
Total number of loss events: 38.9164
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.997555
N50: 0.838981
Mastotermes_darwiniensis: 0.999646
Total number of duplication events: 2.9229
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0876942	0.207987	7.17637e-014	0
N3	0.0281987	0.109703	2.11034e-015	0
N4	0.763865	0.202509	2.49012e-011	0
N5	0.831145	0.108341	6.72625e-016	0
N6	0.244506	0.0391528	1.59179e-022	0
N7	0.0270568	0.0124484	9.59094e-028	0
N8	0.0272764	0.0194609	1.84831e-033	0
N9	0.00326563	0.00275414	2.34067e-036	0
N10	0.0352084	0.0335695	1.96983e-033	0
N11	0.00922827	0.00925875	2.51093e-029	0
N12	0.0340486	0.0350723	1.26496e-031	0
Amitermes_darwini	0.0296435	0.0310133	0	0
Amitermes_germanus	0.0296435	0.0310133	0	0
Amitermes_parvus	0.103284	0.105677	0	0
Drepanotermes_septentrionalis	0.139402	0.141825	0	0
N13	0.123873	0.123482	8.14373e-034	0
N14	0.0054186	0.0058509	1.57686e-031	0
Microcerotermes_boreus	0.0212222	0.0219663	0	0
Pericapritermes_sp	0.0212222	0.0219663	0	0
Microcerotermes_nervosus	0.0377063	0.0388827	0	0
N15	0.00114419	0.0010287	1.66913e-037	0
N16	0.00754188	0.00682743	5.36476e-037	0
N17	0.0732538	0.0862214	1.0816e-036	0
Crenetermes_albotarsalis	0.0680986	0.0562345	0	0
N18	0.00215366	0.00790727	1.61919e-031	0
Cubitermes_sp	0.0654966	0.0478789	0	0
N19	0.0223893	0.247351	3.05205e-031	0
Procubitermes_sp	1.61008e-005	1.75706	0	0
Thoracotermes_macrothorax	0.244913	0.00233414	0	0
