#Nodes with GAIN events with expectation above 0.5
N3: 0.546077
N4: 1.33676
Coptotermes_acinaciformis: 0.579259
N32: 0.506855
Neotermes_insularis: 3.23222
N40: 0.869243
Cryptotermes_queenslandis: 1.07661
Procryptotermes_australiensis: 4.42803
N45: 0.641343
N46: 1.407
Cryptotermes_cynocephalus: 1.20526
N47: 1.21048
Glyptotermes_brevicornis: 0.793289
Glyptotermes_iridipennis: 0.793289
Stolotermes_sp: 1.22897
N50: 1.30021
Mastotermes_darwiniensis: 1.49357
Porotermes_adamsoni: 0.842571
Total number of gain events: 28.827
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.89859
Schedorhinotermes_lamanianus: 1.64892
Bifiditermes_improbus: 1.79924
Cryptotermes_primus: 2.64777
Cryptotermes_brevis: 1.17197
Cryptotermes_domesticus: 4.03848
Procryptotermes_australiensis: 0.568485
Kalotermes_flavicollis: 2.59587
N48: 3.51221
N49: 1.16819
Mastotermes_darwiniensis: 0.854964
Porotermes_adamsoni: 0.722008
Total number of loss events: 28.5879
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.991588
N49: 0.661838
Mastotermes_darwiniensis: 0.657565
Total number of duplication events: 2.52706
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0824658	0.197175	1.83197e-018	0
N3	0.546077	0.0326369	3.55609e-015	0
N4	1.33676	0.0959317	2.63785e-018	0
N5	0.379342	0.0152442	4.64635e-025	0
N6	0.0852866	0.010048	3.11239e-029	0
N7	0.0400563	0.00883351	1.78759e-033	0
N8	0.00301688	0.000769902	1.01831e-037	0
N9	0.0300565	0.0272596	1.58817e-037	0
N10	0.00542523	0.0053752	1.79803e-035	0
N11	0.0203888	0.0197976	8.21519e-037	0
Amitermes_darwini	0.0077994	0.00745691	0	0
Amitermes_germanus	0.0077994	0.00745691	0	0
Pericapritermes_sp	0.0477431	0.0468095	0	0
N12	0.0101049	0.0102959	6.78103e-036	0
Amitermes_parvus	0.0375744	0.0363998	0	0
Drepanotermes_septentrionalis	0.0375744	0.0363998	0	0
N13	0.00334351	0.00396903	8.20845e-043	0
N14	0.000432103	0.00530702	3.92822e-039	0
N15	0.0158307	0.0126683	1.27827e-036	0
Crenetermes_albotarsalis	0.0969351	0.0908127	0	0
N16	0.0708311	0.0649635	1.79242e-033	0
Cubitermes_sp	0.00366558	0.00341081	0	0
Thoracotermes_macrothorax	0.00366558	0.00341081	0	0
N17	0.00465751	0.112445	8.26423e-039	0
Procubitermes_sp	0.0156623	1.89859	0	0
N18	0.188781	0.0727009	2.59998e-033	0
Tuberculitermes_bycanistes	0.00322628	0.00223119	0	0
Unguitermes_sp	0.00322628	0.00223119	0	0
N19	0.0194126	0.0162767	1.77155e-043	0
N20	0.00372118	0.00331735	2.16942e-035	0
Ephelotermes_melachoma	0.0556212	0.0547549	0	0
N21	0.00358353	0.00365161	5.32064e-037	0
