#Nodes with GAIN events with expectation above 0.5
N5: 0.534533
Coptotermes_acinaciformis: 0.541046
N38: 2.18863
N42: 0.909316
Cryptotermes_queenslandis: 0.978847
Cryptotermes_cynocephalus: 2.26995
Procryptotermes_australiensis: 4.10847
N48: 1.13085
N50: 3.73347
Zootermopsis_angusticollis: 1.13584
Zootermopsis_nevadensis: 1.13584
Porotermes_adamsoni: 1.13679
Mastotermes_darwiniensis: 3.3685
Total number of gain events: 30.7009
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N19: 0.518132
Procubitermes_sp: 1.61222
Schedorhinotermes_lamanianus: 1.90253
N35: 0.631509
Bifiditermes_improbus: 1.98762
Incisitermes_sp: 0.82355
N41: 0.572803
Cryptotermes_primus: 2.48527
Cryptotermes_brevis: 1.76749
Cryptotermes_domesticus: 0.816195
Kalotermes_flavicollis: 3.40596
Stolotermes_sp: 5.30746
Porotermes_adamsoni: 2.15749
Mastotermes_darwiniensis: 1.81938
Total number of loss events: 33.0563
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.99642
Mastotermes_darwiniensis: 0.99099
Total number of duplication events: 1.99028
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N38:ML=22 to Neotermes_insularis:ML=26  ProbOfChange = 0.999966  sum expections= 0.0561198
	HEURISTIC ESTIMATION:	Gains = 4	Losses = 0	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0129533	0.0761036	4.36953e-017	0
N3	0.0804011	0.239754	1.04612e-017	0
N4	0.0623563	0.313768	9.27357e-016	0
N5	0.534533	0.264657	2.52809e-016	0
N6	0.117491	0.0340863	1.61937e-024	0
N7	0.0264886	0.0108789	1.10582e-028	0
N8	0.0223422	0.0125487	2.336e-031	0
N9	0.01524	0.0114856	9.63879e-034	0
N10	0.00736236	0.0106877	3.12102e-035	0
N11	0.136018	0.125305	6.30723e-037	0
N12	0.00237438	0.00221744	7.80594e-035	0
N13	0.00734124	0.00725565	9.32581e-038	0
Amitermes_darwini	0.009098	0.00905538	0	0
Amitermes_germanus	0.009098	0.00905538	0	0
Drepanotermes_septentrionalis	0.0279005	0.0277723	0	0
N14	0.0198525	0.0195991	4.82722e-037	0
Amitermes_parvus	0.00464638	0.00461455	0	0
Pericapritermes_sp	0.00464638	0.00461455	0	0
N15	0.00465001	0.0129999	1.88414e-033	0
N16	0.0883721	0.070969	6.49666e-033	0
N17	0.0144952	0.0128202	5.27621e-035	0
N18	0.00117368	0.0011097	2.5784e-036	0
Ephelotermes_melachoma	0.0291151	0.0289091	0	0
Ephelotermes_taylori	0.0291151	0.0289091	0	0
Macrognathotermes_sunteri	0.0350299	0.03476	0	0
Lophotermes_septentrionalis	0.0788649	0.07692	0	0
N19	0.131946	0.518132	8.63316e-036	0
Procubitermes_sp	0.0177527	1.61222	0	0
N20	0.404894	0.00550062	2.41779e-033	0
Tuberculitermes_bycanistes	0.00682237	0.000711586	0	0
Unguitermes_sp	0.00682237	0.000711586	0	0
N21	0.0718851	0.0662839	5.97025e-036	0
N22	0.00403225	0.00387386	5.39059e-029	0
Crenetermes_albotarsalis	0.126392	0.124478	0	0
Thoracotermes_macrothorax	0.126392	0.124478	0	0
Cubitermes_sp	0.135881	0.133809	0	0
N23	0.266213	0.255517	9.04402e-031	0
Microcerotermes_boreus	0.0272658	0.026534	0	0
Microcerotermes_nervosus	0.0272658	0.026534	0	0
N24	0.369286	0.348171	1.89115e-032	0
N25	0.00227627	0.00218249	9.38145e-035	0
Nasutitermes_graveolus	0.0020197	0.002008	0	0
Nasutitermes_triodiae	0.0020197	0.002008	0	0
N26	0.00204888	0.00195635	8.97118e-035	0
Nasutitermes_longipennis	0.00269912	0.00268618	0	0
Tumulitermes_pastinator	0.00269912	0.00268618	0	0
N27	0.17631	0.151478	1.84854e-027	0
Macrotermes_bellicosus	0.215714	0.203715	0	0
N28	0.161004	0.149035	2.18288e-030	0
