#Nodes with GAIN events with expectation above 0.5
N4: 1.00155
N41: 0.957653
Cryptotermes_queenslandis: 0.954149
N43: 1.47913
Cryptotermes_cynocephalus: 0.789362
Procryptotermes_australiensis: 2.56976
N47: 1.06588
Mastotermes_darwiniensis: 0.726782
Porotermes_adamsoni: 0.90846
Total number of gain events: 17.7822
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N2: 0.613609
Procubitermes_sp: 1.93619
Schedorhinotermes_lamanianus: 1.96148
N35: 0.627487
N37: 0.721632
Bifiditermes_improbus: 1.4426
N39: 0.579735
Cryptotermes_primus: 4.07287
Cryptotermes_brevis: 1.26665
Cryptotermes_domesticus: 3.38829
Kalotermes_flavicollis: 2.82639
N48: 2.91971
Stolotermes_sp: 1.18196
N49: 2.36205
Mastotermes_darwiniensis: 1.52259
Porotermes_adamsoni: 1.45626
Total number of loss events: 33.7438
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.996206
N49: 0.744431
Mastotermes_darwiniensis: 0.652093
Total number of duplication events: 2.45184
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N37:ML=20 to Neotermes_insularis:ML=26  ProbOfChange = 1  sum expections= 0.403489
	HEURISTIC ESTIMATION:	Gains = 6	Losses = 0	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.174874	0.613609	5.59643e-015	0
N3	0.165768	0.0384182	1.11938e-012	0
N4	1.00155	0.176806	1.48148e-015	0
N5	0.07708	0.0144071	2.77283e-024	0
N6	0.0178389	0.0107323	8.29892e-032	0
N7	0.00129674	0.000980856	1.32802e-034	0
N8	0.076351	0.07607	4.27409e-035	0
N9	0.00725288	0.00769187	5.05843e-033	0
Amitermes_darwini	0.00983452	0.0103361	0	0
Amitermes_germanus	0.00983452	0.0103361	0	0
N10	0.00446141	0.00477252	1.06614e-033	0
Amitermes_parvus	0.0130785	0.0137079	0	0
Drepanotermes_septentrionalis	0.0130785	0.0137079	0	0
N11	0.0123897	0.0120336	3.02238e-034	0
N12	0.0178055	0.0175642	4.46716e-032	0
N13	0.00416476	0.00469142	3.56689e-034	0
Ephelotermes_melachoma	0.0318702	0.0326005	0	0
N14	0.00140434	0.00137001	2.02142e-035	0
Ephelotermes_taylori	0.0239569	0.0247215	0	0
Macrognathotermes_sunteri	0.0239569	0.0247215	0	0
Lophotermes_septentrionalis	0.0554496	0.0567066	0	0
N15	0.0525595	0.0704826	2.33399e-033	0
N16	0.0299482	0.0130592	6.85106e-034	0
Microtermes_sp	0.000268363	0.000249956	0	0
Protermes_sp	0.000268363	0.000249956	0	0
N17	0.00356627	0.0505576	2.93726e-033	0
Procubitermes_sp	8.4748e-005	1.93619	0	0
N18	0.0637698	0.00115081	7.20815e-034	0
Tuberculitermes_bycanistes	0.00208179	0.000802081	0	0
Unguitermes_sp	0.00208179	0.000802081	0	0
N19	0.00862195	0.00801112	3.28395e-036	0
N20	0.00439834	0.00444318	3.57172e-035	0
