#Nodes with GAIN events with expectation above 0.5
N3: 0.577697
N4: 0.8679
N37: 1.75149
Neotermes_insularis: 2.25925
N40: 0.714593
Cryptotermes_queenslandis: 0.910453
Cryptotermes_cynocephalus: 1.91975
Procryptotermes_australiensis: 3.52698
N47: 0.947159
Porotermes_adamsoni: 1.40451
Stolotermes_sp: 0.773222
N50: 0.569909
Mastotermes_darwiniensis: 1.82955
Total number of gain events: 23.2957
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.8515
Schedorhinotermes_lamanianus: 1.91058
Bifiditermes_improbus: 2.24812
Incisitermes_sp: 0.844692
N39: 0.665772
Cryptotermes_primus: 4.2812
Cryptotermes_brevis: 2.12428
Cryptotermes_domesticus: 3.55118
Kalotermes_flavicollis: 3.05645
Porotermes_adamsoni: 1.12019
N49: 2.76819
Stolotermes_sp: 1.42694
N50: 1.51296
Mastotermes_darwiniensis: 2.31909
Total number of loss events: 35.0784
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.998864
N50: 0.576171
Mastotermes_darwiniensis: 0.998877
Total number of duplication events: 2.68245
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0858849	0.25866	2.64116e-014	0
N3	0.577697	0.268899	3.89016e-014	0
N4	0.8679	0.14453	9.97808e-019	0
N5	0.118805	0.0186264	2.18009e-027	0
N6	0.00952901	0.00508694	2.215e-034	0
N7	0.00190439	0.00155015	2.61079e-038	0
N8	0.0456677	0.0455189	5.58202e-036	0
N9	0.00961048	0.0099357	2.27361e-038	0
Amitermes_darwini	0.0139616	0.0140868	0	0
N10	0.000895311	0.000919621	3.38336e-039	0
Amitermes_germanus	0.0099467	0.0100476	0	0
Pericapritermes_sp	0.0099467	0.0100476	0	0
N11	0.00158564	0.00152992	2.27242e-034	0
Amitermes_parvus	0.031693	0.0321991	0	0
Drepanotermes_septentrionalis	0.031693	0.0321991	0	0
N12	0.0871587	0.0870787	1.76425e-035	0
N13	0.00803554	0.0083804	2.45528e-034	0
Nasutitermes_graveolus	0.0015946	0.00163131	0	0
Nasutitermes_triodiae	0.0015946	0.00163131	0	0
N14	0.00434791	0.00463781	8.68929e-036	0
Nasutitermes_longipennis	0.00380441	0.00389609	0	0
Tumulitermes_pastinator	0.00380441	0.00389609	0	0
N15	0.00120444	0.00116713	1.65962e-041	0
N16	0.0010338	0.00133473	1.22204e-039	0
N17	0.035273	0.0336719	1.71468e-037	0
Crenetermes_albotarsalis	0.0467722	0.048057	0	0
N18	0.0202308	0.0210365	1.55162e-032	0
Cubitermes_sp	0.0117538	0.012233	0	0
Thoracotermes_macrothorax	0.0117538	0.012233	0	0
N19	0.00520678	0.0117055	1.5408e-037	0
N20	0.0254974	0.0187211	5.73512e-034	0
N21	0.00440971	0.00420649	1.88962e-035	0
Ephelotermes_melachoma	0.0261306	0.0262951	0	0
N22	0.000522251	0.000498031	3.08665e-038	0
Ephelotermes_taylori	0.0221187	0.0223074	0	0
Macrognathotermes_sunteri	0.0221187	0.0223074	0	0
Lophotermes_septentrionalis	0.0410747	0.0410359	0	0
N23	0.0225493	0.171932	1.5698e-036	0
Procubitermes_sp	0.00769322	1.8515	0	0
N24	0.16765	0.0156849	1.7915e-031	0
Tuberculitermes_bycanistes	0.0088136	0.00458079	0	0
Unguitermes_sp	0.0088136	0.00458079	0	0
N25	0.0655687	0.0640476	1.84501e-039	0
Microcerotermes_boreus	0.028816	0.0303217	0	0
Microcerotermes_nervosus	0.028816	0.0303217	0	0
N26	0.0129602	0.00826289	7.50979e-032	0
Macrotermes_bellicosus	0.163958	0.164161	0	0
N27	0.00445947	0.00356238	3.23673e-030	0
N28	0.134806	0.135838	1.92946e-033	0
Microtermes_sp	0.000732737	0.000800377	0	0
Protermes_sp	0.000732737	0.000800377	0	0
