#Nodes with GAIN events with expectation above 0.5
N3: 0.500721
N4: 1.06208
Neotermes_insularis: 3.1065
N42: 1.01985
Cryptotermes_queenslandis: 0.971449
N44: 1.55067
Cryptotermes_cynocephalus: 0.755577
Procryptotermes_australiensis: 2.46143
N46: 0.587118
N47: 1.20616
Stolotermes_sp: 0.844112
Mastotermes_darwiniensis: 1.41707
Porotermes_adamsoni: 1.3776
Total number of gain events: 24.6859
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.74608
Schedorhinotermes_lamanianus: 1.93616
N35: 0.513593
N37: 0.647702
Bifiditermes_improbus: 1.85021
N40: 0.64256
Cryptotermes_primus: 2.76125
Cryptotermes_brevis: 1.25433
Cryptotermes_domesticus: 1.04218
Kalotermes_flavicollis: 3.41336
N48: 4.07068
Stolotermes_sp: 0.598265
N49: 1.94126
Mastotermes_darwiniensis: 2.37613
Porotermes_adamsoni: 1.62094
Total number of loss events: 33.3707
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.996858
N49: 0.787974
Mastotermes_darwiniensis: 0.998832
Total number of duplication events: 2.85183
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0951295	0.356718	7.51161e-015	0
N3	0.500721	0.146837	1.68292e-011	0
N4	1.06208	0.26971	1.39543e-014	0
N5	0.105387	0.0232967	4.51367e-022	0
N6	0.0413819	0.0217672	2.80753e-028	0
N7	0.00310298	0.00285105	1.79415e-033	0
N8	0.0117614	0.0147891	2.6586e-034	0
N9	0.0603612	0.0565562	5.77366e-034	0
N10	0.0110809	0.0113215	2.16491e-031	0
Amitermes_darwini	0.0163924	0.0169534	0	0
Amitermes_germanus	0.0163924	0.0169534	0	0
N11	0.0101774	0.0103839	1.21854e-032	0
Amitermes_parvus	0.0175745	0.0181697	0	0
Drepanotermes_septentrionalis	0.0175745	0.0181697	0	0
N12	0.00636225	0.014764	4.31533e-031	0
N13	0.149624	0.138185	2.00119e-033	0
Microtermes_sp	0.000966663	0.00100096	0	0
Protermes_sp	0.000966663	0.00100096	0	0
N14	0.0789337	0.323277	2.01334e-033	0
Procubitermes_sp	0.00182984	1.74608	0	0
N15	0.255316	0.00487126	3.75487e-033	0
Tuberculitermes_bycanistes	0.00757368	0.00227553	0	0
Unguitermes_sp	0.00757368	0.00227553	0	0
N16	0.0589996	0.0572362	1.54427e-035	0
N17	0.0052894	0.00567766	3.56617e-030	0
N18	0.00650211	0.00655525	1.39884e-033	0
Ephelotermes_melachoma	0.039751	0.0410972	0	0
Ephelotermes_taylori	0.039751	0.0410972	0	0
Macrognathotermes_sunteri	0.063863	0.0652624	0	0
Lophotermes_septentrionalis	0.0872467	0.0890344	0	0
