#Nodes with GAIN events with expectation above 0.5
N4: 0.680014
Neotermes_insularis: 1.5798
Cryptotermes_queenslandis: 0.758086
Incisitermes_sp: 1.38633
Cryptotermes_cynocephalus: 1.93969
N47: 0.690539
Stolotermes_sp: 0.842639
Mastotermes_darwiniensis: 1.11784
Porotermes_adamsoni: 0.936543
Total number of gain events: 15.6286
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.97053
Schedorhinotermes_lamanianus: 1.84139
Bifiditermes_improbus: 2.36716
N41: 0.644567
Cryptotermes_brevis: 1.94958
Cryptotermes_domesticus: 4.25837
Kalotermes_flavicollis: 2.44065
N48: 4.32655
N49: 1.04935
Mastotermes_darwiniensis: 2.73953
Porotermes_adamsoni: 1.10555
Total number of loss events: 29.4756
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.791608
N49: 0.557086
Mastotermes_darwiniensis: 0.999821
Total number of duplication events: 2.44118
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N41:ML=20 to Cryptotermes_primus:ML=15  ProbOfChange = 0.999999  sum expections= 0.203331
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 0	Demi-dupl = 0
N45:ML=20 to Procryptotermes_australiensis:ML=24  ProbOfChange = 1  sum expections= 0.318817
	HEURISTIC ESTIMATION:	Gains = 4	Losses = 0	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0586517	0.178368	3.85654e-022	0
N3	0.255619	0.0278272	1.85015e-014	0
N4	0.680014	0.101146	1.87942e-016	0
N5	0.286383	0.0825082	4.22815e-020	0
N6	0.0117405	0.00711693	3.76075e-034	0
N7	3.33156e-005	2.19109e-005	1.55133e-043	0
N8	0.0197167	0.0187385	7.27695e-040	0
N9	0.0245232	0.0248571	2.27843e-032	0
Amitermes_darwini	0.0112065	0.0118721	0	0
Amitermes_germanus	0.0112065	0.0118721	0	0
N10	0.0094419	0.00927299	5.3459e-032	0
Amitermes_parvus	0.0305024	0.0316709	0	0
Drepanotermes_septentrionalis	0.0305024	0.0316709	0	0
N11	0.002388	0.00207282	2.80288e-038	0
N12	0.00376687	0.00349146	4.34703e-036	0
N13	0.00457276	0.00442449	1.7268e-035	0
Ephelotermes_melachoma	0.0511873	0.0519475	0	0
N14	0.00141272	0.00126006	2.79987e-034	0
Ephelotermes_taylori	0.045262	0.046175	0	0
Macrognathotermes_sunteri	0.045262	0.046175	0	0
Lophotermes_septentrionalis	0.0823407	0.0829527	0	0
N15	0.0551448	0.0546571	7.35539e-036	0
Tuberculitermes_bycanistes	0.0103181	0.0111423	0	0
Unguitermes_sp	0.0103181	0.0111423	0	0
N16	0.000399349	0.000432343	2.42238e-044	0
N17	0.000484942	0.000923898	1.08432e-040	0
N18	0.0105911	0.0719646	4.02234e-042	0
N19	0.0653267	0.00625744	8.17906e-033	0
Crenetermes_albotarsalis	0.0282921	0.0255261	0	0
N20	0.00215145	0.000718102	3.25575e-033	0
Cubitermes_sp	0.0231317	0.0217997	0	0
Thoracotermes_macrothorax	0.0231317	0.0217997	0	0
Procubitermes_sp	0.0323628	1.97053	0	0
N21	0.000671668	0.000391079	7.97363e-039	0
