#Nodes with GAIN events with expectation above 0.5
Neotermes_insularis: 1.18375
Cryptotermes_queenslandis: 0.624496
Cryptotermes_cynocephalus: 0.930229
Incisitermes_sp: 0.593489
Procryptotermes_australiensis: 2.83086
Porotermes_adamsoni: 0.624103
N50: 1.60148
Mastotermes_darwiniensis: 0.821717
Total number of gain events: 14.6359
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.89588
Schedorhinotermes_lamanianus: 2.04215
Bifiditermes_improbus: 2.92835
N41: 0.703159
Cryptotermes_primus: 1.02654
Cryptotermes_brevis: 2.51304
N45: 0.786261
N46: 0.997919
Kalotermes_flavicollis: 3.74079
Porotermes_adamsoni: 1.78196
N49: 1.40062
Stolotermes_sp: 3.92279
N50: 1.14157
Mastotermes_darwiniensis: 2.26404
Total number of loss events: 32.83
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.905362
Mastotermes_darwiniensis: 0.996507
Total number of duplication events: 2.21246
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N45:ML=21 to Cryptotermes_domesticus:ML=15  ProbOfChange = 1  sum expections= 0.325179
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 6	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0521039	0.35655	1.85542e-013	0
N3	0.140365	0.305339	1.50082e-014	0
N4	0.273303	0.373013	6.06171e-018	0
N5	0.0659696	0.062723	2.22934e-023	0
N6	0.00433622	0.00719083	4.89412e-031	0
N7	0.00744226	0.00635629	2.93218e-037	0
N8	0.0215519	0.0215909	2.97555e-032	0
N9	0.000487045	0.000517742	3.80985e-031	0
N10	0.0158654	0.0164369	1.61203e-035	0
Amitermes_darwini	0.0136772	0.0150399	0	0
Amitermes_germanus	0.0136772	0.0150399	0	0
Amitermes_parvus	0.0521586	0.0540928	0	0
Drepanotermes_septentrionalis	0.0540629	0.0560278	0	0
N11	0.0255539	0.0233289	1.11836e-030	0
N12	0.0210803	0.023671	2.17094e-028	0
Microcerotermes_boreus	0.0120919	0.01373	0	0
Microcerotermes_nervosus	0.0120919	0.01373	0	0
Pericapritermes_sp	0.0559223	0.0601512	0	0
N13	0.000749151	0.000791755	3.54441e-037	0
N14	0.0025862	0.0025723	3.76344e-035	0
N15	0.00983431	0.0131733	5.78549e-035	0
N16	0.0178673	0.0136136	1.27317e-031	0
Crenetermes_albotarsalis	0.0439133	0.0457172	0	0
N17	0.0108141	0.0110208	2.15823e-030	0
Cubitermes_sp	0.0175174	0.0191146	0	0
Thoracotermes_macrothorax	0.0175174	0.0191146	0	0
N18	0.0221161	0.125015	1.73548e-032	0
Procubitermes_sp	0.00123316	1.89588	0	0
N19	0.109627	0.0081657	1.11039e-029	0
Tuberculitermes_bycanistes	0.0108678	0.00698133	0	0
Unguitermes_sp	0.0108678	0.00698133	0	0
