#Nodes with GAIN events with expectation above 0.5
N5: 0.875917
Coptotermes_acinaciformis: 0.684284
N33: 0.572183
Incisitermes_sp: 2.28258
N41: 0.876382
Cryptotermes_queenslandis: 0.962393
Procryptotermes_australiensis: 2.61949
Cryptotermes_cynocephalus: 2.36726
N48: 1.63348
Stolotermes_sp: 1.08017
Porotermes_adamsoni: 1.69497
Mastotermes_darwiniensis: 2.73712
Total number of gain events: 24.6072
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.8615
Schedorhinotermes_lamanianus: 1.84708
N37: 0.637889
Bifiditermes_improbus: 1.05351
N40: 0.580411
Cryptotermes_primus: 2.46949
Cryptotermes_brevis: 1.89158
Cryptotermes_domesticus: 1.23723
Kalotermes_flavicollis: 2.95812
N49: 4.53712
Porotermes_adamsoni: 1.50908
Mastotermes_darwiniensis: 2.87551
Total number of loss events: 29.3393
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.999918
Mastotermes_darwiniensis: 0.999998
Total number of duplication events: 2.40975
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N38:ML=19 to Neotermes_insularis:ML=30  ProbOfChange = 1  sum expections= 0.10342
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 4	Duplications = 1	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0158292	0.0369429	2.17902e-016	0
N3	0.131729	0.450262	3.43937e-017	0
N4	0.341558	0.0647211	9.69337e-012	0
N5	0.875917	0.104077	5.79314e-015	0
N6	0.0812028	0.054991	3.03628e-019	0
N7	0.452669	0.0643087	5.86497e-021	0
N8	0.0556968	0.018728	1.01847e-026	0
N9	0.00894917	0.00875234	5.1115e-032	0
N10	0.0618046	0.0578443	5.52287e-035	0
N11	0.00869679	0.00867702	1.12237e-034	0
Amitermes_darwini	0.0116961	0.0120443	0	0
Amitermes_germanus	0.0116961	0.0120443	0	0
N12	0.00344876	0.00368353	6.14054e-037	0
Amitermes_parvus	0.0189354	0.019029	0	0
N13	9.67335e-005	9.83595e-005	3.28333e-040	0
N14	0.00697046	0.00698225	2.55761e-038	0
Drepanotermes_septentrionalis	0.00359288	0.00367311	0	0
Pericapritermes_sp	0.00359288	0.00367311	0	0
Odontotermes_sp	0.0176264	0.0177184	0	0
N15	0.00950626	0.0214554	1.65557e-033	0
N16	0.0357418	0.0203556	1.6532e-035	0
N17	0.00204689	0.00168536	1.33424e-034	0
Ephelotermes_melachoma	0.0346341	0.0348008	0	0
N18	0.000213526	0.000180344	3.15717e-038	0
Ephelotermes_taylori	0.0332002	0.0334	0	0
Macrognathotermes_sunteri	0.0332002	0.0334	0	0
Lophotermes_septentrionalis	0.0444853	0.0442904	0	0
N19	0.0158263	0.171789	5.98832e-034	0
Procubitermes_sp	0.0330442	1.8615	0	0
N20	0.20807	0.0372491	1.29868e-031	0
Tuberculitermes_bycanistes	0.00190653	0.00118409	0	0
Unguitermes_sp	0.00190653	0.00118409	0	0
