#Nodes with GAIN events with expectation above 0.5
N3: 0.745018
N4: 1.99403
Liturgusa_cursor: 0.809793
Liturgusa_maya: 0.8055
Parathespis_humbertiana: 1.99764
Choeradodis_rhombicollis: 1.99955
Kongobatha_sp: 0.977624
Deiphobe_sp: 2.52081
Didymocorypha_lanceolata: 0.552386
Callimantis_antillarum: 2.11768
Miomantis_sp: 1.03197
Bolbe_pallida: 1.03661
Schizocephala_bicornis: 1.01647
Humbertiella_similis: 1.35303
Pseudomiopteryx_infuscata: 1.62921
Total number of gain events: 23.5005
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Orthodera_sp: 0.983896
Harpagomantis_tricolor: 0.84603
Dystacta_alticeps: 0.690104
Ligaria_sp: 0.716343
Iris_sp: 0.857541
Cliomantis_cornuta: 0.982434
Total number of loss events: 7.47552
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.997964
N10: 0.502339
Dystacta_alticeps: 0.912638
Ligaria_sp: 0.912525
Iris_sp: 0.977398
N37: 0.577409
Schizocephala_bicornis: 0.629936
Antistia_sp: 0.521839
Humbertiella_similis: 0.521848
N40: 0.966312
Total number of duplication events: 9.94545
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0141957	0.0156035	5.20215e-016	0
N3	0.745018	0.000309433	9.84027e-008	0
N4	1.99403	0.0235294	1.75901e-005	0
Acanthops_falcata	1.39382e-005	8.0305e-008	0	0
Pseudacanthops_sp	1.39382e-005	8.0305e-008	0	0
N5	0.194169	0.00666198	1.06739e-007	0
Liturgusa_cursor	0.809793	0.297645	0.997964	0
Liturgusa_maya	0.8055	0.0223925	0	0
N6	0.000253153	0.248633	1.45703e-012	0
N7	3.71574e-005	0.034671	3.01057e-013	0
N8	4.32562e-005	0.00103432	7.49223e-014	0
N9	0.000616864	4.18551e-005	1.26365e-008	0
N10	4.09456e-006	0.000471771	0.502339	0
N11	0.000520968	0.00222542	0.416888	0
N12	0.00223378	0.000610596	0.0788154	0
N13	0.000707342	0.000585688	0.00163891	0
N14	2.63292e-005	0.000122141	3.7434e-005	0
Antemna_rapax	0.0125487	0.0125184	3.13947e-005	0
N15	0.000172732	0.00033149	1.94703e-005	0
Archimantis_sobrina	0.00767064	0.00748163	1.19244e-005	0
Sphodropoda_sp	0.00767064	0.00748163	1.19244e-005	0
N16	0.00227434	1.48867e-005	1.30701e-005	0
Parathespis_humbertiana	1.99764	1.87348e-005	5.57446e-005	0
N17	3.965e-005	0.00229979	4.88097e-005	0
N18	7.63653e-005	0.000162264	6.10241e-006	0
N19	4.6882e-005	3.883e-005	7.67195e-007	0
Polyspilota_aeruginosa	0.00203817	0.00202396	6.5331e-008	0
N20	2.92009e-005	3.91645e-005	4.36415e-008	0
Tenodera_aridifolia	0.00125406	0.00122988	2.16886e-008	0
Tenodera_australasiae	0.00125406	0.00122988	2.16886e-008	0
Tenodera_superstitiosa	0.00475703	0.00473477	8.32526e-007	0
Sphodromantis_sp	0.00776299	0.00782662	6.93493e-006	0
N21	6.28276e-005	6.38043e-005	0.00118692	0
N22	6.19101e-005	4.18785e-005	4.73853e-006	0
N23	8.06513e-005	0.0204787	0.00022532	0
Cheddikulama_straminea	0.0374612	0.017022	0.000290694	0
Orthodera_sp	0.00435473	0.983896	0.000290694	0
Choeradodis_rhombicollis	1.99955	3.69234e-006	0.000516014	0
N24	0.000788754	0.000972364	0.000360064	0
N25	0.00279432	0.00275036	0.000146511	0
Hierodula_patellifera	0.0023342	0.00213748	1.41769e-005	0
Statilia_maculata	0.0023342	0.00213748	1.41769e-005	0
Mantis_religiosa	0.0134879	0.0132472	0.000160688	0
N26	0.014494	0.169751	0.0785467	0
Harpagomantis_tricolor	0.0034393	0.84603	0.00197629	0
Vates_sp	0.159669	0.00227829	0.00197639	0
N27	0.00076067	0.00105773	0.350184	0
Creobroter_laevicollis	0.0304265	0.030155	0.147226	0
N28	0.000413952	0.000561785	0.0512426	0
N29	0.0151639	0.0125753	0.0935699	0
N30	0.0208963	0.000678493	0.00238713	0
Empusa_sp	1.17343e-005	0.0224	2.66387e-005	0
Kongobatha_sp	0.977624	1.21314e-005	2.66348e-005	0
Gongylus_sp	0.00161768	0.00378821	0.00241377	0
Hestiasula_sp	0.025378	0.0249587	0.0959837	0
N31	0.48572	0.000454851	1.00589e-008	0
Deiphobe_sp	2.52081	0.00832872	0.000246043	0
