#Nodes with GAIN events with expectation above 0.5
N3: 0.692811
N4: 1.54836
Parathespis_humbertiana: 2.00099
Choeradodis_rhombicollis: 1.80559
Kongobatha_sp: 0.852889
Humbertiella_similis: 1.05397
Miomantis_sp: 0.966006
Callimantis_antillarum: 1.71248
Deiphobe_sp: 2.06107
Schizocephala_bicornis: 0.532382
Bolbe_pallida: 0.943991
Pseudomiopteryx_infuscata: 1.21192
Total number of gain events: 21.1138
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.854202
N6: 0.602594
Orthodera_sp: 1.04462
Harpagomantis_tricolor: 0.921165
Antistia_sp: 0.713708
Iris_sp: 1.0279
Dystacta_alticeps: 0.767581
Ligaria_sp: 0.918526
Schizocephala_bicornis: 0.76585
Cliomantis_cornuta: 1.20001
Oligonyx_sp: 0.838452
Thesprotia_graminis: 0.838452
Total number of loss events: 15.7851
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.986505
N10: 0.628471
N32: 0.746815
Iris_sp: 0.888864
Dystacta_alticeps: 0.778665
Ligaria_sp: 0.778206
Schizocephala_bicornis: 0.999945
N38: 0.852035
N40: 0.661198
Total number of duplication events: 11.1529
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0665626	0.140255	1.1622e-008	0
N3	0.692811	0.0203708	0.00104234	0
N4	1.54836	0.214037	0.0174929	0
Acanthops_falcata	9.37605e-006	1.4134e-006	0	0
Pseudacanthops_sp	9.37605e-006	1.4134e-006	0	0
N5	0.305872	0.106143	0.000218302	0
Liturgusa_cursor	0.35857	0.854202	0.986505	0
Liturgusa_maya	0.336969	0.0987166	1.70801e-006	0
N6	0.00862659	0.602594	2.83902e-008	0
N7	0.00611814	0.0972439	9.77e-009	0
N8	2.78635e-005	0.0238942	1.49264e-006	0
N9	0.000898391	0.101799	0.201006	0
N10	0.0419643	0.092913	0.628471	0
N11	0.000723615	0.0346583	0.15797	0
N12	0.000351913	0.00183234	0.00805643	0
N13	0.0045995	0.00325042	0.00369217	0
N14	0.003979	0.00423886	0.000513483	0
Antemna_rapax	0.0409773	0.0414743	0.000280813	0
N15	0.00600105	0.00601284	0.000186885	0
Archimantis_sobrina	0.0236462	0.0241316	9.39275e-005	0
Sphodropoda_sp	0.0236462	0.0241316	9.39275e-005	0
N16	0.0161006	0.00568309	0.000594865	0
Parathespis_humbertiana	2.00099	0.0124559	0.00019943	0
N17	6.22015e-005	0.00451772	6.39287e-005	0
N18	0.000924188	0.00604181	9.64056e-005	0
N19	0.00148837	0.00291449	3.45679e-005	0
Polyspilota_aeruginosa	0.015299	0.0154693	4.38933e-006	0
N20	0.000362346	0.000413333	2.09265e-006	0
Tenodera_aridifolia	0.0115773	0.0116965	2.29652e-006	0
Tenodera_australasiae	0.0115773	0.0116965	2.29652e-006	0
