#Nodes with GAIN events with expectation above 0.5
N3: 0.539901
N4: 0.755719
Parathespis_humbertiana: 0.822427
Choeradodis_rhombicollis: 0.714577
Miomantis_sp: 0.676268
Kongobatha_sp: 0.797525
Deiphobe_sp: 1.21158
Callimantis_antillarum: 1.05922
Pseudomiopteryx_infuscata: 0.63252
Total number of gain events: 11.936
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 1.4098
N6: 0.562204
N10: 0.556696
Parathespis_humbertiana: 0.89701
Choeradodis_rhombicollis: 0.523536
Orthodera_sp: 1.44086
Harpagomantis_tricolor: 1.36538
Schizocephala_bicornis: 1.34906
Deiphobe_sp: 2.09246
Antistia_sp: 1.40841
Callimantis_antillarum: 1.07696
Dystacta_alticeps: 1.71381
Ligaria_sp: 1.79696
Iris_sp: 2.08744
N38: 1.25505
Cliomantis_cornuta: 1.78987
N39: 0.68134
N40: 0.660297
Oligonyx_sp: 1.1257
Thesprotia_graminis: 1.1257
Total number of loss events: 33.7134
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.838506
Choeradodis_rhombicollis: 0.752082
Orthodera_sp: 0.751547
N24: 0.588951
Cheddikulama_straminea: 0.998204
Harpagomantis_tricolor: 0.996505
Creobroter_laevicollis: 0.560091
Kongobatha_sp: 0.555698
Schizocephala_bicornis: 0.999047
N34: 0.559247
Dystacta_alticeps: 0.969051
Ligaria_sp: 0.968203
Iris_sp: 0.993896
N38: 0.887011
N40: 0.538954
Total number of duplication events: 20.7541
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0724322	0.382692	3.80587e-005	0
N3	0.539901	0.267022	0.0572679	0
N4	0.755719	0.33264	0.0351194	0
Acanthops_falcata	4.81708e-006	1.02329e-005	0	0
Pseudacanthops_sp	4.81708e-006	1.02329e-005	0	0
N5	0.0600602	0.21451	0.0101813	0
Liturgusa_cursor	0.121564	1.4098	0.838506	0
Liturgusa_maya	0.128388	0.405668	0.00125148	0
N6	0.00945771	0.562204	1.65082e-007	0
N7	0.00340409	0.0956714	4.17377e-008	0
N8	0.0117949	0.0698002	6.28184e-007	0
N9	0.00306036	0.0232101	3.41743e-007	0
N10	0.0130545	0.556696	0.000887204	0
N11	0.00705413	0.13154	0.000408125	0
N12	0.00379064	0.0727744	0.0828098	0
N13	0.00381962	0.0107535	0.0307956	0
N14	0.0106537	0.140221	0.222009	0
N15	0.0158361	0.175827	0.440542	0
N16	0.00280894	0.0139931	0.0882731	0
Antemna_rapax	0.0388652	0.048939	0.13425	0
N17	0.0012401	0.0022627	0.0178032	0
Archimantis_sobrina	0.0351979	0.0442197	0.116447	0
Sphodropoda_sp	0.0351979	0.0442197	0.116447	0
Vates_sp	0.0539935	0.0757494	0.222523	0
N18	0.0431417	0.0441013	0.173225	0
Parathespis_humbertiana	0.822427	0.89701	0.48984	0
N19	0.00197312	0.134493	0.168157	0
N20	0.000824953	0.0209694	0.0619623	0
N21	0.00439481	0.0274243	0.132583	0
Polyspilota_aeruginosa	0.0312736	0.0467268	0.12713	0
N22	0.00818103	0.0198099	0.0995741	0
Tenodera_aridifolia	0.00746345	0.0112699	0.0275559	0
Tenodera_australasiae	0.00746345	0.0112699	0.0275559	0
Tenodera_superstitiosa	0.0488553	0.0877857	0.259713	0
Sphodromantis_sp	0.0534791	0.113746	0.321676	0
N23	0.073989	0.0469243	0.133513	0
Choeradodis_rhombicollis	0.714577	0.523536	0.752082	0
Orthodera_sp	0.115067	1.44086	0.751547	0
