#Nodes with GAIN events with expectation above 0.5
N3: 0.563252
N4: 1.15927
Parathespis_humbertiana: 1.82167
Choeradodis_rhombicollis: 1.86613
Miomantis_sp: 1.01205
Kongobatha_sp: 0.705662
Didymocorypha_lanceolata: 0.654099
Bolbe_pallida: 0.564697
Schizocephala_bicornis: 0.54723
Callimantis_antillarum: 1.00376
Deiphobe_sp: 1.50292
Pseudomiopteryx_infuscata: 0.910618
Total number of gain events: 16.4597
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 1.09362
Orthodera_sp: 1.06425
Harpagomantis_tricolor: 1.11534
N35: 0.726316
Cliomantis_cornuta: 0.963724
Schizocephala_bicornis: 0.743312
N37: 0.606004
Iris_sp: 1.08544
N38: 0.77324
Dystacta_alticeps: 0.900335
Ligaria_sp: 1.1763
Deiphobe_sp: 1.08008
Oligonyx_sp: 1.1272
Thesprotia_graminis: 1.1272
Total number of loss events: 20.7483
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.962801
Vates_sp: 0.58067
Harpagomantis_tricolor: 0.610468
Creobroter_laevicollis: 0.640676
Schizocephala_bicornis: 0.589029
Iris_sp: 0.697279
Dystacta_alticeps: 0.708947
Ligaria_sp: 0.70841
Humbertiella_similis: 0.998496
Oligonyx_sp: 0.526472
Thesprotia_graminis: 0.526472
Total number of duplication events: 12.9527
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0471348	0.0700374	1.26382e-008	0
N3	0.563252	0.0308095	0.00148211	0
N4	1.15927	0.184432	0.0151658	0
Acanthops_falcata	0.000105457	4.67466e-005	0	0
Pseudacanthops_sp	0.000105457	4.67466e-005	0	0
N5	0.153977	0.126765	0.000631257	0
Liturgusa_cursor	0.185775	1.09362	0.962801	0
Liturgusa_maya	0.187149	0.152432	5.10102e-005	0
N6	0.00457624	0.328789	1.57946e-007	0
N7	0.00215317	0.351378	6.5224e-007	0
N8	0.000124715	0.0382786	9.42376e-008	0
N9	0.00618037	0.124018	9.69727e-007	0
N10	0.00261887	0.470693	0.00161895	0
N11	0.000291767	0.00351534	3.61781e-005	0
N12	0.000621363	0.0755536	0.387864	0
N13	0.000316774	0.00252657	0.0297185	0
N14	0.0135368	0.0254683	0.49215	0
N15	0.00414681	0.00127264	0.0313545	0
N16	0.0122856	0.00512665	0.0287291	0
N17	0.00482911	0.0140309	0.0173004	0
Antemna_rapax	0.0529265	0.0598048	0.0111331	0
N18	0.0017184	0.00243787	0.00225783	0
Archimantis_sobrina	0.0468924	0.053053	0.00887526	0
Sphodropoda_sp	0.0468924	0.053053	0.00887526	0
N19	0.0367354	0.00119635	0.00218438	0
Parathespis_humbertiana	1.82167	0.329312	0.0262491	0
N20	0.0158007	0.0666033	0.025805	0
N21	0.00101171	0.00170114	0.00038453	0
Polyspilota_aeruginosa	0.00746742	0.0076908	5.95909e-005	0
N22	0.000691476	0.000742514	4.48652e-005	0
Tenodera_aridifolia	0.00489157	0.00506392	1.47257e-005	0
Tenodera_australasiae	0.00489157	0.00506392	1.47257e-005	0
N23	0.000205512	0.000325086	0.000107397	0
Sphodromantis_sp	0.0135119	0.0143052	0.000336713	0
Tenodera_superstitiosa	0.0135119	0.0143052	0.000336713	0
N24	0.0689623	0.0307786	0.0350583	0
N25	0.060396	0.00109636	0.000936385	0
Cheddikulama_straminea	0.0402438	0.147489	0.0211374	0
Choeradodis_rhombicollis	1.86613	0.0102775	0.0211374	0
Orthodera_sp	0.0176362	1.06425	0.0221042	0
N26	0.0273018	0.0291288	0.0706864	0
N27	0.0105915	0.0129114	0.0146136	0
