#Nodes with GAIN events with expectation above 0.5
N3: 0.75419
N4: 1.20274
Parathespis_humbertiana: 1.97051
Choeradodis_rhombicollis: 1.95568
N30: 0.837525
Deiphobe_sp: 1.58351
Didymocorypha_lanceolata: 0.577723
Bolbe_pallida: 0.507747
Schizocephala_bicornis: 0.636538
Callimantis_antillarum: 1.13382
Pseudomiopteryx_infuscata: 1.07285
Total number of gain events: 16.4274
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.993064
Orthodera_sp: 1.05629
Harpagomantis_tricolor: 1.05344
N35: 0.830746
Cliomantis_cornuta: 0.868575
Iris_sp: 1.0504
N38: 0.623203
Dystacta_alticeps: 0.621556
Ligaria_sp: 1.00883
N40: 0.750773
Oligonyx_sp: 0.555631
Thesprotia_graminis: 0.555631
Total number of loss events: 16.5767
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.987959
N9: 0.69734
N32: 0.577323
Iris_sp: 0.727475
Dystacta_alticeps: 0.51838
Ligaria_sp: 0.518007
Humbertiella_similis: 0.999868
N40: 0.923691
Total number of duplication events: 8.13862
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0216039	0.0186747	3.45591e-009	0
N3	0.75419	0.0471631	0.00138427	0
N4	1.20274	0.155354	0.00630741	0
Acanthops_falcata	4.44617e-005	8.5003e-006	0	0
Pseudacanthops_sp	4.44617e-005	8.5003e-006	0	0
N5	0.177362	0.162176	7.62418e-005	0
Liturgusa_cursor	0.165778	0.993064	0.987959	0
Liturgusa_maya	0.155161	0.0854125	6.99289e-007	0
N6	0.0168413	0.340652	8.87526e-006	0
N7	0.0056483	0.370838	1.6609e-005	0
N8	0.00750524	0.0193938	1.4562e-006	0
N9	0.00421241	0.496843	0.69734	0
N10	0.00901371	0.0348715	0.277228	0
N11	0.00462856	0.00137878	0.0174394	0
N12	0.00307102	0.00217466	0.00717354	0
N13	0.000678008	0.000219509	0.000137816	0
N14	0.00403886	0.00389976	0.000578559	0
N15	0.00150793	0.00190742	3.24968e-005	0
Antemna_rapax	0.0431982	0.0441018	2.79231e-005	0
N16	0.00490416	0.00477634	1.74222e-005	0
Archimantis_sobrina	0.0227878	0.0238192	1.05009e-005	0
Sphodropoda_sp	0.0227878	0.0238192	1.05009e-005	0
N17	0.0100545	0.00164044	2.74856e-005	0
N18	0.0209072	0.000630065	4.79495e-006	0
Parathespis_humbertiana	1.97051	0.0859083	2.81394e-005	0
N19	0.00494379	0.0329609	2.62574e-005	0
N20	0.000691342	0.00236138	1.6195e-006	0
Polyspilota_aeruginosa	0.00844351	0.00875317	2.6248e-007	0
N21	0.000651864	0.00083576	2.08224e-007	0
Tenodera_aridifolia	0.00526481	0.00539058	5.42553e-008	0
Tenodera_australasiae	0.00526481	0.00539058	5.42553e-008	0
Tenodera_superstitiosa	0.0133772	0.015357	1.88198e-006	0
Sphodromantis_sp	0.0411184	0.0508355	3.29344e-005	0
N22	0.0223966	0.00734062	4.09162e-005	0
Choeradodis_rhombicollis	1.95568	0.137191	0.000599408	0
Orthodera_sp	0.0399164	1.05629	0.000597597	0
N23	0.00673425	0.00607066	0.000449662	0
N24	0.0172582	0.0176307	0.000287625	0
Hierodula_patellifera	0.0137174	0.0147147	3.95562e-005	0
Statilia_maculata	0.0137174	0.0147147	3.95562e-005	0
Mantis_religiosa	0.0540394	0.055409	0.000327181	0
N25	0.0188969	0.0160435	0.00477032	0
Cheddikulama_straminea	0.0531553	0.0558222	0.00318005	0
Vates_sp	0.0531553	0.0558222	0.00318005	0
Harpagomantis_tricolor	0.0584025	1.05344	0.0253898	0
N26	0.0155564	0.0318855	0.19617	0
N27	0.0198175	0.0209591	0.0615032	0
Creobroter_laevicollis	0.0579097	0.0632213	0.0449455	0
Hestiasula_sp	0.0579097	0.0632213	0.0449455	0
N28	0.0406733	0.0441885	0.0908221	0
Empusa_sp	0.0250815	0.0281003	0.0156265	0
Gongylus_sp	0.0250815	0.0281003	0.0156265	0
N29	0.119839	0.00232689	2.43587e-006	0
N30	0.837525	0.084644	0.00564999	0
Deiphobe_sp	1.58351	0.0436496	0.00954864	0
Miomantis_sp	0.0525817	0.455427	0	0
Didymocorypha_lanceolata	0.577723	0.196619	0.000475845	0
N31	0.00423767	0.1351	0.159214	0
N32	0.12954	0.107027	0.577323	0
N33	0.120753	0.196953	0.20327	0
N34	0.0199698	0.0677282	0.0196205	0
N35	0.0529199	0.830746	0.0402399	0
Antistia_sp	0.135689	0.00123832	6.9252e-005	0
Cliomantis_cornuta	0.00302677	0.868575	6.92342e-005	0
Kongobatha_sp	0.49434	0.153894	0.0403092	0
Bolbe_pallida	0.507747	0.218909	0.0599301	0
Schizocephala_bicornis	0.636538	0.454277	0.2632	0
N36	0.00438938	0.258002	0.0226395	0
N37	0.226904	0.410975	0.087811	0
Callimantis_antillarum	1.13382	0.459059	0.00424388	0
Iris_sp	0.211032	1.0504	0.727475	0
N38	0.0166777	0.623203	0.298803	0
Dystacta_alticeps	0.352336	0.621556	0.51838	0
