#Nodes with GAIN events with expectation above 0.5
N3: 1.05056
N4: 1.3239
Parathespis_humbertiana: 1.99523
Choeradodis_rhombicollis: 1.98578
Didymocorypha_lanceolata: 1.04603
Callimantis_antillarum: 1.74474
Dystacta_alticeps: 0.529389
Humbertiella_similis: 1.10211
Bolbe_pallida: 0.668796
Kongobatha_sp: 0.668796
Schizocephala_bicornis: 0.922123
Miomantis_sp: 0.928927
Deiphobe_sp: 2.81932
Pseudomiopteryx_infuscata: 1.32832
Total number of gain events: 21.5197
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.858844
N6: 0.558368
Orthodera_sp: 0.953722
Harpagomantis_tricolor: 0.774365
Iris_sp: 1.08847
N32: 0.501613
Ligaria_sp: 0.680538
Cliomantis_cornuta: 0.814156
Total number of loss events: 11.2735
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.996427
N9: 0.562886
Iris_sp: 0.923526
Dystacta_alticeps: 0.603166
Ligaria_sp: 0.602749
Humbertiella_similis: 0.995004
N35: 0.601899
N40: 0.880152
Total number of duplication events: 9.28962
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0511137	0.083745	3.61395e-010	0
N3	1.05056	0.0248385	0.000179972	0
N4	1.3239	0.0571847	0.000140649	0
Acanthops_falcata	0.000209679	0.000104844	0	0
Pseudacanthops_sp	0.000209679	0.000104844	0	0
N5	0.193004	0.0879949	6.01786e-006	0
Liturgusa_cursor	0.22851	0.858844	0.996427	0
Liturgusa_maya	0.184769	0.0221507	0	0
N6	0.010042	0.558368	2.35323e-011	0
N7	0.000216906	0.0794615	5.04286e-007	0
N8	0.00171397	0.055489	9.54017e-006	0
N9	7.30775e-005	0.0138813	0.562886	0
N10	0.0013266	0.00374192	0.278258	0
N11	0.00460775	0.00289113	0.140451	0
N12	0.0141353	0.00107499	0.00211442	0
N13	0.00453376	0.0173827	0.00663879	0
N14	0.000621114	0.000880682	6.65131e-005	0
Antemna_rapax	0.027061	0.0271429	7.55493e-005	0
N15	0.00408183	0.00435521	6.2629e-005	0
Archimantis_sobrina	0.0117268	0.0115353	1.29203e-005	0
Sphodropoda_sp	0.0117268	0.0115353	1.29203e-005	0
N16	0.00234591	0.00122635	0.000111475	0
N17	0.00375883	0.000378252	7.86674e-006	0
Parathespis_humbertiana	1.99523	9.28976e-005	2.27206e-005	0
N18	0.000668892	0.00467171	1.71724e-005	0
N19	0.00170988	0.00253414	5.04921e-006	0
Polyspilota_aeruginosa	0.00676842	0.00678312	4.99052e-007	0
N20	0.00133567	0.00137435	4.60694e-007	0
Tenodera_aridifolia	0.00197735	0.00195337	3.83586e-008	0
