#Nodes with GAIN events with expectation above 0.5
N3: 0.645631
N4: 1.9661
Liturgusa_cursor: 0.726607
Liturgusa_maya: 0.725265
Parathespis_humbertiana: 1.9934
Choeradodis_rhombicollis: 1.99968
Miomantis_sp: 1.04184
N31: 0.535886
Deiphobe_sp: 2.30783
Schizocephala_bicornis: 0.92006
Callimantis_antillarum: 2.04608
Dystacta_alticeps: 0.672717
Humbertiella_similis: 1.15877
Bolbe_pallida: 0.784816
Kongobatha_sp: 0.962691
Pseudomiopteryx_infuscata: 1.47223
Total number of gain events: 23.4215
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Orthodera_sp: 0.969103
Harpagomantis_tricolor: 0.80702
N35: 0.649694
Iris_sp: 0.927653
Cliomantis_cornuta: 1.06171
Total number of loss events: 9.37781
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.996561
N10: 0.753797
Schizocephala_bicornis: 1
N35: 0.614434
Iris_sp: 0.968866
Humbertiella_similis: 0.995798
N36: 0.851966
N40: 0.840166
Total number of duplication events: 9.05276
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0428666	0.042416	8.48624e-011	0
N3	0.645631	0.00417059	8.93124e-006	0
N4	1.9661	0.080491	0.00379678	0
Acanthops_falcata	1.18755e-005	3.2096e-007	0	0
Pseudacanthops_sp	1.18755e-005	3.2096e-007	0	0
N5	0.284496	0.0316789	5.30571e-006	0
Liturgusa_cursor	0.726607	0.470685	0.996561	0
Liturgusa_maya	0.725265	0.0697156	0	0
N6	0.00742725	0.413916	1.31584e-010	0
N7	0.0144143	0.0392913	1.4171e-011	0
N8	0.0042083	0.00153185	5.37353e-012	0
N9	0.000790968	0.0081591	4.921e-007	0
N10	0.000156084	0.0139322	0.753797	0
N11	0.0025106	0.00434005	0.21995	0
N12	0.00188827	0.000648528	0.0220006	0
N13	0.0012691	0.000845984	0.00345835	0
N14	0.00404384	0.00416426	0.000774226	0
N15	0.00117043	0.00123409	1.54789e-005	0
Antemna_rapax	0.0165623	0.0164569	3.51481e-006	0
N16	0.00158143	0.00165894	2.60639e-006	0
Archimantis_sobrina	0.00919517	0.00901231	9.08419e-007	0
Sphodropoda_sp	0.00919517	0.00901231	9.08419e-007	0
N17	0.00144986	0.00135919	1.68423e-005	0
N18	0.00123685	0.000496243	1.83307e-006	0
N19	0.00576711	1.8036e-005	1.17768e-008	0
Parathespis_humbertiana	1.9934	3.41738e-005	3.066e-007	0
Tenodera_superstitiosa	0.010145	0.0166922	3.066e-007	0
N20	0.00101739	0.00180319	2.98584e-007	0
N21	0.000396217	0.000432923	1.51207e-008	0
Polyspilota_aeruginosa	0.00361005	0.00357713	4.7169e-009	0
Tenodera_aridifolia	0.00361005	0.00357713	4.7169e-009	0
Tenodera_australasiae	0.00592385	0.00592763	1.98376e-008	0
Sphodromantis_sp	0.0162555	0.0163044	2.15149e-006	0
N22	0.0108273	0.00391336	0.000294249	0
N23	0.00176236	0.0511171	0.000348146	0
Cheddikulama_straminea	0.0683044	0.0259416	0.000150805	0
Orthodera_sp	0.0114795	0.969103	0.000150805	0
Choeradodis_rhombicollis	1.99968	0.00721265	0.000498971	0
N24	0.0101249	0.0105429	0.00358543	0
N25	0.011511	0.0109021	0.000646474	0
Hierodula_patellifera	0.00280358	0.00265001	1.96664e-005	0
Statilia_maculata	0.00280358	0.00265001	1.96664e-005	0
Mantis_religiosa	0.0234003	0.0226372	0.00066614	0
N26	0.0351976	0.228987	0.0259038	0
Harpagomantis_tricolor	0.00284266	0.80702	0.000348338	0
Vates_sp	0.200334	0.00451553	0.000348376	0
N27	0.0039881	0.00472915	0.20283	0
Creobroter_laevicollis	0.063144	0.0625839	0.0433721	0
N28	0.000768959	0.000875269	0.0120019	0
N29	0.0121741	0.0125668	0.0259403	0
Empusa_sp	0.0202016	0.0192072	0.00542988	0
Gongylus_sp	0.0202016	0.0192072	0.00542988	0
Hestiasula_sp	0.0555641	0.0549152	0.0313702	0
Miomantis_sp	1.04184	0.0558501	0	0
N30	0.127988	0.00072388	1.56367e-007	0
N31	0.535886	0.00215116	4.29218e-007	0
Deiphobe_sp	2.30783	0.0558112	0.0108844	0
Didymocorypha_lanceolata	0.404703	0.0873811	0	0
Schizocephala_bicornis	0.92006	0.274246	1	0
N32	0.00736861	0.0153648	0.00420121	0
N33	0.00370974	0.134233	0.024941	0
N34	0.0120665	0.0499364	0.00798329	0
Callimantis_antillarum	2.04608	0.119563	0	0
N35	0.0153834	0.649694	0.614434	0
