#Nodes with GAIN events with expectation above 0.5
N3: 0.988008
N4: 1.51743
Liturgusa_cursor: 0.533278
Liturgusa_maya: 0.503216
Parathespis_humbertiana: 1.99171
Choeradodis_rhombicollis: 1.96989
Dystacta_alticeps: 0.694075
Miomantis_sp: 0.9525
Deiphobe_sp: 2.54083
Humbertiella_similis: 0.60597
Didymocorypha_lanceolata: 0.951449
Kongobatha_sp: 0.502489
Schizocephala_bicornis: 0.502489
Bolbe_pallida: 1.01957
Pseudomiopteryx_infuscata: 1.41873
Total number of gain events: 19.014
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.590191
Orthodera_sp: 1.00932
Harpagomantis_tricolor: 0.936016
N34: 0.810783
Cliomantis_cornuta: 1.01026
Total number of loss events: 7.15784
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.986754
N9: 0.900418
Antistia_sp: 0.995498
N34: 0.74488
Humbertiella_similis: 0.999963
N37: 0.917345
N38: 0.8312
N40: 0.955218
Total number of duplication events: 8.72109
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N33:ML=7 to Callimantis_antillarum:ML=9  ProbOfChange = 1  sum expections= 0.0451276
	HEURISTIC ESTIMATION:	Gains = 2	Losses = 0	Duplications = 0	Demi-dupl = 0
N33:ML=7 to Iris_sp:ML=13  ProbOfChange = 1  sum expections= 0.0101569
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 1	Duplications = 1	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00571652	0.0102981	1.09512e-015	0
N3	0.988008	0.00487668	6.54343e-007	0
N4	1.51743	0.0110317	8.28396e-006	0
Acanthops_falcata	1.04017e-005	7.85064e-008	0	0
Pseudacanthops_sp	1.04017e-005	7.85064e-008	0	0
N5	0.0426633	0.006997	3.51044e-008	0
Liturgusa_cursor	0.533278	0.590191	0.986754	0
Liturgusa_maya	0.503216	0.0324134	0	0
N6	0.00402379	0.465133	1.07123e-015	0
N7	0.00148455	0.00524508	2.20817e-017	0
N8	0.000162115	0.00111964	3.1376e-012	0
N9	0.00147334	0.0458669	0.900418	0
N10	0.00108348	0.000219329	0.0482025	0
N11	1.56562e-005	0.00117751	0.0419728	0
N12	0.000169215	0.00223407	0.00871276	0
N13	0.00210176	1.71642e-005	0.000472441	0
N14	9.73472e-005	6.67613e-005	7.75511e-005	0
N15	0.000207202	0.000234809	3.33269e-005	0
Antemna_rapax	0.0170742	0.016993	2.69997e-005	0
N16	0.00120647	0.00132739	1.81384e-005	0
Archimantis_sobrina	0.00901592	0.00881375	8.86134e-006	0
Sphodropoda_sp	0.00901592	0.00881375	8.86134e-006	0
Vates_sp	0.0199324	0.0198787	6.03266e-005	0
N17	0.00848511	0.000152584	4.18439e-005	0
Parathespis_humbertiana	1.99171	0.000111698	9.60366e-005	0
N18	0.000737641	0.00889882	9.1886e-005	0
N19	0.000158372	0.000252179	3.64806e-006	0
Polyspilota_aeruginosa	0.00506984	0.00504614	5.02518e-007	0
N20	0.000184276	0.000198317	3.87327e-007	0
Tenodera_aridifolia	0.0025303	0.00249255	1.15191e-007	0
Tenodera_australasiae	0.0025303	0.00249255	1.15191e-007	0
N21	0.00018864	0.000306249	2.2774e-006	0
Sphodromantis_sp	0.00697586	0.00692835	1.87317e-006	0
Tenodera_superstitiosa	0.00697586	0.00692835	1.87317e-006	0
Orthodera_sp	0.0115294	1.00932	0.000610432	0
N22	0.00019571	0.00275959	0.00729165	0
N23	0.00304291	0.0706197	0.00168833	0
Cheddikulama_straminea	0.0822871	0.0120415	0.000343221	0
Harpagomantis_tricolor	0.00627107	0.936016	0.000343221	0
N24	0.00398798	0.00203985	0.00151674	0
N25	0.00536248	0.00478448	0.00047781	0
Hierodula_patellifera	0.0024431	0.00230121	3.70001e-005	0
Statilia_maculata	0.0024431	0.00230121	3.70001e-005	0
Mantis_religiosa	0.016008	0.0152881	0.000514811	0
Choeradodis_rhombicollis	1.96989	0.0192375	0.0513777	0
N26	0.00358363	0.00405008	0.0850236	0
Creobroter_laevicollis	0.0223418	0.022155	0.0145574	0
N27	0.000344889	0.000371131	0.00535916	0
N28	0.00675782	0.00671722	0.00850913	0
Empusa_sp	0.00358826	0.00341533	0.000688624	0
Gongylus_sp	0.00358826	0.00341533	0.000688624	0
Hestiasula_sp	0.018546	0.0183325	0.00919775	0
N29	0.0359604	0.000168236	9.77962e-013	0
