#Nodes with GAIN events with expectation above 0.5
N3: 0.6782
N4: 1.43641
Parathespis_humbertiana: 1.99656
Choeradodis_rhombicollis: 1.98623
Deiphobe_sp: 1.43636
Didymocorypha_lanceolata: 0.914605
Bolbe_pallida: 0.945006
Miomantis_sp: 0.927968
Schizocephala_bicornis: 0.926316
Callimantis_antillarum: 1.93329
Kongobatha_sp: 0.96912
Humbertiella_similis: 0.971911
Pseudomiopteryx_infuscata: 1.14212
Total number of gain events: 19.0996
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.780409
N6: 0.845475
Orthodera_sp: 1.0155
Harpagomantis_tricolor: 0.996472
Deiphobe_sp: 1.07578
Iris_sp: 0.760794
Cliomantis_cornuta: 0.875932
Ligaria_sp: 1.12517
Dystacta_alticeps: 1.06441
Oligonyx_sp: 0.694765
Thesprotia_graminis: 0.694765
Total number of loss events: 12.7513
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.988578
N8: 0.727565
Iris_sp: 0.615838
N33: 0.770312
Schizocephala_bicornis: 0.999997
Kongobatha_sp: 0.987896
Ligaria_sp: 0.987332
Dystacta_alticeps: 0.996339
Humbertiella_similis: 0.999182
N40: 0.748052
Total number of duplication events: 10.9919
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0287462	0.0371095	1.40518e-011	0
N3	0.6782	0.00920039	3.69699e-005	0
N4	1.43641	0.0655782	0.000507542	0
Acanthops_falcata	4.12697e-006	1.78266e-007	0	0
Pseudacanthops_sp	4.12697e-006	1.78266e-007	0	0
N5	0.069533	0.0212316	2.2335e-006	0
Liturgusa_cursor	0.429217	0.780409	0.988578	0
Liturgusa_maya	0.407386	0.0817502	8.2052e-006	0
N6	0.00938137	0.845475	4.73168e-011	0
N7	0.00106331	0.0326042	2.55786e-005	0
N8	0.00329875	0.0908256	0.727565	0
N9	0.00783421	0.0101638	0.267292	0
N10	0.00120251	0.000778485	0.00476222	0
N11	0.000105623	0.000110113	5.97139e-005	0
N12	0.00187275	1.31691e-005	1.73462e-005	0
N13	0.00138565	0.00310003	0.000249967	0
N14	0.000212253	0.000292999	8.79661e-006	0
Antemna_rapax	0.0171268	0.0171388	5.56619e-006	0
N15	0.00101761	0.00104906	3.19018e-006	0
Archimantis_sobrina	0.0110277	0.0110083	2.37601e-006	0
Sphodropoda_sp	0.0110277	0.0110083	2.37601e-006	0
N16	0.0024721	0.00132836	1.21162e-005	0
N17	0.00223134	1.32547e-005	1.35429e-007	0
Parathespis_humbertiana	1.99656	1.88778e-005	2.11134e-006	0
N18	0.00114841	0.0045412	2.00495e-006	0
N19	2.44537e-005	4.89285e-005	2.54866e-008	0
Polyspilota_aeruginosa	0.00582267	0.00586127	8.09134e-008	0
Tenodera_australasiae	0.00582267	0.00586127	8.09134e-008	0
Tenodera_aridifolia	0.00655347	0.00661654	1.064e-007	0
N20	0.00348113	0.00465939	2.0209e-006	0
Sphodromantis_sp	0.00429282	0.00435107	2.26052e-007	0
Tenodera_superstitiosa	0.00429282	0.00435107	2.26052e-007	0
Choeradodis_rhombicollis	1.98623	0.0469831	0.00026433	0
Orthodera_sp	0.0155651	1.0155	0.000281693	0
N21	0.00195855	0.00197716	0.000170483	0
N22	0.0151522	0.015097	0.000167919	0
Hierodula_patellifera	0.0014185	0.00140621	3.01168e-006	0
Statilia_maculata	0.0014185	0.00140621	3.01168e-006	0
Mantis_religiosa	0.0255096	0.025442	0.00017093	0
N23	0.000370699	0.00401843	0.002644	0
N24	0.000438405	0.0168971	0.000839067	0
Cheddikulama_straminea	0.0544836	0.0338984	0.00161321	0
Harpagomantis_tricolor	0.0171026	0.996472	0.00161321	0
Vates_sp	0.0456673	0.0415495	0.00245961	0
N25	0.00395022	0.00575866	0.163631	0
Creobroter_laevicollis	0.0675135	0.0675771	0.108765	0
N26	0.00191058	0.0020334	0.0416923	0
N27	0.0115432	0.0116081	0.0519421	0
Empusa_sp	0.0172648	0.0171374	0.0151306	0
Gongylus_sp	0.0172648	0.0171374	0.0151306	0
Hestiasula_sp	0.052628	0.0526048	0.0670727	0
N28	0.107423	0.0572846	7.56224e-005	0
N29	0.102755	0.387371	0.341138	0
Deiphobe_sp	1.43636	1.07578	0.105386	0
Iris_sp	0.444293	0.760794	0.615838	0
Didymocorypha_lanceolata	0.914605	0.0562892	0.000287742	0
N30	0.00121022	0.00192286	2.94545e-009	0
N31	0.0172053	0.0162789	2.95814e-006	0
N32	0.00661731	0.00642207	3.65883e-007	0
N33	0.0345283	0.10832	0.770312	0
N34	0.0220653	0.233964	0.227892	0
Antistia_sp	0.126199	0.00203719	0.00179049	0
Cliomantis_cornuta	9.96063e-005	0.875932	0.00179049	0
Bolbe_pallida	0.945006	0.0585627	0.229683	0
Miomantis_sp	0.927968	0.0490451	1.34781e-006	0
Schizocephala_bicornis	0.926316	0.238011	0.999997	0
N35	0.0357073	0.0122532	0.000817949	0
N36	0.00963967	0.105741	0.00268727	0
N37	0.0244238	0.0071006	0.000370072	0
Callimantis_antillarum	1.93329	0.0165956	0	0
N38	0.000140659	0.0034645	0.00815562	0
Kongobatha_sp	0.96912	0.130451	0.987896	0
Ligaria_sp	0.00209708	1.12517	0.987332	0
Dystacta_alticeps	0.0730582	1.06441	0.996339	0
Humbertiella_similis	0.971911	0.0445932	0.999182	0
N39	0.0256484	0.024379	3.63091e-005	0
N40	0.0427398	0.358617	0.748052	0
Oligonyx_sp	0.185436	0.694765	0.251907	0
Thesprotia_graminis	0.185436	0.694765	0.251907	0
Pseudomiopteryx_infuscata	1.14212	0.109958	0.000229212	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Acanthops_falcata	2.14336	0.111888	0.000544511	0
Pseudacanthops_sp	2.14336	0.111888	0.000544511	0
Liturgusa_cursor	1.2057	0.84795	0.988618	0
Liturgusa_maya	1.18387	0.149292	4.74086e-005	0
Antemna_rapax	0.0722294	1.03761	0.999987	0
Archimantis_sobrina	0.0671479	1.03253	0.999987	0
Sphodropoda_sp	0.0671479	1.03253	0.999987	0
Parathespis_humbertiana	2.05615	1.02154	0.999987	0
Polyspilota_aeruginosa	0.0665893	1.03197	0.999987	0
Tenodera_australasiae	0.0665893	1.03197	0.999987	0
Tenodera_aridifolia	0.0672957	1.03268	0.999987	0
Sphodromantis_sp	0.0651364	1.03052	0.999987	0
Tenodera_superstitiosa	0.0651364	1.03052	0.999987	0
Choeradodis_rhombicollis	2.03974	1.06406	0.999987	0
Orthodera_sp	0.0671971	2.03257	0.999987	0
Hierodula_patellifera	0.0700556	1.03544	0.999987	0
Statilia_maculata	0.0700556	1.03544	0.999987	0
Mantis_religiosa	0.0789945	1.04438	0.999987	0
Cheddikulama_straminea	0.105617	1.07099	0.99998	0
Harpagomantis_tricolor	0.0682355	2.03357	0.99998	0
Vates_sp	0.0963618	1.06175	0.999987	0
Creobroter_laevicollis	0.113953	1.07935	0.999987	0
Empusa_sp	0.0771584	1.04255	0.999987	0
Gongylus_sp	0.0771584	1.04255	0.999987	0
Hestiasula_sp	0.100978	1.06641	0.999987	0
Deiphobe_sp	1.68573	2.43563	0.446626	0
Iris_sp	0.693661	2.12064	0.957077	0
Didymocorypha_lanceolata	1.06122	1.02876	0.000388943	0
Antistia_sp	0.245952	1.25153	0.999998	0
Cliomantis_cornuta	0.119854	2.12542	0.999998	0
Bolbe_pallida	1.0427	1.07409	0.999998	0
Miomantis_sp	0.991128	0.956253	4.67484e-006	0
Schizocephala_bicornis	0.982859	1.1388	1	0
Callimantis_antillarum	2.0424	1.0262	0.0038753	0
Kongobatha_sp	1.07837	1.14352	0.999927	0
Ligaria_sp	0.111346	2.13823	0.999363	0
Dystacta_alticeps	0.157743	2.06691	0.999845	0
Humbertiella_similis	1.04696	0.941354	1	0
Oligonyx_sp	0.253824	1.07776	0.999995	0
Thesprotia_graminis	0.253824	1.07776	0.999995	0
Pseudomiopteryx_infuscata	1.16777	0.134337	0.000265521	0
