#Nodes with GAIN events with expectation above 0.5
N3: 1.20771
N4: 1.57539
Parathespis_humbertiana: 1.99551
Choeradodis_rhombicollis: 1.98193
N30: 0.794753
Callimantis_antillarum: 1.96109
Humbertiella_similis: 1.07022
Deiphobe_sp: 2.29356
Schizocephala_bicornis: 0.742921
Bolbe_pallida: 1.01866
N40: 0.521649
Pseudomiopteryx_infuscata: 1.68978
Total number of gain events: 20.8568
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.626385
N24: 0.990437
Kongobatha_sp: 0.796252
Dystacta_alticeps: 0.820014
Ligaria_sp: 0.979351
Iris_sp: 1.03248
Cliomantis_cornuta: 1.00796
Total number of loss events: 8.43526
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.999462
N10: 0.838578
Kongobatha_sp: 0.999961
N34: 0.873462
Ligaria_sp: 0.888786
Iris_sp: 0.986352
Humbertiella_similis: 0.999412
Schizocephala_bicornis: 1
N38: 0.905015
N40: 0.98467
Total number of duplication events: 10.2953
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0168412	0.0348519	1.10702e-012	0
N3	1.20771	0.00428412	1.2e-005	0
N4	1.57539	0.0277003	0.00252954	0
Acanthops_falcata	5.255e-007	5.12304e-009	0	0
Pseudacanthops_sp	5.255e-007	5.12304e-009	0	0
N5	0.169021	0.0228643	1.70647e-007	0
Liturgusa_cursor	0.468001	0.626385	0.999462	0
Liturgusa_maya	0.43746	0.0207491	0	0
N6	0.000346379	0.150766	8.86577e-013	0
N7	0.0061808	0.0242414	1.51608e-014	0
N8	6.91986e-005	0.0231746	2.66807e-010	0
N9	0.000561466	0.00618311	1.81832e-008	0
N10	0.000131981	0.0355456	0.838578	0
N11	0.00415683	0.00287946	0.136441	0
N12	1.69272e-005	0.0013099	0.0171935	0
N13	0.00252259	0.00230084	0.00693135	0
N14	0.00270729	0.00320282	0.00075371	0
Antemna_rapax	0.0121659	0.0120979	7.9913e-005	0
N15	0.000343582	0.000375969	3.38782e-005	0
Archimantis_sobrina	0.00975707	0.00965673	4.60317e-005	0
Sphodropoda_sp	0.00975707	0.00965673	4.60317e-005	0
N16	0.00374264	0.000246659	0.000180956	0
Parathespis_humbertiana	1.99551	6.51475e-005	0.000652663	0
N17	0.00126456	0.00508578	0.000580773	0
N18	0.000166867	0.00027334	3.65312e-005	0
N19	0.00272671	0.00273981	3.46059e-005	0
Polyspilota_aeruginosa	0.00362342	0.00360624	7.5054e-007	0
N20	0.000133677	0.000132738	4.445e-007	0
Tenodera_aridifolia	0.00292852	0.00291227	3.0603e-007	0
Tenodera_australasiae	0.00292852	0.00291227	3.0603e-007	0
