#Nodes with GAIN events with expectation above 0.5
N3: 0.718854
N4: 1.61091
Parathespis_humbertiana: 1.9714
Choeradodis_rhombicollis: 1.96064
Miomantis_sp: 1.03754
Kongobatha_sp: 1.02499
Didymocorypha_lanceolata: 0.772981
Schizocephala_bicornis: 0.803616
Humbertiella_similis: 1.38993
Callimantis_antillarum: 1.68521
Deiphobe_sp: 2.63683
Bolbe_pallida: 1.03134
Pseudomiopteryx_infuscata: 1.26993
Total number of gain events: 21.4746
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.659913
N6: 0.654367
Orthodera_sp: 1.04475
Harpagomantis_tricolor: 0.940204
Ligaria_sp: 0.778829
Dystacta_alticeps: 0.833385
Iris_sp: 1.00174
Cliomantis_cornuta: 1.04898
N40: 0.668565
Total number of loss events: 11.1474
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.995362
N11: 0.736284
N27: 0.814534
Schizocephala_bicornis: 0.999999
Ligaria_sp: 0.813843
Dystacta_alticeps: 0.871223
Iris_sp: 0.961274
N38: 0.75082
N40: 0.971421
Total number of duplication events: 11.4802
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0377537	0.117331	1.12226e-010	0
N3	0.718854	0.00274588	4.64997e-005	0
N4	1.61091	0.0607026	0.0063557	0
Acanthops_falcata	1.53909e-006	5.26053e-008	0	0
Pseudacanthops_sp	1.53909e-006	5.26053e-008	0	0
N5	0.199329	0.0288141	6.3842e-006	0
Liturgusa_cursor	0.488555	0.659913	0.995362	0
Liturgusa_maya	0.467826	0.0500641	0	0
N6	0.000438751	0.654367	1.36908e-010	0
N7	0.000305854	0.0197877	1.27255e-011	0
N8	0.00228059	0.00420679	3.71812e-011	0
N9	0.00065312	0.0164723	1.71915e-005	0
N10	0.00160515	0.00129989	2.78232e-006	0
N11	0.000130176	0.0018723	0.736284	0
N12	0.000285325	0.000126457	0.118248	0
N13	0.00199249	0.000707403	0.100063	0
N14	0.0124314	0.000716116	0.0116303	0
N15	0.0132906	0.000765012	0.00316924	0
N16	0.00791892	0.0335061	0.0304502	0
N17	0.000358731	0.000402765	0.000104053	0
Antemna_rapax	0.00815343	0.00815112	2.84507e-005	0
N18	0.00053061	0.000546658	1.65343e-005	0
Archimantis_sobrina	0.00585053	0.00583217	1.19165e-005	0
Sphodropoda_sp	0.00585053	0.00583217	1.19165e-005	0
N19	3.64078e-005	7.56181e-005	9.29457e-005	0
N20	0.000614997	0.000627073	3.33025e-005	0
N21	0.00130227	0.00129511	6.1363e-006	0
N22	1.63851e-005	1.64995e-005	7.55097e-008	0
Polyspilota_aeruginosa	0.00164726	0.00164475	4.29392e-008	0
