#Nodes with GAIN events with expectation above 0.5
N3: 0.926795
N4: 1.17943
Parathespis_humbertiana: 1.98529
Choeradodis_rhombicollis: 1.99917
Bolbe_pallida: 0.948129
Miomantis_sp: 0.913308
Didymocorypha_lanceolata: 0.583266
Schizocephala_bicornis: 0.591416
Callimantis_antillarum: 1.79702
Kongobatha_sp: 1.11052
Deiphobe_sp: 2.43208
Pseudomiopteryx_infuscata: 1.095
Total number of gain events: 18.0002
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.88629
Orthodera_sp: 0.945334
Harpagomantis_tricolor: 1.00512
Cliomantis_cornuta: 0.871117
Schizocephala_bicornis: 0.598127
N35: 0.526566
Iris_sp: 1.03286
Dystacta_alticeps: 0.907126
Ligaria_sp: 1.12104
N40: 0.744078
Total number of loss events: 12.3378
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.995779
N10: 0.826543
N31: 0.76104
Schizocephala_bicornis: 0.999999
Iris_sp: 0.934516
N38: 0.709854
Ligaria_sp: 0.759127
Humbertiella_similis: 0.999997
N40: 0.972021
Total number of duplication events: 9.3201
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0251032	0.0299778	1.52578e-011	0
N3	0.926795	0.0240618	0.00033431	0
N4	1.17943	0.0465112	0.000127589	0
Acanthops_falcata	4.94155e-005	1.25035e-006	0	0
Pseudacanthops_sp	4.94155e-005	1.25035e-006	0	0
N5	0.062038	0.0511977	1.11357e-007	0
Liturgusa_cursor	0.173672	0.88629	0.995779	0
Liturgusa_maya	0.159666	0.0367677	0	0
N6	0.00834625	0.246649	2.35238e-012	0
N7	0.000702739	0.219491	1.8872e-012	0
N8	0.000165318	0.0465713	1.03969e-011	0
N9	0.000216474	0.285251	3.35708e-006	0
N10	0.00294786	0.174419	0.826543	0
N11	0.00210392	0.00526993	0.156182	0
N12	0.00256361	0.00093475	0.0161598	0
N13	4.54242e-005	1.16927e-005	6.56158e-005	0
N14	0.00356548	0.00361222	0.000956948	0
N15	0.00042065	0.000472901	2.64866e-005	0
Antemna_rapax	0.0323004	0.0322665	4.47359e-005	0
N16	0.00303666	0.00317024	3.10435e-005	0
Archimantis_sobrina	0.0172886	0.0171211	1.36924e-005	0
Sphodropoda_sp	0.0172886	0.0171211	1.36924e-005	0
N17	0.00893274	0.00582658	6.63304e-005	0
N18	0.0117121	0.000239115	1.93497e-007	0
Parathespis_humbertiana	1.98529	3.77726e-005	4.697e-006	0
Sphodromantis_sp	0.0106918	0.0253233	4.697e-006	0
N19	0.000800895	0.00375824	4.42762e-006	0
N20	0.000260076	0.00041943	4.0166e-007	0
Polyspilota_aeruginosa	0.00526814	0.00527601	6.28178e-008	0
N21	0.00027594	0.000292257	4.24335e-008	0
Tenodera_aridifolia	0.00369222	0.00368376	2.03842e-008	0
Tenodera_australasiae	0.00369222	0.00368376	2.03842e-008	0
