#Nodes with GAIN events with expectation above 0.5
N3: 0.803498
N4: 1.62161
Liturgusa_cursor: 0.51638
Liturgusa_maya: 0.524402
Parathespis_humbertiana: 1.98484
Choeradodis_rhombicollis: 1.98255
Miomantis_sp: 0.957847
Didymocorypha_lanceolata: 0.97698
Bolbe_pallida: 0.9041
Schizocephala_bicornis: 0.997451
Deiphobe_sp: 2.97792
Callimantis_antillarum: 2.0542
Kongobatha_sp: 1.04991
Humbertiella_similis: 0.713216
Pseudomiopteryx_infuscata: 1.37033
Total number of gain events: 21.2744
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.555532
Orthodera_sp: 1.02104
Harpagomantis_tricolor: 1.00318
Cliomantis_cornuta: 0.927304
Ligaria_sp: 0.9475
Dystacta_alticeps: 0.903762
Iris_sp: 0.986626
N40: 0.536514
Total number of loss events: 9.22787
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.999437
N12: 0.838263
Harpagomantis_tricolor: 0.857611
Cheddikulama_straminea: 1
N27: 0.793268
N33: 0.615917
Schizocephala_bicornis: 0.719196
Ligaria_sp: 0.978878
Dystacta_alticeps: 0.979495
N38: 0.74804
Humbertiella_similis: 1
N40: 0.967572
Total number of duplication events: 12.2022
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0163012	0.0240845	1.06318e-014	0
N3	0.803498	0.00498837	7.04838e-007	0
N4	1.62161	0.0282503	4.49449e-005	0
Acanthops_falcata	0.000335738	0.000104544	0	0
Pseudacanthops_sp	0.000335738	0.000104544	0	0
N5	0.125486	0.0203239	1.61606e-007	0
Liturgusa_cursor	0.51638	0.555532	0.999437	0
Liturgusa_maya	0.524402	0.0357081	0	0
N6	0.00133537	0.195887	7.04719e-015	0
N7	0.000107522	0.329849	4.32046e-015	0
N8	0.00111504	0.00407204	2.28312e-014	0
N9	0.00390667	0.0829742	3.8917e-007	0
N10	0.00138613	0.00282302	2.88698e-008	0
N11	1.4693e-005	0.000142698	0.14233	0
N12	0.00545086	0.00501566	0.838263	0
N13	0.000442	0.000452471	0.0140013	0
N14	0.000707204	0.000673337	0.00473678	0
N15	0.000179002	0.000125782	0.000474962	0
N16	0.000230788	0.000292289	7.13481e-005	0
Antemna_rapax	0.0169428	0.0169242	6.20134e-005	0
N17	0.000712284	0.000831106	3.3064e-005	0
Archimantis_sobrina	0.0118896	0.0117522	2.89494e-005	0
Sphodropoda_sp	0.0118896	0.0117522	2.89494e-005	0
N18	0.0158299	0.000703828	4.31377e-005	0
Parathespis_humbertiana	1.98484	0.000100317	9.02254e-005	0
N19	0.00155647	0.01656	8.7596e-005	0
N20	0.000581644	0.000750677	2.5402e-006	0
N21	0.00011818	0.000121766	6.82308e-008	0
Polyspilota_aeruginosa	0.00115568	0.00114858	2.10525e-008	0
Tenodera_aridifolia	0.00115568	0.00114858	2.10525e-008	0
Tenodera_australasiae	0.00188215	0.00187864	8.92836e-008	0
N22	0.00119443	0.00137447	2.53663e-006	0
