#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.363446
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.9907
Leiotettix_pulcher: 0.999257
Scotussa_daguerrei: 0.996809
Chlorus_bolivianus: 1.71091
Dichromatos_lilloanus: 0.708452
N17: 0.682423
Leiotettix_flavipes: 0.995236
Dichroplus_pratensis: 1.13219
Dichroplus_silveiraguidoi: 1.9957
Dichroplus_patruelis: 0.998199
Dichroplus_vittatus: 1.55489
Xyleus_laevipes: 0.994014
Total number of loss events: 14.1953
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.973769
Dichroplus_conspersus: 0.863366
Dichroplus_pratensis: 0.863366
Dichroplus_democraticus: 1.00059
N23: 0.696897
N32: 0.789173
N37: 0.523775
N38: 0.698823
N43: 1.09653
Total number of duplication events: 13.3603
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 2.00518e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00254861	0.00333592	0.124516	1.00073e-016
N3	1.39905e-006	1.20309e-005	0.00213298	4.74365e-021
N4	1.28531e-006	6.2947e-007	9.17498e-005	5.69202e-019
N5	4.31497e-007	1.27438e-006	4.21331e-006	2.10551e-024
N6	1.87957e-007	0.00239353	0.973769	1.12318e-016
N7	4.97127e-007	0.0068438	0.0192773	1.03042e-018
N8	0.000218144	0.000213299	0.00455287	4.69544e-016
Atrachelacris_sp	4.48373e-009	0.9907	0.00233215	0
N9	0.00915538	0.00011302	0.00217951	2.74153e-015
N10	0.000248203	1.56271e-006	6.55562e-005	4.80804e-015
N11	0.000247598	0.000245641	8.61894e-005	2.9085e-013
N12	5.02347e-008	0.000737789	8.79077e-007	2.48908e-020
Leiotettix_pulcher	8.84769e-013	0.999257	0	0
Paulinia_acuminata	0.000742665	1.61606e-008	8.88157e-009	0
Scotussa_lemniscata	0.000112074	0.00010716	8.88283e-007	0
Scotussa_impudica	0.000264301	0.000513008	8.70777e-005	1.95525e-014
N13	0.000122149	0.00305977	0.000145218	1.39505e-016
Marellia_remipes	0.00330637	0.000114975	7.41564e-006	0
Scotussa_daguerrei	8.49406e-010	0.996809	7.41564e-006	0
N14	1.0004e-007	0.273718	0.000743465	7.56267e-022
Chlorus_bolivianus	3.34494e-009	1.71091	0.00599891	0
N15	3.60052e-005	0.00843998	0.00239398	2.22527e-013
Dichromatos_lilloanus	4.38163e-005	0.708452	0.00359033	0
N16	0.00425822	0.00610515	0.00344108	4.37106e-012
Ommexecha_sp	0.293609	0.000176134	0.000149249	3.14266e-012
N17	3.17923e-006	0.682423	0.000148894	1.06067e-016
Ronderosia_sp	7.26138e-008	0.0241462	3.53038e-007	0
Tropidostethus_sp	7.26138e-008	0.0241462	3.53038e-007	0
N18	0.000166013	0.00254105	0.0192704	1.199e-014
Leiotettix_flavipes	8.15898e-008	0.995236	0.00696077	0
Leiotettix_viridis	0.00503219	0.00194849	0.00696077	7.55908e-013
N19	4.11679e-007	1.6724e-006	2.11264e-007	1.065e-025
N20	2.16865e-006	0.00420112	0.136635	3.13248e-015
Dichroplus_conspersus	0.00398695	0.000631913	0.863366	1.66112e-008
Dichroplus_pratensis	2.94208e-007	1.13219	0.863366	0
N21	1.28969e-006	1.40772e-006	1.51217e-008	1.28219e-023
N22	1.87069e-006	0.00429046	3.62021e-009	4.21056e-026
Dichroplus_democraticus	0.00311696	0.000589142	1.00059	8.06472e-011
Dichroplus_silveiraguidoi	1.71355e-006	1.9957	2.28525e-006	0
N23	1.53154e-006	3.40201e-007	0.696897	6.52253e-015
N24	0.000179066	0.000192002	0.291998	4.78431e-012
Dichroplus_elongatus	0.000123331	0.000115483	0.0111047	0
N25	0.000107522	0.00190026	0.011013	3.11548e-017
Dichroplus_paraelongatus	0.00190472	0.00010417	9.16357e-005	0
Dichroplus_patruelis	2.05481e-011	0.998199	9.16357e-005	0
N26	8.40998e-005	8.37111e-005	0.236404	2.29052e-014
N27	0.000229758	0.000236513	0.0666371	1.21638e-013
Dichroplus_exilis	4.28047e-009	7.75616e-008	6.09529e-005	0
Dichroplus_fuscus	4.28047e-009	7.75616e-008	6.09529e-005	0
Dichroplus_schulzi	0.0002336	0.000240408	0.066698	1.18867e-013
N28	3.16072e-006	1.03355e-005	0.388265	3.9866e-014
N29	0.000218165	0.00984384	0.176297	4.75033e-012
Dichroplus_maculipennis	0.00901187	0.0001374	0.435442	2.5709e-008
Dichroplus_vittatus	1.52322e-007	1.55489	0.435441	0
N30	0.000108755	0.000102309	0.409785	2.58223e-010
Ommatolampis_sp	0.000443232	0.00112167	0.201954	4.38391e-012
Pseudoscopas_nigrigena	0.000443232	0.00112167	0.201954	4.38391e-012
N31	3.07233e-007	4.74923e-007	0.201893	9.922e-017
N32	0.000998799	0.00284913	0.789173	7.35696e-013
N33	0.000104242	0.000109651	0.00665676	3.80585e-015
Diponthus_sp	0.000113985	0.000115235	0.00237319	0
Zoniopoda_tarsata	0.000113985	0.000115235	0.00237319	0
N34	0.000113911	0.000119933	0.00894516	1.2681e-016
Zoniopoda_hempeli	0.000104091	0.000104389	8.48008e-005	0
Zoniopoda_omnicolor	0.000104091	0.000104389	8.48008e-005	0
N35	2.25918e-005	2.27894e-005	0.225396	1.49007e-015
N36	6.45344e-005	5.14692e-005	0.115707	1.31644e-013
Prionolopha_serrata	0.00148196	0.00457231	0.457097	1.27361e-011
Xyleus_modestus	0.00148196	0.00457231	0.457097	1.27361e-011
N37	0.000381684	0.00714671	0.523775	9.01916e-011
Xyleus_insignis	0.00602562	0.00194471	0.0490318	4.12658e-011
Xyleus_laevipes	1.8806e-006	0.994014	0.0490318	0
N38	4.28973e-006	1.46261e-005	0.698823	1.85273e-012
N39	0.000226743	0.000421303	0.182198	2.00386e-009
Dichromorpha_sp	0.000892691	0.00264034	0.121207	3.02724e-011
Hyalopteryx_rufipennis	0.000892691	0.00264034	0.121207	3.02724e-011
N40	9.03627e-005	9.09944e-005	0.155397	4.20919e-013
Leptysma_sp	0.00157229	0.00355553	0.148009	1.05226e-012
N41	0.00021892	0.000229252	0.0820601	1.28511e-012
N42	0.000698787	0.00212835	0.0659376	2.89412e-012
Schistocerca_cancellata	0	7.30458e-008	1.1112e-005	0
Schistocerca_pallens	0	7.30458e-008	1.1112e-005	0
Schistocerca_flavofasciata	0.000705789	0.00243085	0.0659487	2.89335e-012
N43	0.00621901	0.0158548	1.09653	1.55482e-007
Trimerotropis_ochraceipennis	0.000244328	0.00044693	0.0305624	5.84878e-011
Trimerotropis_pallidipennis	0.000244328	0.00044693	0.0305624	5.84878e-011
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00277056	1.0035	1.12668	6.83539e-016
Leiotettix_pulcher	0.0124218	1.01316	1.12668	2.99083e-013
Paulinia_acuminata	0.0131645	0.0138985	1.12668	2.99083e-013
Scotussa_lemniscata	0.0125338	0.0132679	1.12668	2.99083e-013
Scotussa_impudica	0.0124384	0.0134281	1.12668	2.77857e-014
Marellia_remipes	0.0153545	0.0160882	1.12668	3.56458e-015
Scotussa_daguerrei	0.0120481	1.01278	1.12668	3.56458e-015
Chlorus_bolivianus	0.00255252	1.99721	1.12653	2.13996e-016
Dichromatos_lilloanus	0.00263234	1.0032	1.12652	2.22741e-013
Ommexecha_sp	0.300456	0.301026	1.12652	7.73646e-012
Ronderosia_sp	0.00684999	1.00742	1.12652	4.59391e-012
Tropidostethus_sp	0.00684999	1.00742	1.12652	4.59391e-012
Leiotettix_flavipes	0.00271801	1.00352	1.12675	1.22029e-014
Leiotettix_viridis	0.00775012	0.0102329	1.12675	7.68111e-013
Dichroplus_conspersus	0.00654125	0.00818456	1.12675	1.66112e-008
Dichroplus_pratensis	0.0025546	1.13974	1.12675	3.23313e-015
Dichroplus_democraticus	0.00567227	0.00823254	1.12734	8.06473e-011
Dichroplus_silveiraguidoi	0.00255701	2.00334	0.126748	1.00647e-016
Dichroplus_elongatus	0.00285736	0.00366076	1.12674	4.79093e-012
Dichroplus_paraelongatus	0.00474627	0.0055497	1.12674	4.79096e-012
Dichroplus_patruelis	0.00284155	1.00364	1.12674	4.79096e-012
Dichroplus_exilis	0.00286882	0.00367358	1.12674	1.51167e-013
Dichroplus_fuscus	0.00286882	0.00367358	1.12674	1.51167e-013
Dichroplus_schulzi	0.00287266	0.00367739	1.12674	1.48395e-013
Dichroplus_maculipennis	0.0117845	0.0133402	1.12675	2.57138e-008
Dichroplus_vittatus	0.00277278	1.56809	1.12674	4.79029e-012
Ommatolampis_sp	0.00310644	0.00458289	1.12675	2.62647e-010
Pseudoscopas_nigrigena	0.00310644	0.00458289	1.12675	2.62647e-010
Diponthus_sp	0.00376734	0.00642244	1.12675	7.39701e-013
Zoniopoda_tarsata	0.00376734	0.00642244	1.12675	7.39701e-013
Zoniopoda_hempeli	0.00376712	0.00642188	1.12675	7.36022e-013
Zoniopoda_omnicolor	0.00376712	0.00642188	1.12675	7.36022e-013
Prionolopha_serrata	0.00411941	0.00799499	1.12674	1.28694e-011
Xyleus_modestus	0.00411941	0.00799499	1.12674	1.28694e-011
Xyleus_insignis	0.00898021	0.0124626	1.12674	1.31459e-010
Xyleus_laevipes	0.00295648	1.00453	1.12674	9.01933e-011
Dichromorpha_sp	0.00367234	0.00641219	1.12675	2.03599e-009
Hyalopteryx_rufipennis	0.00367234	0.00641219	1.12675	2.03599e-009
Leptysma_sp	0.00421556	0.00699707	1.12675	3.32601e-012
Schistocerca_cancellata	0.00356097	0.00579922	1.12675	6.45299e-012
Schistocerca_pallens	0.00356097	0.00579922	1.12675	6.45299e-012
Schistocerca_flavofasciata	0.00356797	0.00610164	1.12675	6.45221e-012
Trimerotropis_ochraceipennis	0.00646334	0.0163018	1.12709	1.5554e-007
Trimerotropis_pallidipennis	0.00646334	0.0163018	1.12709	1.5554e-007
