#Nodes with GAIN events with expectation above 0.5
N15: 0.951315
Total number of gain events: 1.14423
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.998246
Dichromatos_lilloanus: 1.00183
N11: 0.953141
Chlorus_bolivianus: 1.04527
Dichroplus_vittatus: 0.953002
Scotussa_daguerrei: 0.992136
Leiotettix_pulcher: 0.99587
Dichroplus_pratensis: 1.32016
Dichroplus_silveiraguidoi: 1.99233
Dichroplus_patruelis: 0.996267
Tropidostethus_sp: 0.871184
Xyleus_laevipes: 0.871325
Total number of loss events: 13.26
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.720995
N21: 0.631134
Dichroplus_pratensis: 0.714366
Dichroplus_democraticus: 1.00092
N25: 0.700186
N27: 0.726038
N29: 0.968672
N32: 0.532064
N40: 0.708212
N43: 0.991949
Total number of duplication events: 9.40278
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 7.28389e-009
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000134722	0.000159344	0.00738	7.11284e-023
N3	1.49303e-005	4.79372e-006	0.000229257	6.84059e-023
N4	0.000420655	0.000433362	0.00018412	8.47718e-021
N5	1.53893e-008	2.10031e-007	0.2727	3.32822e-024
N6	2.88434e-005	0.000157644	0.720995	2.46106e-019
N7	7.07674e-012	6.57369e-005	0.0011515	1.97274e-021
N8	0.000257837	0.000147377	0.00455195	5.60825e-017
N9	0.000107674	0.00177962	0.000437832	3.33857e-016
Atrachelacris_sp	8.81774e-007	0.998246	0.000161858	0
Leiotettix_viridis	0.00185093	0.000190057	0.000161858	0
Pseudoscopas_nigrigena	0.000218382	0.000138724	0.00059969	1.92668e-015
Dichromatos_lilloanus	0.0021528	1.00183	0.00515164	0
N10	2.86528e-007	0.000843811	0.00457189	3.16785e-023
N11	4.90241e-006	0.953141	0.00143965	4.14609e-022
Chlorus_bolivianus	1.81388e-007	1.04527	0.000289685	0
N12	0.000204063	0.017172	0.00025225	4.56687e-015
N13	0.000210749	0.000538701	1.24225e-005	2.48527e-015
N14	0.0173627	0.00159109	4.75106e-006	1.79744e-015
N15	0.951315	6.00836e-005	1.49832e-005	1.52126e-009
Dichromorpha_sp	0.00175843	0.000157606	6.79222e-007	0
Dichroplus_maculipennis	0.00175843	0.000157606	6.79222e-007	0
Dichroplus_vittatus	2.03169e-007	0.953002	1.57036e-005	0
Ronderosia_sp	0.000876573	0.0291286	2.04547e-005	0
Leiotettix_flavipes	0.00102728	0.029607	3.29978e-005	0
N16	0.000971243	0.000128312	0.00150113	3.01794e-015
N17	0.000134948	0.00786921	0.000228162	1.53825e-017
Hyalopteryx_rufipennis	0.00786397	2.95488e-008	4.4337e-008	0
Scotussa_daguerrei	1.13717e-011	0.992136	0	0
N18	0.000204987	0.000126007	0.000180193	3.11455e-015
N19	0.000115228	0.00419435	4.75701e-005	2.16206e-016
Leiotettix_pulcher	1.25125e-010	0.99587	4.42679e-007	0
Scotussa_lemniscata	0.00423478	0.000105598	4.42679e-007	0
Scotussa_impudica	0.000172798	0.000125658	4.80128e-005	0
N20	5.21141e-007	0.000473949	0.0129273	5.34404e-021
N21	0.00052803	6.36267e-005	0.631134	1.73014e-009
Dichroplus_conspersus	0.000114067	0.000122524	0.0832327	0
Leptysma_sp	0.000114067	0.000122524	0.0832327	0
Dichroplus_pratensis	3.92769e-007	1.32016	0.714366	0
N22	0	1.33858e-014	2.07931e-009	8.06685e-032
N23	2.96183e-006	0.00765134	5.5572e-008	4.62103e-030
Dichroplus_democraticus	0.00582137	0.000918022	1.00092	5.18484e-012
Dichroplus_silveiraguidoi	5.12899e-006	1.99233	4.44924e-006	0
N24	8.7457e-007	1.47263e-007	0.267752	1.0821e-020
N25	8.96574e-005	0.000116184	0.700186	3.8954e-012
Dichroplus_elongatus	0.000137106	0.000117634	0.0320625	0
N26	0.000109622	0.00377934	0.0320185	5.11168e-017
Dichroplus_paraelongatus	0.00368921	3.8503e-008	4.39456e-005	0
Dichroplus_patruelis	2.47753e-011	0.996267	0	0
N27	0.000202325	0.000203725	0.726038	3.01849e-013
N28	0.000105202	0.000106945	0.00618559	2.69103e-018
Dichroplus_exilis	2.72446e-009	2.08453e-008	2.43325e-005	0
Dichroplus_fuscus	2.72446e-009	2.08453e-008	2.43325e-005	0
Dichroplus_schulzi	0.00010698	0.000108737	0.00620993	0
N29	0.00155975	0.00305663	0.968672	1.93958e-012
N30	0.000114739	0.000135266	0.031495	1.47697e-015
Schistocerca_cancellata	3.05109e-009	2.92271e-008	1.73313e-005	0
Schistocerca_pallens	3.05109e-009	2.92271e-008	1.73313e-005	0
Schistocerca_flavofasciata	0.00011575	0.000136281	0.0315123	0
N31	3.15546e-006	5.28162e-006	0.291659	3.5552e-015
N32	6.26509e-005	6.64474e-005	0.532064	1.25246e-012
N33	0.000121236	0.000117728	0.0576217	1.54078e-013
Diponthus_sp	0.00137259	0.00273696	0.119069	1.15914e-010
Xyleus_modestus	0.00137259	0.00273696	0.119069	1.15914e-010
N34	0.000107004	0.00012788	0.164675	1.28028e-014
N35	0.000147329	0.000134968	0.011573	2.80278e-014
Marellia_remipes	0.000118874	0.000124047	0.000443196	0
N36	0.000108104	0.000112464	0.000389287	9.48391e-017
Ommatolampis_sp	0.000111289	0.000112286	5.39091e-005	0
Paulinia_acuminata	0.000111289	0.000112286	5.39091e-005	0
N37	1.04419e-006	8.93199e-005	0.00165719	1.29864e-016
Prionolopha_serrata	0.00102168	0.00245476	0.0103589	3.4157e-016
N38	0.000106842	0.128747	0.0101191	5.51819e-017
N39	0.00119454	0.00131783	0.000188714	3.48367e-015
Tropidostethus_sp	4.61033e-005	0.871184	5.10273e-005	0
Xyleus_insignis	0.126225	0.00558808	5.10273e-005	0
Xyleus_laevipes	6.43869e-005	0.871325	0.000239742	0
N40	0.00208025	0.00480959	0.708212	3.42563e-009
N41	1.07571e-007	1.23089e-006	0.000525408	3.92906e-021
Ommexecha_sp	7.86879e-009	6.17292e-008	1.73597e-005	0
Zoniopoda_tarsata	7.86879e-009	6.17292e-008	1.73597e-005	0
N42	1.04173e-007	1.22356e-006	0.000498572	1.52718e-020
Zoniopoda_hempeli	0.000104826	0.000104899	4.41959e-005	0
Zoniopoda_omnicolor	0.000104826	0.000104899	4.41959e-005	0
N43	0.00319273	0.00735326	0.991949	3.62236e-010
Trimerotropis_ochraceipennis	0.000115532	0.000154445	0.015845	0
Trimerotropis_pallidipennis	0.000115532	0.000154445	0.015845	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.000965559	1.00099	1.00779	3.90197e-016
Leiotettix_viridis	0.0028156	0.00293814	1.00779	3.90197e-016
Pseudoscopas_nigrigena	0.00107538	0.00110719	1.00779	1.98301e-015
Dichromatos_lilloanus	0.00275196	1.00266	1.00779	2.56699e-019
Chlorus_bolivianus	0.000604536	2.00001	1.00779	2.55173e-019
Dichromorpha_sp	0.971456	0.97426	1.00779	1.52127e-009
Dichroplus_maculipennis	0.971456	0.97426	1.00779	1.52127e-009
Dichroplus_vittatus	0.0183821	1.92704	1.00779	8.84983e-015
Ronderosia_sp	0.00189574	1.00158	1.00779	7.05239e-015
Leiotettix_flavipes	0.00183569	1.00152	1.00779	4.56712e-015
Hyalopteryx_rufipennis	0.00956961	0.00959671	1.00779	3.03358e-015
Scotussa_daguerrei	0.00170564	1.00173	1.00779	3.03358e-015
Leiotettix_pulcher	0.00189091	1.00192	1.00779	6.34896e-015
Scotussa_lemniscata	0.00612569	0.00615343	1.00779	6.34896e-015
Scotussa_impudica	0.00194848	0.00197914	1.00779	6.13275e-015
Dichroplus_conspersus	0.00121294	0.00125781	1.00779	1.73014e-009
Leptysma_sp	0.00121294	0.00125781	1.00779	1.73014e-009
Dichroplus_pratensis	0.000571236	1.32123	1.00779	1.39641e-020
Dichroplus_democraticus	0.00639464	0.00916687	1.00872	5.18484e-012
Dichroplus_silveiraguidoi	0.000578398	2.00058	0.00779788	8.61671e-021
Dichroplus_elongatus	0.000797945	0.000831465	1.00779	3.8954e-012
Dichroplus_paraelongatus	0.00445967	0.00449321	1.00779	3.89545e-012
Dichroplus_patruelis	0.000770461	1.00076	1.00775	3.89545e-012
Dichroplus_exilis	0.000878712	0.000908338	1.00779	3.01851e-013
Dichroplus_fuscus	0.000878712	0.000908338	1.00779	3.01851e-013
Dichroplus_schulzi	0.000880487	0.000910108	1.00779	3.01849e-013
Schistocerca_cancellata	0.00182415	0.00335607	1.00779	1.94106e-012
Schistocerca_pallens	0.00182415	0.00335607	1.00779	1.94106e-012
Schistocerca_flavofasciata	0.00182516	0.00335705	1.00779	1.93958e-012
