#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.0640782
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.990286
Scotussa_daguerrei: 0.988456
Leiotettix_pulcher: 0.997246
Dichromatos_lilloanus: 0.995499
Chlorus_bolivianus: 1.167
Ronderosia_sp: 0.577839
Dichroplus_pratensis: 1.12083
Dichroplus_silveiraguidoi: 1.99783
Dichroplus_patruelis: 0.99933
Tropidostethus_sp: 0.998183
Leiotettix_flavipes: 0.999988
Dichroplus_vittatus: 1.20865
Xyleus_laevipes: 0.992645
Total number of loss events: 14.4955
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.528287
Dichroplus_conspersus: 0.91393
Dichroplus_pratensis: 0.91393
Dichroplus_democraticus: 1.00023
N20: 0.760129
Leiotettix_flavipes: 0.56481
Dichroplus_maculipennis: 0.814374
Dichroplus_vittatus: 0.814374
N31: 0.866359
N32: 0.636756
N38: 0.585895
N41: 0.790539
N43: 1.01886
Total number of duplication events: 15.5512
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 3.21662e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000615062	0.000747433	0.0337706	1.07582e-018
N3	4.00614e-006	4.86308e-006	0.0015515	2.8459e-020
N4	2.08358e-006	4.03598e-006	0.000317917	8.97582e-021
N5	2.6434e-007	1.78127e-006	1.99561e-005	2.08315e-022
N6	7.23611e-008	1.08844e-007	1.47831e-007	2.08387e-028
N7	5.21853e-008	1.96715e-005	0.528287	1.06021e-018
N8	0.000608919	0.000563868	0.434556	6.96076e-010
N9	0.00455746	0.00010594	0.0321226	2.9505e-015
N10	3.35689e-008	1.56399e-005	0.00025022	5.94106e-020
N11	2.09349e-007	0.00964916	0.000148067	8.3231e-022
Atrachelacris_sp	1.23007e-006	0.990286	7.38476e-005	0
N12	0.00031659	0.00214547	7.04754e-005	1.62363e-014
Paulinia_acuminata	0.0116564	0.00011224	3.37217e-006	1.90723e-014
Scotussa_daguerrei	2.22057e-009	0.988456	3.37217e-006	0
Marellia_remipes	0.000323406	0.000262321	0.000222636	1.53111e-019
N13	0.000146751	0.000111031	0.000338834	1.13143e-017
N14	0.000233535	0.00297228	0.000133339	2.0668e-015
Leiotettix_pulcher	2.90722e-011	0.997246	0	0
Scotussa_lemniscata	0.00275333	1.58022e-007	6.84562e-007	0
Scotussa_impudica	0.000260593	0.000246076	0.000134023	2.04285e-015
Dichromatos_lilloanus	2.05283e-006	0.995499	0.0325956	0
N15	4.47875e-007	0.392715	0.0216829	1.4023e-017
Chlorus_bolivianus	1.07548e-005	1.167	0.420334	0
Ronderosia_sp	0.0111465	0.577839	0.420334	0
N16	4.98865e-008	3.40158e-007	1.50487e-008	2.22165e-024
N17	1.14361e-006	0.00235991	0.0860701	1.56483e-018
Dichroplus_conspersus	0.00227067	0.000249907	0.91393	3.79345e-009
Dichroplus_pratensis	1.22569e-006	1.12083	0.91393	0
N18	1.17111e-019	1.9027e-008	7.53358e-011	3.8319e-027
N19	1.07259e-006	0.00170539	6.03092e-010	1.55658e-027
Dichroplus_democraticus	0.00170553	0.000230234	1.00023	1.79643e-011
Dichroplus_silveiraguidoi	5.95449e-007	1.99783	4.97454e-007	0
N20	7.05488e-007	1.89299e-006	0.760129	1.38132e-016
N21	0.000183243	0.00200138	0.232653	4.45215e-014
N22	0.00182099	0.000111684	0.00709662	4.72661e-016
Dichroplus_elongatus	0.000108066	1.92949e-007	0.000121074	0
N23	6.40811e-007	0.000561386	0.000119908	5.88336e-022
Dichroplus_paraelongatus	0.00066866	8.44532e-009	1.13246e-006	0
Dichroplus_patruelis	4.87174e-013	0.99933	0	0
Tropidostethus_sp	2.13962e-009	0.998183	0.00721769	0
N24	0.000185633	0.00018514	0.223755	1.21228e-013
N25	0.000109906	0.000112464	0.0159744	4.77509e-015
N26	7.26026e-009	1.09196e-007	0.000138847	1.24472e-024
Dichroplus_exilis	0	7.62457e-009	2.05767e-006	0
Dichroplus_fuscus	0	7.62457e-009	2.05767e-006	0
Ommexecha_sp	6.73539e-009	1.08934e-007	0.000140905	0
Dichroplus_schulzi	0.000228958	0.000231581	0.0161153	4.53871e-015
N27	1.1228e-007	3.29444e-007	0.435178	4.89266e-020
Leiotettix_flavipes	2.73561e-007	0.999988	0.56481	0
N28	1.48344e-005	4.99592e-007	0.0952794	7.0372e-013
Leiotettix_viridis	0.000704936	0.00173674	0.46953	1.02132e-012
Ommatolampis_sp	0.000704936	0.00173674	0.46953	1.02132e-012
N29	2.61975e-006	1.26267e-005	0.118772	1.96779e-015
N30	3.10253e-005	0.00334817	0.0668741	2.61052e-013
Dichroplus_maculipennis	0.00324488	0.000799693	0.814374	9.58548e-009
Dichroplus_vittatus	2.34283e-006	1.20865	0.814374	0
N31	0.0004885	0.000634878	0.866359	7.63661e-011
Diponthus_sp	0.00010921	0.000113521	0.014889	2.96625e-014
Pseudoscopas_nigrigena	0.00010921	0.000113521	0.014889	2.96625e-014
N32	1.0246e-005	1.03707e-005	0.636756	1.03849e-012
N33	0.000190485	0.000210832	0.298542	2.38993e-011
N34	0.00023233	0.000255621	0.0591655	1.81176e-012
Dichromorpha_sp	0.000232544	0.000238241	0.00587487	7.41806e-015
Leptysma_sp	0.000232544	0.000238241	0.00587487	7.41806e-015
Hyalopteryx_rufipennis	0.000667708	0.00122517	0.0650404	1.63141e-012
N35	0.000768571	0.00161051	0.347911	2.35481e-011
N36	0.000230251	0.00024983	0.0156482	2.32306e-013
Schistocerca_cancellata	0	5.07405e-008	2.34758e-005	0
Schistocerca_pallens	0	5.07405e-008	2.34758e-005	0
Schistocerca_flavofasciata	0.000234534	0.000254203	0.0156717	2.31882e-013
N37	6.01821e-006	5.83832e-006	0.210144	5.3115e-014
N38	0.000213702	0.000340568	0.585895	1.3358e-011
N39	3.73534e-006	2.77871e-006	0.0120295	1.96084e-013
Prionolopha_serrata	0.00132207	0.00383421	0.193821	5.72837e-013
Xyleus_modestus	0.00132207	0.00383421	0.193821	5.72837e-013
N40	0.000757039	0.00913792	0.201721	6.57209e-013
Xyleus_insignis	0.00759503	0.000240264	0.00412944	7.9793e-013
Xyleus_laevipes	2.38785e-008	0.992645	0.00412942	0
N41	0.0020168	0.00560706	0.790539	2.28749e-010
Zoniopoda_hempeli	0.000107617	0.000110114	0.00120703	0
N42	3.85781e-008	2.47871e-006	0.00107798	3.27997e-019
Zoniopoda_omnicolor	3.51092e-009	1.05711e-007	0.000129048	0
Zoniopoda_tarsata	3.51092e-009	1.05711e-007	0.000129048	0
N43	0.00213044	0.00776856	1.01886	3.07183e-007
Trimerotropis_ochraceipennis	0.000232287	0.000300788	0.0168047	4.40835e-012
Trimerotropis_pallidipennis	0.000232287	0.000300788	0.0168047	4.40835e-012
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.0057894	1.0014	1.0311	6.96079e-010
Paulinia_acuminata	0.0177612	0.0133702	1.0311	6.96114e-010
