#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.158747
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999932
Leiotettix_pulcher: 0.990033
Dichroplus_vittatus: 1.75782
Scotussa_daguerrei: 1.00305
Chlorus_bolivianus: 1.06773
Dichromatos_lilloanus: 0.912193
Dichroplus_pratensis: 1.05972
Dichroplus_silveiraguidoi: 1.99881
Tropidostethus_sp: 0.999385
Dichroplus_patruelis: 0.998008
Ronderosia_sp: 0.991419
Leiotettix_flavipes: 1
Xyleus_laevipes: 0.998904
Total number of loss events: 15.0761
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Chlorus_bolivianus: 0.883365
Dichromatos_lilloanus: 0.883364
Dichroplus_conspersus: 0.946691
Dichroplus_pratensis: 0.94642
Dichroplus_democraticus: 1
Ommexecha_sp: 1.00006
Tropidostethus_sp: 1
N23: 0.501042
N29: 0.998428
N30: 0.987953
Leiotettix_flavipes: 1.00011
N34: 0.646611
N37: 0.612583
N41: 0.800937
N43: 1.4735
Total number of duplication events: 21.1541
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 2.23458e-005
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00334314	0.00809348	0.459926	4.58625e-015
N3	0.00011938	0.000136973	0.0123034	3.12859e-019
N4	0.00059746	0.000605072	0.00701464	2.22991e-020
N5	5.3299e-008	2.78579e-007	1.36861e-005	9.36128e-023
N6	0.000106357	0.000106689	9.06654e-005	9.58374e-024
N7	5.42922e-005	5.76144e-005	0.497572	8.05758e-019
N8	0.000113318	0.0006913	0.399413	4.01396e-014
N9	1.78608e-005	0.00134436	0.0432955	2.47426e-013
Atrachelacris_sp	0.00169872	0.999932	0.0597232	0
Scotussa_impudica	0.00344174	0.00324982	0.0597233	7.40769e-009
N10	0.0018934	0.0121483	0.102841	4.32893e-010
Leiotettix_pulcher	8.88449e-010	0.990033	1.22492e-011	0
Scotussa_lemniscata	0.00978791	1.13537e-006	0.000177524	0
N11	4.37896e-007	3.26351e-005	0.01153	8.61009e-017
N12	0.000241904	0.000446506	0.180732	6.10696e-012
N13	0.000318109	0.011164	0.0788648	1.27674e-011
Dichroplus_maculipennis	0.0102002	0.00132957	0.231305	0
Dichroplus_vittatus	1.19832e-006	1.75782	0.231305	0
Pseudoscopas_nigrigena	0.00161978	0.00231042	0.310171	8.18478e-008
Scotussa_daguerrei	0.0103403	1.00305	0.490901	0
N14	2.84072e-007	2.48678e-005	3.25827e-006	5.63663e-027
N15	9.97649e-005	0.0896641	0.116636	1.05774e-017
Chlorus_bolivianus	0.000182199	1.06773	0.883365	0
Dichromatos_lilloanus	0.0425606	0.912193	0.883364	0
N16	0.00013501	0.00010862	6.46683e-007	9.82865e-021
N17	0.000115595	0.000117225	3.99568e-007	1.62418e-021
N18	0.000108886	0.000112606	1.65239e-008	5.19224e-025
N19	0.000108828	0.00247561	0.0535799	5.01324e-015
Dichroplus_conspersus	0.00207941	0.00088765	0.946691	2.06775e-005
Dichroplus_pratensis	5.72678e-006	1.05972	0.94642	0
N20	0.000123456	0.000116936	8.8299e-009	1.42107e-021
Dichroplus_democraticus	1.72127e-006	6.01088e-006	1	1.24749e-010
N21	0.000393279	0.00101209	1.1606e-007	6.52125e-021
N22	2.72088e-006	0.000538735	1.84724e-008	1.39025e-020
Dichroplus_silveiraguidoi	4.11598e-007	1.99881	2.83068e-007	0
Ommexecha_sp	0.00107549	5.43806e-005	1.00006	0
Tropidostethus_sp	0.000614258	0.999385	1	0
N23	5.33701e-005	5.33687e-005	0.501042	6.25045e-015
N24	4.00773e-005	3.64754e-005	0.170125	6.84962e-015
N25	0.000196585	0.000406363	0.31078	5.23149e-013
Dichroplus_elongatus	0.000141045	0.000373221	0.0180519	0
N26	0.000109728	0.00208993	0.0173147	1.08765e-015
Dichroplus_paraelongatus	0.00210419	0.000111675	0.000737245	0
Dichroplus_patruelis	2.21544e-007	0.998008	0.000737244	0
Marellia_remipes	0.00149207	0.00217447	0.328832	3.29187e-011
N27	0.000392962	0.000538486	0.444405	2.04167e-014
N28	0.000119261	0.000374613	0.0544631	1.14834e-015
Dichroplus_exilis	6.48287e-009	1.20287e-007	8.87805e-005	0
Dichroplus_fuscus	6.48287e-009	1.20287e-007	8.87805e-005	0
Dichroplus_schulzi	0.000121995	0.00038299	0.0545518	0
N29	0.00154564	0.00920392	0.998428	4.08093e-011
Paulinia_acuminata	0.0070075	1.09714e-006	0.00157226	0
Ronderosia_sp	9.14916e-009	0.991419	3.89944e-010	0
N30	0.0024431	0.00313864	0.987953	3.56702e-011
Leiotettix_viridis	0.000111334	0.000124319	0.0121423	0
Ommatolampis_sp	0.000111334	0.000124319	0.0121423	0
Leiotettix_flavipes	0.011764	1	1.00011	1.975e-015
N31	0.000101566	9.93532e-005	0.266408	5.36812e-013
N32	0.000249563	0.000317306	0.249536	2.43635e-011
Dichromorpha_sp	0.00372413	0.0112643	0.49118	5.6211e-011
N33	0.000197811	0.000348021	0.164479	5.60852e-011
Hyalopteryx_rufipennis	0.00257369	0.00544265	0.326701	1.78205e-009
Leptysma_sp	0.00257369	0.00544265	0.326701	1.78205e-009
N34	0.00245557	0.00476642	0.646611	3.94619e-009
N35	0.000667957	0.0011222	0.0940747	1.82984e-010
Schistocerca_cancellata	3.77914e-009	1.04484e-007	3.08911e-005	0
Schistocerca_pallens	3.77914e-009	1.04484e-007	3.08911e-005	0
Schistocerca_flavofasciata	0.000674639	0.00113185	0.0941056	1.82988e-010
N36	0.000126771	0.000120214	0.216443	4.13681e-011
N37	0.00107432	0.00136276	0.612583	9.03221e-009
N38	0.000615418	0.00204961	0.179811	1.08048e-010
N39	0.00107168	9.91491e-006	0.00433556	1.16413e-013
Diponthus_sp	0.000454896	0.000707725	0.00625637	1.99821e-012
Xyleus_insignis	0.000454896	0.000707725	0.00625637	1.99821e-012
Xyleus_laevipes	7.34933e-007	0.998904	0.010592	0
N40	0.00066634	0.00100905	0.140661	1.11206e-010
Prionolopha_serrata	0.00072137	0.00139677	0.0497416	1.81373e-011
Xyleus_modestus	0.00072137	0.00139677	0.0497416	1.81373e-011
N41	0.00566749	0.0178731	0.800937	3.79664e-010
N42	2.62065e-007	6.12748e-006	0.00115669	7.78205e-016
Zoniopoda_hempeli	0.000113193	0.000114401	0.000890095	0
Zoniopoda_omnicolor	0.000113193	0.000114401	0.000890095	0
Zoniopoda_tarsata	1.02316e-007	7.19102e-006	0.00204679	0
N43	0.0144659	0.0859757	1.4735	1.56067e-006
Trimerotropis_ochraceipennis	1.31853e-006	0.000183289	0.00892206	0
Trimerotropis_pallidipennis	1.31853e-006	0.000183289	0.00892206	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00605058	1.01097	1.47935	2.92153e-013
Scotussa_impudica	0.0077936	0.0142856	1.47935	7.40798e-009
Leiotettix_pulcher	0.0062274	1.01187	1.47917	4.32937e-010
Scotussa_lemniscata	0.0160153	0.0218409	1.47935	4.32937e-010
Dichroplus_maculipennis	0.0149813	0.0219728	1.47935	1.8879e-011
Dichroplus_vittatus	0.00478233	1.77846	1.47935	1.8879e-011
Pseudoscopas_nigrigena	0.0060828	0.0117897	1.47935	8.18539e-008
Scotussa_daguerrei	0.0145615	1.01208	1.47935	4.67349e-015
Chlorus_bolivianus	0.00444864	1.16636	1.47935	4.59716e-015
Dichromatos_lilloanus	0.046827	1.01082	1.47935	4.59716e-015
Dichroplus_conspersus	0.0067144	0.0126691	1.47962	2.06775e-005
Dichroplus_pratensis	0.00464072	1.0715	1.47935	9.59984e-015
Dichroplus_democraticus	0.00465134	0.00942876	1.47935	1.24754e-010
Dichroplus_silveiraguidoi	0.00504603	2.00979	0.479353	4.58662e-015
Ommexecha_sp	0.00612111	0.011028	1.47941	4.58662e-015
Tropidostethus_sp	0.00565715	1.00982	1.47935	4.5866e-015
Dichroplus_elongatus	0.00484835	0.0100626	1.47935	5.40836e-013
Dichroplus_paraelongatus	0.00692122	0.011891	1.47935	5.41923e-013
Dichroplus_patruelis	0.00481726	1.00979	1.47935	5.41923e-013
Marellia_remipes	0.0060028	0.0114575	1.47935	3.29364e-011
Dichroplus_exilis	0.00498288	0.0101598	1.47935	3.24021e-014
Dichroplus_fuscus	0.00498288	0.0101598	1.47935	3.24021e-014
Dichroplus_schulzi	0.0049856	0.0101681	1.47935	3.12538e-014
Paulinia_acuminata	0.0128548	0.018281	1.47935	4.08139e-011
Ronderosia_sp	0.00584733	1.0097	1.47778	4.08139e-011
Leiotettix_viridis	0.00661447	0.0120988	1.47935	3.56748e-011
Ommatolampis_sp	0.00661447	0.0120988	1.47935	3.56748e-011
Leiotettix_flavipes	0.015824	1.00884	1.47935	6.56158e-015
Dichromorpha_sp	0.00753778	0.0199114	1.47935	8.11159e-011
Hyalopteryx_rufipennis	0.00658515	0.0144378	1.47935	1.86304e-009
Leptysma_sp	0.00658515	0.0144378	1.47935	1.86304e-009
Schistocerca_cancellata	0.00668761	0.0142185	1.47935	4.12972e-009
Schistocerca_pallens	0.00668761	0.0142185	1.47935	4.12972e-009
Schistocerca_flavofasciata	0.00669429	0.0142281	1.47935	4.12972e-009
Diponthus_sp	0.00668623	0.0123437	1.47935	9.18375e-009
Xyleus_insignis	0.00668623	0.0123437	1.47935	9.18375e-009
Xyleus_laevipes	0.00516039	1.01053	1.47935	9.18163e-009
Prionolopha_serrata	0.00593194	0.0119823	1.47935	9.20293e-009
Xyleus_modestus	0.00593194	0.0119823	1.47935	9.20293e-009
Zoniopoda_hempeli	0.00925085	0.0262073	1.47935	4.21037e-010
Zoniopoda_omnicolor	0.00925085	0.0262073	1.47935	4.21037e-010
Zoniopoda_tarsata	0.0091375	0.026094	1.47935	4.21036e-010
Trimerotropis_ochraceipennis	0.0144672	0.0861589	1.48242	1.56067e-006
Trimerotropis_pallidipennis	0.0144672	0.0861589	1.48242	1.56067e-006
