#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.159084
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N12: 0.92937
Dichromatos_lilloanus: 0.948076
Chlorus_bolivianus: 1.57404
Ronderosia_sp: 0.578867
Leiotettix_pulcher: 0.994261
Scotussa_daguerrei: 0.998157
Dichroplus_pratensis: 1.04562
Dichroplus_silveiraguidoi: 1.99469
Dichroplus_patruelis: 0.999391
Leiotettix_flavipes: 0.995378
Dichroplus_vittatus: 1.24637
Xyleus_laevipes: 0.994217
Total number of loss events: 13.8755
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N8: 0.922306
Dichroplus_conspersus: 0.993507
Dichroplus_pratensis: 0.993507
Dichroplus_democraticus: 1.00077
N24: 0.977911
N26: 0.996914
N28: 0.951073
N30: 0.765669
Dichroplus_vittatus: 0.76587
Pseudoscopas_nigrigena: 1.00009
N31: 0.874199
N36: 0.644032
N43: 1.09615
Total number of duplication events: 14.0391
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 5.94002e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00127273	0.0018986	0.111215	1.15306e-017
N3	6.15039e-006	8.01222e-006	0.00144166	1.1171e-020
N4	0.000487067	0.000498656	0.00444732	1.12082e-019
N5	4.58621e-007	2.28475e-006	3.42905e-005	2.52955e-023
N6	1.37713e-006	9.92207e-007	4.75715e-005	9.4943e-024
N7	2.49161e-007	9.7549e-007	1.1379e-005	2.77595e-025
N8	5.32875e-007	0.001177	0.922306	1.84305e-018
N9	7.16884e-007	0.0498783	0.0730844	7.40631e-019
N10	0.000273341	1.24474e-005	0.00133627	2.37093e-018
N11	0.000486034	0.00166126	0.00244263	5.76171e-016
N12	6.5714e-006	0.92937	0.000829907	5.05601e-016
Atrachelacris_sp	2.09235e-007	0.0188586	6.52627e-007	0
Tropidostethus_sp	2.09235e-007	0.0188586	6.52627e-007	0
N13	0.0497884	0.00428035	0.000812402	3.80571e-011
Leiotettix_viridis	3.18301e-005	0.000235273	1.81574e-005	0
Ommexecha_sp	3.18301e-005	0.000235273	1.81574e-005	0
N14	0.00113906	0.0026989	0.00256019	3.6268e-015
Dichromatos_lilloanus	3.68066e-005	0.948076	0.000713	0
Marellia_remipes	0.0510982	0.00209427	0.000713001	0
N15	1.76566e-007	0.370596	5.63678e-005	8.48945e-024
Chlorus_bolivianus	5.70375e-008	1.57404	0.00453269	0
Ronderosia_sp	0.000515623	0.578867	0.00453269	0
N16	6.98549e-005	0.00094317	0.0632299	1.10931e-014
