#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.0533373
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.997215
Leiotettix_pulcher: 0.996043
N16: 0.850281
N18: 0.693791
Chlorus_bolivianus: 1.95916
Dichroplus_vittatus: 1.97589
Leiotettix_flavipes: 1.00157
Dichroplus_patruelis: 0.996929
Dichroplus_silveiraguidoi: 1.98948
Xyleus_laevipes: 0.998102
Total number of loss events: 13.4752
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.806857
N26: 0.828605
Dichroplus_conspersus: 1
Dichroplus_democraticus: 1.00233
N31: 0.974418
N32: 0.673664
Xyleus_modestus: 0.511241
N41: 0.53158
Diponthus_sp: 1.00474
N43: 1.03953
Total number of duplication events: 11.395
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 6.92857e-009
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N31:ML=12 to Dichroplus_pratensis:ML=10  ProbOfChange = 0.99932  sum expections= 0.0128797
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 2	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00132146	0.00160795	0.0834816	7.52142e-017
N3	2.52093e-006	1.63343e-005	0.00356789	1.03061e-019
N4	3.21982e-006	1.99094e-006	0.000991033	1.31517e-022
N5	3.46584e-007	3.16542e-006	0.000175508	6.26777e-024
N6	6.34104e-008	1.99807e-008	0.0762947	1.06732e-019
N7	8.89468e-007	2.20437e-007	0.806857	3.94959e-018
N8	1.54916e-007	2.30678e-006	0.0733076	2.90284e-016
N9	2.57283e-007	0.000420265	0.0433959	3.19168e-019
N10	1.94449e-011	6.95593e-008	7.15302e-005	2.92294e-020
N11	4.54417e-006	0.000171616	7.38906e-005	2.42157e-019
N12	5.28875e-012	0.00254615	1.40931e-006	5.82212e-023
N13	3.33685e-005	6.80812e-005	8.56739e-008	1.56125e-024
Atrachelacris_sp	3.62982e-007	0.997215	3.84737e-008	0
N14	0.00167297	3.4626e-006	2.18102e-008	1.49405e-018
N15	3.07268e-005	0.00287204	1.64066e-008	4.66475e-015
Leiotettix_pulcher	2.20809e-010	0.996043	2.56906e-010	0
Scotussa_lemniscata	0.00395631	4.68249e-007	2.56906e-010	0
Scotussa_impudica	0.00136863	0.000253746	1.66635e-008	0
N16	6.00231e-008	0.850281	1.18374e-007	1.80334e-023
Scotussa_daguerrei	0.000107163	0.147076	5.77659e-009	0
Tropidostethus_sp	0.000107163	0.147076	5.77659e-009	0
Ommexecha_sp	0.000606272	0.000401551	1.53528e-006	0
N17	4.00999e-005	1.79643e-006	3.46733e-005	5.59165e-017
Leiotettix_viridis	0.000410287	0.000413931	4.07525e-005	0
Paulinia_acuminata	0.000410287	0.000413931	4.07525e-005	0
N18	1.95003e-007	0.693791	0.000119746	8.8948e-022
Dichromatos_lilloanus	9.70909e-005	0.305886	2.72098e-005	0
Ronderosia_sp	9.70909e-005	0.305886	2.72098e-005	0
N19	1.50902e-007	4.00311e-005	0.00492995	4.2406e-021
N20	4.82826e-006	0.0062156	0.00359983	1.76042e-014
Chlorus_bolivianus	8.40457e-008	1.95916	0.0350131	0
Marellia_remipes	0.00642426	0.000655989	0.0350131	0
N21	1.08616e-006	0.000248309	0.00930822	3.11939e-019
N22	0.000172582	3.28844e-005	0.00630114	4.93389e-016
N23	1.3142e-006	0.00162059	0.000659266	8.11747e-016
Dichroplus_maculipennis	0.00202875	0.000278178	0.0223441	0
Dichroplus_vittatus	1.15023e-008	1.97589	0.022344	0
