#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.177948
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N10: 0.765782
Dichroplus_silveiraguidoi: 1.99596
N15: 0.991774
Dichroplus_pratensis: 0.908142
Dichroplus_patruelis: 0.998479
Chlorus_bolivianus: 1.04993
Dichromatos_lilloanus: 0.864055
Leiotettix_pulcher: 0.995949
Scotussa_daguerrei: 0.999431
Dichroplus_vittatus: 1.8315
Leiotettix_flavipes: 0.999999
Xyleus_laevipes: 0.997603
Total number of loss events: 14.0407
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N9: 0.951206
Dichroplus_conspersus: 1
Dichroplus_democraticus: 1.00063
N15: 0.992796
N17: 0.682478
N19: 0.657048
Chlorus_bolivianus: 0.841657
Dichromatos_lilloanus: 0.841657
N24: 0.56084
Paulinia_acuminata: 0.805817
N29: 0.514508
Pseudoscopas_nigrigena: 0.684258
Leiotettix_flavipes: 1.00006
N32: 0.856108
N34: 0.84219
N37: 0.956925
Prionolopha_serrata: 0.913496
N42: 0.678733
Xyleus_modestus: 0.944518
N43: 1.21028
Total number of duplication events: 20.3022
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 8.06064e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00141614	0.00179902	0.210287	6.93783e-017
N3	0.00028263	0.00028691	0.0149229	1.69773e-019
N4	1.06149e-006	5.80058e-006	0.00224763	1.40656e-019
N5	1.56649e-006	6.76267e-007	3.46e-005	6.30411e-022
N6	8.83154e-008	1.82505e-007	2.29678e-005	1.17309e-024
N7	2.77599e-007	4.76983e-005	1.03242e-006	4.22355e-027
N8	4.79865e-005	4.01387e-007	2.07401e-007	2.93869e-021
N9	9.76895e-007	0.00924462	0.951206	8.31893e-013
N10	4.26526e-007	0.765782	0.0140064	1.51266e-015
Atrachelacris_sp	0.000110239	0.194635	0.00433716	0
Ronderosia_sp	0.000110239	0.194635	0.00433716	0
Leiotettix_viridis	0.00902853	0.000704391	0.0487934	2.16654e-012
N11	2.71511e-007	4.87802e-007	5.23857e-008	6.90864e-023
N12	7.57703e-008	2.50003e-005	3.23781e-009	1.69438e-025
Dichroplus_conspersus	2.49177e-005	7.74024e-008	1	2.24665e-013
N13	4.96299e-009	0.000540613	3.5958e-010	2.05785e-025
N14	9.79406e-006	0.00347657	8.18861e-010	9.19325e-024
Dichroplus_democraticus	0.00277692	0.000627202	1.00063	5.37923e-010
Dichroplus_silveiraguidoi	1.58208e-006	1.99596	2.22107e-006	0
N15	2.36262e-005	0.991774	0.992796	1.86791e-017
Dichroplus_pratensis	1.05261e-005	0.908142	0.00720416	0
Tropidostethus_sp	0.094098	0.00943408	0.00439383	0
N16	3.78747e-007	1.27397e-007	0.300508	1.10823e-014
N17	5.8869e-006	0.000102285	0.682478	5.03687e-014
Dichroplus_elongatus	7.98602e-006	2.51898e-006	0.0170139	0
N18	1.27531e-007	0.00138441	0.0168825	2.89052e-017
Dichroplus_paraelongatus	0.00138976	4.06537e-008	0.000131462	0
Dichroplus_patruelis	9.35305e-012	0.998479	0	0
N19	1.93282e-006	8.21562e-005	0.657048	6.29548e-014
N20	1.90364e-007	3.29875e-006	0.0423421	3.92285e-017
Dichroplus_exilis	3.86915e-009	6.87539e-008	0.000101222	0
Dichroplus_fuscus	3.86915e-009	6.87539e-008	0.000101222	0
N21	4.49352e-007	3.5403e-006	0.0398454	1.02964e-015
Dichroplus_schulzi	4.01777e-008	6.13092e-007	0.0025979	0
Ommexecha_sp	4.01777e-008	6.13092e-007	0.0025979	0
N22	1.66548e-006	0.135952	0.158343	6.24479e-018
Chlorus_bolivianus	0.000402379	1.04993	0.841657	0
Dichromatos_lilloanus	0.0399148	0.864055	0.841657	0
N23	5.61639e-007	1.20314e-007	0.194184	1.76368e-018
N24	3.21807e-006	0.000575	0.56084	1.03434e-014
N25	0.000497537	2.95627e-005	0.173916	9.53695e-012
N26	5.06945e-006	0.00397469	0.0704491	2.49884e-012
Leiotettix_pulcher	5.35644e-010	0.995949	0.000611253	0
N27	0.0040512	7.55212e-007	0.000610748	1.67598e-018
Marellia_remipes	6.44767e-008	4.94065e-009	5.05089e-007	0
Scotussa_lemniscata	6.44767e-008	4.94065e-009	5.05089e-007	0
Scotussa_impudica	9.62999e-005	0.000289202	0.0710603	2.513e-012
Scotussa_daguerrei	1.82627e-006	0.999431	0.244977	0
Paulinia_acuminata	0.00113614	0.00354371	0.805817	4.37873e-014
N28	1.09268e-005	1.28192e-006	0.315766	1.22923e-016
N29	0.000195301	0.000238015	0.514508	2.5957e-011
N30	2.37012e-008	0.000274201	0.00155693	4.98087e-018
Dichroplus_maculipennis	0.000304675	1.5859e-007	0.168193	0
Dichroplus_vittatus	7.45422e-011	1.8315	0.168193	0
Ommatolampis_sp	3.10099e-005	7.55837e-007	0.16975	2.45598e-012
Pseudoscopas_nigrigena	0.000535712	0.00282416	0.684258	2.40301e-011
Leiotettix_flavipes	1.49823e-006	0.999999	1.00006	0
N31	5.88627e-006	3.85176e-006	0.115526	6.85883e-014
N32	0.00121033	0.00369639	0.856108	3.36623e-011
N33	1.25005e-006	1.28947e-005	0.0157702	9.06441e-014
Dichromorpha_sp	1.51473e-007	3.88406e-006	0.0149007	2.32173e-015
Leptysma_sp	1.51473e-007	3.88406e-006	0.0149007	2.32173e-015
Hyalopteryx_rufipennis	3.19403e-007	0.000276863	0.0306709	2.51796e-013
N34	0.00124514	0.00443567	0.84219	9.17793e-011
N35	1.07387e-006	4.38628e-005	0.0445313	5.55652e-012
Schistocerca_cancellata	3.03751e-009	6.81584e-008	5.70276e-005	0
Schistocerca_pallens	3.03751e-009	6.81584e-008	5.70276e-005	0
Schistocerca_flavofasciata	1.04642e-006	4.38399e-005	0.0445884	5.55676e-012
N36	1.22979e-006	8.46919e-006	0.0574433	2.05219e-014
N37	0.00203373	0.00689305	0.956925	2.12463e-009
N38	1.78621e-007	8.33273e-006	0.00266502	3.09258e-016
N39	3.69683e-008	1.65698e-007	0.000188266	8.56085e-022
Diponthus_sp	2.85417e-009	3.32505e-008	7.42826e-006	0
Zoniopoda_hempeli	2.85417e-009	3.32505e-008	7.42826e-006	0
Zoniopoda_omnicolor	4.92301e-009	1.64144e-007	0.000195694	0
Zoniopoda_tarsata	1.25352e-007	8.44498e-006	0.00286071	0
N40	5.15965e-007	6.99902e-007	0.0152667	1.28526e-014
N41	4.99751e-006	2.59789e-006	0.0310208	1.92647e-014
Prionolopha_serrata	0.00271785	0.00999879	0.913496	3.09417e-010
N42	0.000908684	0.00723349	0.678733	1.55288e-010
Xyleus_insignis	0.00487722	0.00476421	0.234767	1.9792e-009
Xyleus_laevipes	3.11168e-005	0.997603	0.234767	0
Xyleus_modestus	0.00307589	0.00986361	0.944518	2.15416e-012
N43	0.00528579	0.0296918	1.21028	8.00748e-007
