#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.0833162
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.993573
N12: 0.661249
Chlorus_bolivianus: 1.07776
Dichromatos_lilloanus: 0.999333
Tropidostethus_sp: 0.996628
Dichroplus_pratensis: 1.11254
Dichroplus_silveiraguidoi: 1.99384
Leiotettix_pulcher: 0.996508
Scotussa_daguerrei: 0.999565
Dichroplus_patruelis: 0.998663
Dichroplus_vittatus: 1.28792
Leiotettix_flavipes: 1
Xyleus_laevipes: 0.994359
Total number of loss events: 14.5632
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N8: 0.591774
N18: 0.80995
Dichroplus_pratensis: 0.913921
Ommexecha_sp: 0.941034
Dichroplus_democraticus: 1.0012
N21: 0.96765
N23: 0.901502
N26: 0.983972
Dichroplus_maculipennis: 0.725689
Dichroplus_vittatus: 0.725689
Leiotettix_flavipes: 1.00015
N36: 0.870365
N38: 0.747725
N43: 1.10813
Total number of duplication events: 19.8242
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 8.01243e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000335423	0.000665316	0.149182	2.43916e-018
N3	1.89447e-006	6.87035e-006	0.00494578	1.56029e-020
N4	0.000173454	0.00017618	0.00644681	3.88947e-022
N5	1.45535e-006	6.194e-007	3.48685e-005	3.02102e-023
N6	0.000238094	0.000237832	0.000110771	3.1552e-022
N7	8.076e-008	7.02305e-007	5.4831e-006	2.19167e-025
N8	1.13995e-009	1.45296e-008	0.591774	6.67259e-023
N9	3.85394e-009	2.3647e-005	0.0112638	2.80767e-022
N10	3.59779e-005	1.63167e-005	0.150919	1.39018e-013
N11	0.000674576	0.00781517	0.244602	3.70236e-012
Atrachelacris_sp	2.88686e-009	0.993573	0.00142873	0
Marellia_remipes	0.00642883	1.55732e-006	0.00142874	0
Leiotettix_viridis	0.000597954	0.00138094	0.246031	3.69953e-012
N12	0.000142849	0.661249	0.138013	1.2174e-018
Chlorus_bolivianus	3.07237e-005	1.07776	0.258936	0
Ronderosia_sp	0.02644	0.340211	0.258936	0
N13	3.17998e-006	0.000660415	0.109777	9.009e-017
Dichromatos_lilloanus	1.96166e-006	0.999333	0.298436	0
Paulinia_acuminata	0.00133642	0.00188377	0.298436	1.15834e-012
N14	5.33326e-008	1.21781e-008	5.85026e-008	6.41462e-031
N15	6.4679e-008	6.39977e-008	8.70238e-009	2.28481e-028
N16	2.74183e-007	8.10461e-006	0.0589662	3.14038e-018
N17	4.94921e-007	0.0017671	0.0271123	9.60369e-017
N18	0.000987202	0.00255407	0.80995	5.84772e-009
Dichroplus_conspersus	0.00353454	0.000568448	0.103971	8.06879e-011
Tropidostethus_sp	7.30171e-006	0.996628	0.103971	0
Dichroplus_pratensis	4.74807e-007	1.11254	0.913921	0
Ommexecha_sp	0.000713065	0.000771405	0.941034	1.26668e-013
N19	1.43924e-006	8.14309e-006	1.02828e-009	2.67085e-026
N20	0.000267626	0.0064067	1.06244e-008	5.98482e-023
Dichroplus_democraticus	0.00476702	0.00236976	1.0012	3.97166e-011
Dichroplus_silveiraguidoi	3.98669e-006	1.99384	6.75321e-006	0
N21	0.000830255	0.00082485	0.96765	3.29847e-012
N22	1.8891e-007	2.85134e-006	0.0320595	1.86872e-016
Dichroplus_exilis	5.15263e-009	7.79938e-008	0.000291449	0
Dichroplus_fuscus	5.15263e-009	7.79938e-008	0.000291449	0
Dichroplus_schulzi	1.28777e-007	2.83778e-006	0.032351	0
N23	0.000594875	0.00103017	0.901502	1.34236e-016
N24	0.00028482	8.37323e-006	0.0510138	8.58695e-013
N25	3.74523e-005	0.00337463	0.0456009	5.68673e-014
Leiotettix_pulcher	1.84872e-009	0.996508	0.0018834	0
Scotussa_lemniscata	0.00349347	1.6687e-006	0.00188341	0
Scotussa_impudica	0.000612819	0.000745821	0.0474843	2.39845e-013
Scotussa_daguerrei	3.96602e-007	0.999565	0.0984982	0
N26	0.000704275	0.00141607	0.983972	3.77595e-015
Dichroplus_elongatus	1.01804e-005	3.79717e-006	0.0160331	0
N27	1.75192e-007	0.00133067	0.0158283	1.80319e-016
Dichroplus_paraelongatus	0.00133693	6.47405e-008	0.000204866	0
Dichroplus_patruelis	1.55423e-011	0.998663	0.000204866	0
N28	0.000335709	0.000341522	0.198286	1.74283e-015
N29	0.00029737	0.00549284	0.0761424	1.03041e-013
Dichroplus_maculipennis	0.0055912	0.00169955	0.725689	2.05524e-008
Dichroplus_vittatus	3.0078e-006	1.28792	0.725689	0
N30	0.000130438	0.000118229	0.31713	7.10839e-010
Ommatolampis_sp	0.000626102	0.0011711	0.484701	2.00491e-011
Pseudoscopas_nigrigena	0.000626102	0.0011711	0.484701	2.00491e-011
Leiotettix_flavipes	1.47924e-006	1	1.00015	0
N31	5.24174e-006	2.92144e-006	0.135311	1.85189e-015
N32	0.000160681	0.000159572	0.232417	8.64482e-012
N33	0.000636923	0.00107023	0.431003	6.19442e-012
Diponthus_sp	0.000800066	0.00221644	0.207868	1.03994e-010
N34	0.00053126	0.00693138	0.195025	1.04913e-010
Xyleus_insignis	0.0055312	0.000660786	0.0128425	1.87642e-012
Xyleus_laevipes	9.435e-007	0.994359	0.0128425	0
N35	0.000271139	0.000252961	0.14986	1.28037e-011
Prionolopha_serrata	0.000963046	0.00585469	0.48901	2.24692e-009
Xyleus_modestus	0.000963046	0.00585469	0.48901	2.24692e-009
N36	0.00180103	0.00744216	0.870365	3.38197e-012
N37	2.13923e-008	1.34096e-006	0.00049422	1.33624e-018
Zoniopoda_hempeli	3.02483e-009	2.42121e-007	0.000431723	0
