#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.0977289
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.987936
Leiotettix_pulcher: 0.992825
Scotussa_daguerrei: 0.98787
N13: 0.975118
Chlorus_bolivianus: 1.01703
Dichromatos_lilloanus: 0.991627
Ronderosia_sp: 0.980248
Dichroplus_silveiraguidoi: 1.99551
Dichroplus_patruelis: 0.999106
Leiotettix_flavipes: 0.999999
Dichroplus_vittatus: 1.20323
Xyleus_laevipes: 0.990905
Total number of loss events: 13.2781
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.918047
Dichroplus_conspersus: 0.945396
N20: 0.800797
Dichroplus_democraticus: 1.00057
N23: 0.510694
N26: 0.511872
Leiotettix_flavipes: 1
Dichroplus_maculipennis: 0.835366
Dichroplus_vittatus: 0.835366
N30: 0.879178
N32: 0.512086
Xyleus_modestus: 0.511331
N41: 0.88417
N43: 1.01045
Total number of duplication events: 14.7766
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.10095e-005
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N20:ML=12 to Dichroplus_pratensis:ML=10  ProbOfChange = 0.999353  sum expections= 0.01021
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 2	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00109082	0.00122829	0.0457738	1.61554e-017
N3	1.6144e-006	1.12049e-006	0.000360298	2.57735e-023
N4	0.000124779	0.000122888	0.000314294	7.67498e-023
N5	0.000120226	0.000123093	4.82453e-005	3.8926e-023
N6	3.71074e-007	0.00234723	0.918047	6.86722e-016
N7	0.000134475	0.00294496	0.0780265	1.04567e-016
N8	1.1445e-005	0.0069245	0.00342458	1.00472e-017
Atrachelacris_sp	1.38955e-005	0.987936	0.000503364	0
N9	0.000239278	0.000305837	0.000343656	3.02625e-016
N10	0.00906948	0.000126166	0.000111487	1.62103e-013
N11	0.000223404	0.00423114	4.77493e-005	1.64952e-014
Leiotettix_pulcher	4.40378e-010	0.992825	4.71418e-007	0
Scotussa_lemniscata	0.00717412	5.43432e-007	4.71418e-007	0
Scotussa_impudica	0.00331593	0.00051596	4.82207e-005	1.62493e-012
Scotussa_daguerrei	8.05077e-006	0.98787	0.000159708	0
N12	2.44493e-005	0.00241407	0.00227504	7.25718e-017
N13	4.21591e-006	0.975118	0.00150077	2.24529e-017
Chlorus_bolivianus	5.47971e-007	1.01703	0.000152126	0
Tropidostethus_sp	0.00248909	0.0196445	0.000152126	0
Leiotettix_viridis	0.00783832	0.0022398	0.0016529	3.35788e-016
N14	4.18136e-006	0.00928095	0.0252312	2.57449e-015
Dichromatos_lilloanus	0.000533327	0.991627	0.0567232	0
N15	0.00156033	0.0107387	0.056382	3.24945e-012
Ommexecha_sp	0.0198604	0.000108657	0.000341228	0
Ronderosia_sp	5.72467e-009	0.980248	0.000341228	0
N16	5.08936e-007	2.0015e-006	1.2103e-006	1.62016e-024
N17	1.52768e-006	4.37017e-007	9.66797e-008	3.53238e-024
N18	2.5184e-007	1.55269e-006	1.84575e-008	1.26317e-025
N19	1.15778e-006	5.59222e-007	0.054604	1.34021e-015
Dichroplus_conspersus	4.53514e-005	0.000115554	0.945396	1.86113e-012
N20	0.000280262	0.0111509	0.800797	1.49713e-012
Dichroplus_pratensis	0	2	0	0
Paulinia_acuminata	0.00881225	3.57409e-008	0.143201	0
N21	1.96582e-006	0.00447576	6.16236e-009	7.96963e-024
Dichroplus_democraticus	0.0033454	0.000567742	1.00057	0
Dichroplus_silveiraguidoi	1.61022e-006	1.99551	2.51566e-006	0
N22	3.87925e-006	6.22549e-007	0.476875	1.02127e-013
N23	0.000279052	0.000961805	0.510694	7.61224e-014
Dichroplus_elongatus	0.000120916	0.00011623	0.0124316	0
N24	0.000106541	0.000995877	0.0123243	4.51221e-017
N25	0.000893612	7.11821e-008	0.000105356	8.96141e-020
Dichroplus_paraelongatus	4.50952e-007	1.78435e-008	1.96252e-006	0
Marellia_remipes	4.50952e-007	1.78435e-008	1.96252e-006	0
Dichroplus_patruelis	7.20818e-012	0.999106	0.000107318	0
N26	0.000287297	0.000845063	0.511872	1.45237e-012
N27	0.00010869	0.000112819	0.0112443	4.55366e-018
Dichroplus_exilis	7.60524e-010	9.08725e-009	8.81645e-006	0
Dichroplus_fuscus	7.60524e-010	9.08725e-009	8.81645e-006	0
Dichroplus_schulzi	0.000109681	0.000113827	0.0112531	0
Leiotettix_flavipes	0.00689788	0.999999	1	0
N28	0.000111896	0.000145326	0.118167	4.07179e-014
N29	1.93872e-005	0.00363012	0.0465172	2.33423e-013
Dichroplus_maculipennis	0.00407276	0.00128056	0.835366	1.08241e-005
Dichroplus_vittatus	1.50138e-006	1.20323	0.835366	0
N30	0.000529205	0.00163188	0.879178	8.91813e-008
Ommatolampis_sp	7.26279e-008	1.75036e-006	0.00270508	0
Pseudoscopas_nigrigena	7.26279e-008	1.75036e-006	0.00270508	0
N31	0.000247062	0.000227024	0.487823	1.09317e-012
N32	0.00173762	0.00463598	0.512086	3.40303e-008
N33	3.24531e-008	9.80269e-007	0.000439759	1.28857e-021
Dichromorpha_sp	1.11537e-009	1.75449e-008	1.62238e-005	0
Hyalopteryx_rufipennis	1.11537e-009	1.75449e-008	1.62238e-005	0
Leptysma_sp	3.24851e-008	9.87256e-007	0.000455982	0
N34	0.000762557	0.00211597	0.490524	3.54509e-008
N35	0.00011559	0.000141422	0.0219706	8.06996e-016
Schistocerca_cancellata	6.09629e-009	9.17559e-008	4.6635e-005	0
Schistocerca_pallens	6.09629e-009	9.17559e-008	4.6635e-005	0
Schistocerca_flavofasciata	0.000118116	0.000144027	0.0220173	0
N36	2.15026e-006	1.10245e-006	0.107551	3.96048e-016
N37	8.90261e-005	8.54329e-005	0.381841	5.85888e-013
N38	0.000133882	0.000150038	0.277923	6.71246e-012
N39	0.000126015	0.000185834	0.127751	3.4611e-012
N40	0.000707896	0.0109534	0.105656	6.38766e-012
Diponthus_sp	0	0	1.16848e-008	0
Xyleus_laevipes	0	0.990905	0	0
Xyleus_insignis	0.000741019	0.00188365	0.105656	6.44204e-012
Prionolopha_serrata	0.00126311	0.00454631	0.233407	2.35918e-008
Xyleus_modestus	0.00272699	0.00771875	0.511331	1.88075e-011
N41	0.00280785	0.00705669	0.88417	1.50695e-011
N42	0.000107289	0.000122196	0.00858525	3.62308e-015
Zoniopoda_hempeli	3.01085e-008	4.74676e-007	0.000416978	0
Zoniopoda_omnicolor	3.01085e-008	4.74676e-007	0.000416978	0
Zoniopoda_tarsata	0.000114228	0.000129358	0.00900223	0
N43	0.00555546	0.0175524	1.01045	3.01953e-009
Trimerotropis_ochraceipennis	0.000248249	0.000396717	0.0360704	4.41097e-011
Trimerotropis_pallidipennis	0.000248249	0.000396717	0.0360704	4.41097e-011
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00149762	1.00163	1.0465	8.17492e-016
Leiotettix_pulcher	0.0110159	1.01118	1.0465	1.79718e-013
Scotussa_lemniscata	0.01819	0.0183558	1.0465	1.79718e-013
Scotussa_impudica	0.0141084	0.01464	1.0465	1.78815e-012
Scotussa_daguerrei	0.00173106	1.00187	1.0465	1.12012e-015
Chlorus_bolivianus	0.0015015	2.00133	1.0465	9.02469e-016
Tropidostethus_sp	0.00399004	1.00394	1.0465	9.02469e-016
Leiotettix_viridis	0.00933505	0.0114214	1.0465	1.2158e-015
Dichromatos_lilloanus	0.00187532	1.00473	1.0465	3.27737e-015
Ommexecha_sp	0.0227628	0.0239509	1.0465	3.25273e-012
Ronderosia_sp	0.00290233	1.00409	1.0465	3.25273e-012
Dichroplus_conspersus	0.00138623	0.0015955	1.0465	1.86248e-012
Dichroplus_pratensis	0.00162114	2.01263	0.901899	1.49849e-012
Paulinia_acuminata	0.0104334	0.0126309	1.0451	1.49849e-012
Dichroplus_democraticus	0.00468709	0.00652289	1.04707	1.61556e-017
Dichroplus_silveiraguidoi	0.0013433	2.00147	0.0465005	1.61556e-017
Dichroplus_elongatus	0.00174332	0.00255649	1.0465	1.78265e-013
Dichroplus_paraelongatus	0.00262301	0.00343622	1.0465	1.78311e-013
Marellia_remipes	0.00262301	0.00343622	1.0465	1.78311e-013
Dichroplus_patruelis	0.00172895	1.00254	1.0465	1.78311e-013
Dichroplus_exilis	0.00173934	0.00243634	1.0465	1.55451e-012
Dichroplus_fuscus	0.00173934	0.00243634	1.0465	1.55451e-012
Dichroplus_schulzi	0.00174033	0.00243734	1.0465	1.55451e-012
Leiotettix_flavipes	0.00823583	1.00148	1.0465	1.61556e-017
Dichroplus_maculipennis	0.00542125	0.0064083	1.0465	1.08241e-005
Dichroplus_vittatus	0.00135	1.20836	1.0465	2.74157e-013
Ommatolampis_sp	0.00185839	0.00313125	1.0465	8.91814e-008
Pseudoscopas_nigrigena	0.00185839	0.00313125	1.0465	8.91814e-008
Dichromorpha_sp	0.00307714	0.00609341	1.0465	3.40314e-008
Hyalopteryx_rufipennis	0.00307714	0.00609341	1.0465	3.40314e-008
Leptysma_sp	0.00307714	0.0060934	1.0465	3.40314e-008
Schistocerca_cancellata	0.00221765	0.00371392	1.0465	3.5452e-008
Schistocerca_pallens	0.00221765	0.00371392	1.0465	3.5452e-008
Schistocerca_flavofasciata	0.00222017	0.00371643	1.0465	3.5452e-008
Diponthus_sp	0.00214979	0.0126041	1.0465	1.71475e-011
Xyleus_laevipes	0.00214979	1.00351	1.0465	1.71475e-011
Xyleus_insignis	0.00218291	0.00353434	1.0465	1.72019e-011
Prionolopha_serrata	0.00257899	0.00601118	1.0465	2.35991e-008
Xyleus_modestus	0.00390898	0.00903357	1.0465	1.93938e-011
Zoniopoda_hempeli	0.00400813	0.00840875	1.0465	1.50736e-011
Zoniopoda_omnicolor	0.00400813	0.00840875	1.0465	1.50736e-011
Zoniopoda_tarsata	0.00401504	0.00841544	1.0465	1.50699e-011
Trimerotropis_ochraceipennis	0.00580371	0.0179491	1.04652	3.06364e-009
Trimerotropis_pallidipennis	0.00580371	0.0179491	1.04652	3.06364e-009
