#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.103011
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N11: 0.730149
Chlorus_bolivianus: 0.993283
Dichroplus_pratensis: 1.02169
Dichroplus_silveiraguidoi: 1.99802
Dichroplus_patruelis: 0.99939
N24: 0.659344
Leiotettix_pulcher: 0.996046
Scotussa_daguerrei: 1.00178
Dichroplus_vittatus: 1.24665
Leiotettix_flavipes: 0.997208
Xyleus_laevipes: 0.998691
Total number of loss events: 12.6427
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N11: 0.713628
Chlorus_bolivianus: 0.713628
Dichroplus_conspersus: 0.977388
Dichroplus_pratensis: 0.977388
Dichroplus_democraticus: 1.0002
N17: 0.536131
N21: 0.997451
N24: 0.920704
N25: 0.835093
Leiotettix_viridis: 1
Dichroplus_maculipennis: 0.751595
Dichroplus_vittatus: 0.751595
Pseudoscopas_nigrigena: 0.780581
N31: 0.880962
N37: 0.550501
N41: 1.02139
N43: 1.01858
Total number of duplication events: 19.7611
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 4.13135e-010
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	1.05555e-005	6.56405e-006	0.00819983	5.94225e-022
N3	0.000307656	0.000311962	0.0212009	6.20666e-019
N4	2.38695e-006	4.66419e-006	0.00181838	1.12899e-020
N5	0.000134242	0.000135931	0.000418643	2.77978e-021
N6	2.8114e-007	9.01645e-008	2.2611e-006	1.44528e-026
N7	1.76698e-007	2.98115e-007	1.17893e-006	7.43729e-025
N8	1.77942e-008	1.83803e-006	9.2672e-008	4.5787e-028
N9	0	1.27266e-007	2.46158e-011	6.4619e-031
N10	3.64123e-007	0.269886	0.286372	2.47336e-018
N11	0.0703642	0.730149	0.713628	4.93945e-015
Atrachelacris_sp	8.02978e-007	0.000104554	0	0
Tropidostethus_sp	8.02978e-007	0.000104554	0	0
Chlorus_bolivianus	2.78585e-005	0.993283	0.713628	0
N12	1.84618e-006	5.6537e-009	9.37784e-011	4.26201e-027
N13	2.71403e-008	3.08019e-007	1.43438e-010	1.9826e-025
N14	4.35996e-007	0.000885876	0.0225915	1.30467e-016
Dichroplus_conspersus	0.000897492	1.845e-005	0.977388	0
Dichroplus_pratensis	2.48267e-008	1.02169	0.977388	0
N15	2.58277e-007	5.52191e-007	2.69591e-011	6.53649e-025
N16	5.2994e-007	0.00197929	7.47984e-011	4.79833e-026
Dichroplus_democraticus	0.00158599	0.000197496	1.0002	3.07476e-011
Dichroplus_silveiraguidoi	3.11299e-007	1.99802	3.68044e-007	0
N17	1.2838e-006	8.57394e-008	0.536131	3.9274e-013
N18	6.95649e-005	7.04147e-005	0.458684	6.58404e-014
N19	5.4089e-008	3.19667e-007	0.00465901	9.78435e-019
N20	4.67529e-009	4.68328e-008	0.00052588	3.64478e-024
