#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.184918
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.993448
Leiotettix_pulcher: 0.993711
Chlorus_bolivianus: 1.56953
Scotussa_daguerrei: 0.611747
N14: 0.8315
Dichroplus_pratensis: 1.56126
Dichroplus_silveiraguidoi: 1.99778
Dichroplus_patruelis: 0.996975
Leiotettix_flavipes: 1
Dichroplus_vittatus: 1.31977
Xyleus_laevipes: 0.9932
Total number of loss events: 13.3937
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.917357
Dichroplus_conspersus: 0.505663
Dichroplus_democraticus: 1.00025
N22: 0.550123
N27: 0.933835
Leiotettix_flavipes: 1
Dichroplus_maculipennis: 0.530223
Ommatolampis_sp: 0.530223
Dichroplus_vittatus: 0.698514
Pseudoscopas_nigrigena: 0.823703
N32: 0.820733
N35: 0.511263
N39: 0.895917
N41: 0.671407
N43: 1.06925
Total number of duplication events: 16.3917
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 3.90495e-008
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000500279	0.000644319	0.0731589	3.88219e-017
N3	3.55609e-006	6.4909e-006	0.00611938	5.88025e-020
N4	0.000303398	0.000305739	0.0011411	4.04782e-022
N5	1.30214e-007	7.85138e-007	9.18667e-006	2.54492e-024
N6	2.542e-007	1.27454e-007	9.34801e-007	4.15684e-028
N7	5.02947e-009	0.137123	0.917357	4.99295e-019
N8	0.000396996	0.00572895	0.0393327	4.33644e-017
N9	0.138359	0.000127576	0.0369227	7.20174e-009
N10	0.000438592	0.000228121	0.0044884	2.95038e-013
N11	0.000226659	0.0028759	0.00186739	2.42183e-014
Atrachelacris_sp	7.11179e-007	0.993448	2.99146e-005	0
Ommexecha_sp	0.00666029	0.000108442	2.99146e-005	0
N12	0.000213814	0.00260031	0.001849	4.63516e-014
Leiotettix_pulcher	6.92506e-007	0.993711	4.82987e-005	0
Scotussa_lemniscata	0.00639923	0.000110225	4.82987e-005	0
Scotussa_impudica	0.00417174	0.000661046	0.0063859	0
N13	3.65889e-008	0.245978	0.000246972	2.12177e-019
Chlorus_bolivianus	7.84589e-008	1.56953	0.043004	0
Scotussa_daguerrei	0.000394316	0.611747	0.043004	0
N14	1.84299e-005	0.8315	0.0823482	5.53598e-019
Dichromatos_lilloanus	0.000579343	0.0319744	0.000294221	0
N15	1.95161e-006	0.01748	0.00011207	5.02847e-019
Ronderosia_sp	0.000430144	0.0142753	0.000110255	0
Tropidostethus_sp	0.000430144	0.0142753	0.000110255	0
N16	2.40886e-007	3.54963e-008	4.8914e-008	1.46248e-025
N17	6.13457e-008	2.0083e-007	9.52848e-009	3.4984e-023
N18	2.32275e-007	1.92475e-006	4.30132e-010	1.05098e-026
N19	2.23269e-006	9.74372e-006	0.494337	5.06694e-015
Dichroplus_conspersus	7.2207e-005	0.000191956	0.505663	0
N20	5.54926e-005	0.00285413	0.069764	1.44928e-014
Dichroplus_pratensis	4.48785e-010	1.56126	0.435899	0
Paulinia_acuminata	0.00282843	6.48984e-005	0.435899	0
N21	8.31901e-007	0.00221538	5.55577e-010	5.33977e-024
Dichroplus_democraticus	0.00171279	0.000252936	1.00025	0
Dichroplus_silveiraguidoi	4.31295e-007	1.99778	6.52476e-007	0
N22	1.8546e-007	1.0078e-007	0.550123	1.98957e-016
N23	6.76394e-005	7.71988e-005	0.386539	3.5006e-014
Dichroplus_elongatus	0.000124327	0.000352643	0.0633373	0
N24	0.000110444	0.00270764	0.0629142	1.58782e-015
Dichroplus_paraelongatus	0.00270664	0.000105516	0.000423059	0
Dichroplus_patruelis	1.09266e-010	0.996975	0	0
N25	7.26011e-005	0.000217001	0.434727	4.55531e-015
N26	0.000107203	0.000109179	0.0146833	5.71977e-017
Dichroplus_exilis	0.000106073	0.000106222	0.000466319	0
Dichroplus_fuscus	0.000106073	0.000106222	0.000466319	0
Dichroplus_schulzi	0.000112549	0.000114591	0.0151496	0
N27	1.36235e-006	3.58194e-006	0.933835	7.85317e-014
Leiotettix_viridis	0.000110924	0.000115275	0.0661643	0
Marellia_remipes	0.000110924	0.000115275	0.0661643	0
Leiotettix_flavipes	2.44691e-007	1	1	0
N28	1.12891e-006	1.56492e-006	0.176307	4.35332e-017
N29	2.05216e-005	0.000355455	0.125189	2.90305e-014
N30	0.000293674	8.18224e-007	0.168259	4.03096e-012
Dichroplus_maculipennis	7.61812e-005	0.000203648	0.530223	0
Ommatolampis_sp	7.61812e-005	0.000203648	0.530223	0
Dichroplus_vittatus	2.08003e-007	1.31977	0.698514	0
Pseudoscopas_nigrigena	0.000732939	0.00097116	0.823703	5.80865e-014
N31	2.55142e-006	2.97564e-006	0.180054	2.36303e-014
N32	0.000878766	0.00374471	0.820733	2.0834e-012
N33	3.11131e-008	4.49407e-007	0.000338611	9.10585e-022
Diponthus_sp	0.000104865	0.000104892	2.44314e-005	0
Zoniopoda_tarsata	0.000104865	0.000104892	2.44314e-005	0
N34	2.93761e-008	4.44309e-007	0.00032153	2.84004e-021
