#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.18634
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999272
Leiotettix_pulcher: 0.997364
Scotussa_daguerrei: 0.998992
Dichromatos_lilloanus: 1.00234
Chlorus_bolivianus: 1.66551
Ronderosia_sp: 0.694134
Tropidostethus_sp: 0.95028
Leiotettix_flavipes: 0.998247
Dichroplus_pratensis: 1.11407
Dichroplus_patruelis: 0.996668
Dichroplus_silveiraguidoi: 2.01197
Xyleus_laevipes: 0.991891
Total number of loss events: 14.2166
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.632076
N5: 0.92896
Dichroplus_conspersus: 0.959009
Dichroplus_pratensis: 0.958948
N24: 0.862877
Dichroplus_democraticus: 1.00131
Ommatolampis_sp: 1.00001
N31: 0.859872
N37: 0.635784
N41: 0.815516
N43: 1.62604
Total number of duplication events: 12.0978
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 5.89508e-005
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N20:ML=12 to Dichroplus_vittatus:ML=10  ProbOfChange = 0.999848  sum expections= 0.0587073
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 2	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0132609	0.0464011	0.632076	9.66192e-013
N3	3.189e-005	8.16133e-005	0.0083836	2.67218e-017
N4	0.00142528	0.00150069	0.0162155	1.64275e-017
N5	1.94584e-007	4.00495e-006	0.92896	3.26199e-013
N6	9.82722e-005	0.000157492	0.0444261	1.56379e-017
N7	0.000154199	0.000105603	0.0139619	2.68241e-015
N8	0.000238681	0.000270197	0.00722262	9.32657e-015
N9	0.000231223	0.0022463	0.00249392	1.53095e-013
Atrachelacris_sp	0.00130065	0.999272	0.00305057	0
Leiotettix_viridis	0.00264364	0.00334392	0.00305057	1.62162e-012
Pseudoscopas_nigrigena	0.000606316	0.00546221	0.00554451	1.30829e-013
N10	0.000265686	0.00263304	0.0106845	8.47765e-015
N11	0.0023552	0.000319948	0.0018549	2.32881e-012
N12	0.000232625	0.00259041	0.000205042	1.09446e-012
Leiotettix_pulcher	6.33593e-007	0.997364	2.273e-005	0
Scotussa_lemniscata	0.00276077	0.000123987	2.273e-005	3.2006e-014
Scotussa_impudica	0.000699364	0.000976929	0.000227772	1.12521e-012
Scotussa_daguerrei	0.00133471	0.998992	0.00208267	0
Dichromatos_lilloanus	0.000102575	1.00234	0.026729	0
N13	2.14423e-006	4.70553e-005	0.0147395	2.5657e-017
N14	0.000206097	0.00679595	0.0249234	4.09752e-015
N15	1.32572e-006	0.299791	0.00064756	3.17829e-017
Chlorus_bolivianus	0.000758992	1.66551	0.0306844	0
Ronderosia_sp	0.000860594	0.694134	0.0306918	0
N16	0.0040891	0.000329461	0.0283126	8.54669e-013
N17	1.43131e-006	0.000187869	0.000268969	1.0859e-014
N18	0.000744392	0.0011917	0.00258094	6.7008e-014
Dichroplus_maculipennis	0.00399829	0.00157149	0.000329283	3.17085e-013
N19	0.000209377	0.0464556	0.000237808	3.88201e-014
N20	0.00188979	0.0115209	8.78825e-005	4.07599e-014
Dichroplus_vittatus	0	2	0	0
Ommexecha_sp	0.0587073	7.56347e-015	3.57156e-006	0
Tropidostethus_sp	1.31764e-005	0.95028	9.14749e-005	5.42428e-014
Leiotettix_flavipes	0.00129945	0.998247	0.00291022	0
Marellia_remipes	0.00341876	0.00340949	0.00317922	6.92991e-014
Paulinia_acuminata	0.00194106	0.0111901	0.0564153	5.05609e-015
N21	3.80272e-007	3.45707e-006	0.000102136	3.14976e-021
N22	2.67823e-007	1.41024e-006	0.0146376	5.04039e-019
N23	1.07613e-005	0.00174213	0.0264276	3.11836e-016
Dichroplus_conspersus	0.00201077	0.00273641	0.959009	4.20272e-009
Dichroplus_pratensis	4.08897e-006	1.11407	0.958948	0
N24	0.000564109	0.000578239	0.862877	6.20048e-012
N25	0.000114706	0.000158942	0.103724	1.32396e-011
Dichroplus_elongatus	0.000409259	0.000664167	0.0187747	1.75893e-013
N26	0.000231979	0.00356037	0.0182361	1.72717e-013
Dichroplus_paraelongatus	0.00355761	0.000225523	0.000538632	1.34938e-014
Dichroplus_patruelis	3.75613e-007	0.996668	0.000538634	0
N27	0.000372998	0.00113678	0.119474	1.3244e-011
N28	0.000218346	0.000227381	0.00298279	1.125e-014
Dichroplus_exilis	1.47213e-008	2.58942e-007	4.17271e-005	0
Dichroplus_fuscus	1.47213e-008	2.58942e-007	4.17271e-005	0
Dichroplus_schulzi	0.000227085	0.000236273	0.00302452	1.12529e-014
N29	2.72604e-006	1.20908e-005	7.55885e-007	3.37844e-025
N30	1.38653e-005	0.00606465	1.36551e-006	1.134e-021
Dichroplus_democraticus	0.00420571	0.00332699	1.00131	2.24646e-010
Dichroplus_silveiraguidoi	0.0181062	2.01197	1.91535e-005	0
Ommatolampis_sp	0.000381921	0.00186554	1.00001	3.37991e-013
N31	0.000794287	0.00223491	0.859872	8.76237e-009
N32	0.000594091	0.00153773	0.136327	6.80646e-010
N33	0.00023433	0.000287359	0.0143441	2.40068e-012
Dichromorpha_sp	0.000392223	0.000675837	0.00579534	1.28919e-013
Hyalopteryx_rufipennis	0.000392223	0.000675837	0.00579534	1.28919e-013
Leptysma_sp	0.000599339	0.00183583	0.0201395	2.37641e-012
N34	0.000550137	0.00149954	0.114755	6.74609e-010
N35	0.000605092	0.00193571	0.0417051	5.05303e-011
Schistocerca_cancellata	3.58337e-009	1.21007e-007	6.67897e-006	0
Schistocerca_pallens	3.58337e-009	1.21007e-007	6.67897e-006	0
Schistocerca_flavofasciata	0.000777207	0.00241191	0.0417118	5.05256e-011
N36	6.84425e-005	0.000105641	0.204652	2.68051e-010
N37	0.000675541	0.00214092	0.635784	6.17313e-009
N38	0.000211414	0.000372942	0.0956803	3.82317e-010
N39	0.000433603	0.000739047	0.0580962	6.38425e-012
Diponthus_sp	0.000629803	0.00229557	0.0305043	3.38486e-011
Prionolopha_serrata	0.000629803	0.00229557	0.0305043	3.38486e-011
N40	0.000621415	0.00994538	0.0812046	6.14737e-012
Xyleus_insignis	0.00842283	0.0015973	0.00739591	1.86334e-011
Xyleus_laevipes	2.62826e-006	0.991891	0.00739591	1.86334e-011
Xyleus_modestus	0.00224092	0.0123787	0.184281	3.66359e-010
N41	0.00553129	0.0204245	0.815516	1.0558e-008
N42	0.000107081	0.000162379	0.00426992	6.11666e-014
Zoniopoda_hempeli	0.00022196	0.000225162	0.000580695	5.65608e-017
Zoniopoda_omnicolor	0.00022196	0.000225162	0.000580695	5.65608e-017
Zoniopoda_tarsata	0.000235104	0.000293613	0.00485062	5.46693e-013
N43	0.0240168	0.192217	1.62604	5.89128e-005
Trimerotropis_ochraceipennis	0.00040657	0.00369	0.0379754	2.705e-009
Trimerotropis_pallidipennis	0.00040657	0.00369	0.0379754	2.705e-009
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.0167413	1.05004	1.65679	1.45755e-012
Leiotettix_viridis	0.0180843	0.0541109	1.65679	3.07917e-012
Pseudoscopas_nigrigena	0.0158158	0.0539829	1.65679	1.43529e-012
Leiotettix_pulcher	0.0178249	1.05116	1.65679	4.72688e-012
Scotussa_lemniscata	0.020585	0.0539179	1.65679	4.75889e-012
Scotussa_impudica	0.018291	0.0521804	1.65679	4.75764e-012
Scotussa_daguerrei	0.0165712	1.04988	1.65679	1.30361e-012
Dichromatos_lilloanus	0.0149191	1.05049	1.65679	1.29245e-012
Chlorus_bolivianus	0.0156868	2.02013	1.65663	1.29659e-012
Ronderosia_sp	0.0157884	1.04876	1.65664	1.29659e-012
Dichroplus_maculipennis	0.0237597	0.0581109	1.65679	2.54618e-012
Dichroplus_vittatus	0.0218606	2.11452	1.65679	2.30867e-012
Ommexecha_sp	0.0805679	0.114516	1.65679	2.30867e-012
Tropidostethus_sp	0.019984	1.05327	1.65679	2.32216e-012
Leiotettix_flavipes	0.0203165	1.05359	1.65679	2.16208e-012
Marellia_remipes	0.0224344	0.0585694	1.65679	2.22052e-012
Paulinia_acuminata	0.0166615	0.0592245	1.65679	1.29752e-012
Dichroplus_conspersus	0.0167403	0.0524668	1.65685	4.20369e-009
Dichroplus_pratensis	0.0147336	1.1638	1.65679	9.66547e-013
Dichroplus_elongatus	0.0158068	0.0493896	1.65679	2.05822e-011
Dichroplus_paraelongatus	0.0191871	0.0525113	1.65679	2.05925e-011
Dichroplus_patruelis	0.0156299	1.04895	1.65679	2.0579e-011
Dichroplus_exilis	0.0158742	0.0499309	1.65679	2.0422e-011
Dichroplus_fuscus	0.0158742	0.0499309	1.65679	2.0422e-011
Dichroplus_schulzi	0.0158829	0.0499395	1.65679	2.0422e-011
Dichroplus_democraticus	0.0189408	0.0573906	1.65809	2.25613e-010
Dichroplus_silveiraguidoi	0.0328413	2.06604	0.656798	9.66235e-013
Ommatolampis_sp	0.0151031	0.0498645	1.65679	1.30423e-012
Dichromorpha_sp	0.0153077	0.0512185	1.6568	9.44651e-009
Hyalopteryx_rufipennis	0.0153077	0.0512185	1.6568	9.44651e-009
Leptysma_sp	0.0152805	0.0520912	1.6568	9.44635e-009
Schistocerca_cancellata	0.0152423	0.052153	1.6568	9.48847e-009
Schistocerca_pallens	0.0152423	0.052153	1.6568	9.48847e-009
Schistocerca_flavofasciata	0.0154144	0.0526291	1.6568	9.48847e-009
Diponthus_sp	0.0152797	0.0520552	1.65679	6.86469e-009
Prionolopha_serrata	0.0152797	0.0520552	1.65679	6.86469e-009
Xyleus_insignis	0.0232606	0.0605633	1.65679	6.84924e-009
Xyleus_laevipes	0.0148404	1.05086	1.65679	6.84924e-009
Xyleus_modestus	0.0162458	0.0610264	1.65679	6.8085e-009
Zoniopoda_hempeli	0.0191897	0.0673187	1.65709	1.0827e-008
Zoniopoda_omnicolor	0.0191897	0.0673187	1.65709	1.0827e-008
Zoniopoda_tarsata	0.0190958	0.0672248	1.65709	1.08275e-008
Trimerotropis_ochraceipennis	0.0244234	0.195907	1.66402	5.89156e-005
Trimerotropis_pallidipennis	0.0244234	0.195907	1.66402	5.89156e-005
