#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.666854
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 1.00207
Chlorus_bolivianus: 1.55734
Ronderosia_sp: 0.56877
N12: 0.58108
Leiotettix_pulcher: 0.994395
Scotussa_daguerrei: 0.989017
Dichroplus_vittatus: 1.85307
Leiotettix_flavipes: 0.988091
Dichroplus_pratensis: 1.17918
Dichroplus_patruelis: 0.998062
Dichroplus_silveiraguidoi: 1.98164
Xyleus_laevipes: 1.00134
Total number of loss events: 14.7894
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.738137
N4: 0.77638
Dichroplus_conspersus: 0.867721
Dichroplus_pratensis: 0.867252
N24: 0.807019
Ommatolampis_sp: 0.815244
Dichroplus_democraticus: 1.00401
N28: 0.912512
N32: 0.542818
Hyalopteryx_rufipennis: 0.820935
Xyleus_modestus: 0.531293
N41: 0.788251
N43: 1.74828
Total number of duplication events: 15.0682
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.00118115
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0190039	0.0660805	0.738137	1.27872e-012
N3	0.000941038	0.00107475	0.0120783	6.24576e-018
N4	2.67636e-005	0.0001121	0.77638	1.96643e-013
N5	0.000193074	0.000206098	0.155754	1.69689e-014
N6	0.00140545	0.00406914	0.0645621	4.09217e-013
Atrachelacris_sp	0.00335709	1.00207	0.00372212	0
N7	0.00119787	1.53056e-005	0.00102325	3.66885e-013
Leiotettix_viridis	0.00100309	0.00178079	0.00269886	8.57482e-012
Pseudoscopas_nigrigena	0.00100309	0.00178079	0.00269886	8.57482e-012
N8	2.95136e-006	0.0008967	0.0287939	1.61887e-015
N9	0.000202705	0.405625	0.031033	1.71066e-015
N10	0.00069757	0.0280876	0.0025886	1.12666e-012
N11	0.0153304	0.0203231	0.0015922	1.03442e-010
Chlorus_bolivianus	9.02763e-006	1.55734	0.00427642	0
Ommexecha_sp	0.420005	0.0193518	0.00427644	0
Ronderosia_sp	0.00246237	0.56877	0.00586862	0
N12	0.00244678	0.58108	0.00844814	2.06082e-013
Dichromatos_lilloanus	0.000253955	0.0153808	9.09651e-006	0
Tropidostethus_sp	0.000253955	0.0153808	9.09651e-006	0
N13	0.00187415	0.00131269	0.0325591	5.50672e-012
N14	0.00062182	0.000849193	0.00588159	7.64126e-012
N15	0.000490211	0.00631073	0.0010317	8.08112e-015
Leiotettix_pulcher	1.3284e-009	0.994395	1.79049e-005	0
Scotussa_lemniscata	0.00582558	0.000220569	1.79048e-005	0
N16	0.000681805	0.000902333	0.00103072	5.12597e-014
Marellia_remipes	0.000214531	0.000217296	1.88851e-005	0
Scotussa_impudica	0.000214531	0.000217296	1.88851e-005	0
N17	0.00107594	0.0128828	0.00686861	9.26367e-012
Paulinia_acuminata	0.011207	0.000224096	6.25882e-005	0
Scotussa_daguerrei	6.05973e-009	0.989017	6.25891e-005	0
N18	0.000185494	0.0178637	0.0325691	1.11526e-014
N19	0.00362994	0.0390627	0.0952978	2.92884e-010
Dichroplus_maculipennis	0.0460419	0.000658367	0.0944278	0
Dichroplus_vittatus	1.14191e-006	1.85307	0.0961713	0
Leiotettix_flavipes	0.00393506	0.988091	0.191469	0
N20	0.000519646	0.000531721	0.000406813	6.78396e-022
N21	2.26057e-008	3.05977e-007	0.0048267	2.11676e-017
N22	0.000465867	0.0087385	0.127935	9.78362e-015
Dichroplus_conspersus	0.00709543	0.00553487	0.867721	1.6223e-007
Dichroplus_pratensis	1.17757e-005	1.17918	0.867252	0
N23	1.07942e-005	3.25955e-006	0.179939	6.77548e-014
N24	0.0010875	0.00233588	0.807019	1.03725e-010
Dichroplus_elongatus	0.000253542	0.000232634	0.00822512	0
N25	0.000211733	0.00212813	0.00813407	5.06251e-016
Dichroplus_paraelongatus	0.00193749	1.50418e-007	9.1043e-005	0
Dichroplus_patruelis	3.21866e-011	0.998062	9.1043e-005	0
Ommatolampis_sp	0.00272064	0.00481792	0.815244	2.81578e-011
N26	0.000123181	0.000151853	3.66267e-006	5.39273e-024
N27	0.000858665	0.0192705	2.6283e-006	1.59117e-021
Dichroplus_democraticus	0.0103602	0.00393741	1.00401	0
Dichroplus_silveiraguidoi	4.79917e-005	1.98164	3.87459e-005	0
N28	0.0010009	0.000997107	0.912512	6.91154e-009
N29	0.000574735	0.000834311	0.0873945	2.55918e-014
Dichroplus_exilis	1.33208e-008	1.94378e-007	0.000105706	0
Dichroplus_fuscus	1.33208e-008	1.94378e-007	0.000105706	0
Dichroplus_schulzi	0.000586339	0.000850518	0.0875003	0
N30	6.5614e-006	0.000118537	0.14865	6.78171e-012
N31	1.90656e-005	4.99594e-006	0.0435203	8.59711e-015
N32	0.00126873	0.00180884	0.542818	5.17445e-010
Dichromorpha_sp	0.00436323	0.0121538	0.277497	2.77622e-010
N33	0.000189439	0.000230335	0.0569296	1.12359e-010
Leptysma_sp	0.00354396	0.0101525	0.220567	1.23055e-010
N34	0.000700911	0.00149557	0.161671	1.9679e-010
N35	0.00114421	0.00275099	0.0588456	7.4692e-011
Schistocerca_cancellata	3.22494e-008	6.71712e-007	5.08671e-005	0
Schistocerca_pallens	3.22494e-008	6.71712e-007	5.08671e-005	0
Schistocerca_flavofasciata	0.00136707	0.00300288	0.0588964	7.43833e-011
Hyalopteryx_rufipennis	0.008654	0.0256078	0.820935	0.00014012
N36	2.7987e-005	2.00217e-005	0.0745048	2.37067e-014
N37	0.000369763	0.000421721	0.258035	2.12095e-011
N38	2.96125e-005	2.01196e-005	0.0422728	3.07083e-011
N39	0.00158977	0.00335873	0.450069	5.28928e-010
N40	0.000214111	0.0020803	0.0185818	2.97799e-012
Diponthus_sp	0.00331756	0.00300472	0.0203678	1.64708e-012
Xyleus_laevipes	0.00331074	1.00134	0.0203678	0
Xyleus_insignis	0.00146882	0.00390887	0.0389498	6.39048e-012
Prionolopha_serrata	0.00672894	0.0190502	0.489019	4.31785e-008
Xyleus_modestus	0.0068563	0.0192366	0.531293	2.96712e-008
N41	0.00645152	0.0175259	0.788251	5.26543e-008
Zoniopoda_hempeli	0.000229304	0.00047044	0.0016594	0
N42	4.96221e-007	9.51581e-006	0.000834945	2.99547e-016
Zoniopoda_omnicolor	0.00022674	0.00022974	0.000824457	0
Zoniopoda_tarsata	0.00022674	0.00022974	0.000824457	0
N43	0.0404274	0.255277	1.74828	0.00104073
Trimerotropis_ochraceipennis	0.000229563	0.000957985	0.00681324	0
Trimerotropis_pallidipennis	0.000229563	0.000957985	0.00681324	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.0249273	1.07361	1.75063	1.90155e-012
Leiotettix_viridis	0.0237711	0.0733387	1.75063	1.08433e-011
Pseudoscopas_nigrigena	0.0237711	0.0733387	1.75063	1.08433e-011
Chlorus_bolivianus	0.0364074	2.07975	1.75063	1.06065e-010
Ommexecha_sp	0.456403	0.541757	1.75063	1.06065e-010
Ronderosia_sp	0.0235303	1.07085	1.75063	2.62232e-012
Dichromatos_lilloanus	0.0230711	1.07046	1.75063	1.70175e-012
Tropidostethus_sp	0.0230711	1.07046	1.75063	1.70175e-012
Leiotettix_pulcher	0.0231539	1.07124	1.75063	1.465e-011
Scotussa_lemniscata	0.0289794	0.0770634	1.75063	1.465e-011
Marellia_remipes	0.02356	0.0716517	1.75063	1.46932e-011
Scotussa_impudica	0.02356	0.0716517	1.75063	1.46932e-011
Paulinia_acuminata	0.0343248	0.0827898	1.75063	1.62643e-011
Scotussa_daguerrei	0.0231178	1.07158	1.75063	1.62643e-011
Dichroplus_maculipennis	0.069829	0.124852	1.74889	2.94371e-010
Dichroplus_vittatus	0.0237882	1.97727	1.75063	2.94371e-010
Leiotettix_flavipes	0.0240922	1.07322	1.75063	1.48652e-012
Dichroplus_conspersus	0.0280259	0.0819607	1.7511	1.62231e-007
Dichroplus_pratensis	0.0209422	1.25561	1.75064	1.28853e-012
Dichroplus_elongatus	0.0218164	0.0702591	1.75063	1.05072e-010
Dichroplus_paraelongatus	0.0237121	0.0721547	1.75063	1.05072e-010
Dichroplus_patruelis	0.0217746	1.07022	1.75063	1.05072e-010
Ommatolampis_sp	0.023196	0.0725085	1.75063	2.95043e-011
Dichroplus_democraticus	0.0318066	0.0910468	1.75464	1.27873e-012
Dichroplus_silveiraguidoi	0.0214944	2.06875	0.750667	1.27873e-012
Dichroplus_exilis	0.0221634	0.0696705	1.75064	6.91284e-009
Dichroplus_fuscus	0.0221634	0.0696705	1.75064	6.91284e-009
Dichroplus_schulzi	0.022175	0.0696865	1.75064	6.91281e-009
Dichromorpha_sp	0.0246614	0.0801667	1.75062	8.03136e-010
Leptysma_sp	0.0240316	0.0783958	1.75062	7.60927e-010
Schistocerca_cancellata	0.0223328	0.0724904	1.75062	9.09355e-010
Schistocerca_pallens	0.0223328	0.0724904	1.75062	9.09355e-010
Schistocerca_flavofasciata	0.0225556	0.0727417	1.75062	9.09046e-010
Hyalopteryx_rufipennis	0.0276835	0.0918118	1.75124	0.00014012
Diponthus_sp	0.0245592	0.0751047	1.75062	5.93555e-010
Xyleus_laevipes	0.0245524	1.07344	1.75062	5.91908e-010
Xyleus_insignis	0.0224964	0.0739285	1.75062	5.9532e-010
