#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.196875
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999779
Leiotettix_pulcher: 0.996341
N15: 0.952658
Dichromatos_lilloanus: 0.999964
Chlorus_bolivianus: 1.88037
Leiotettix_flavipes: 0.999229
Dichroplus_vittatus: 1.80207
Ronderosia_sp: 0.859398
Dichroplus_pratensis: 1.10724
Dichroplus_silveiraguidoi: 1.99719
Dichroplus_patruelis: 0.995617
Xyleus_laevipes: 0.996778
Total number of loss events: 14.8909
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.81562
Dichroplus_conspersus: 0.933819
Dichroplus_pratensis: 0.933819
Dichroplus_democraticus: 1.00027
N27: 0.756209
N29: 0.824254
N36: 0.903464
N38: 0.648649
N43: 1.06903
Total number of duplication events: 11.723
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 7.63877e-009
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00180716	0.00225898	0.0962125	5.34205e-018
N3	3.08019e-007	1.61883e-006	0.000339941	6.31464e-023
N4	0.000869179	0.000868972	0.000998878	5.18141e-025
N5	1.99069e-007	1.08986e-006	1.2801e-005	2.61542e-025
N6	3.7643e-008	1.15648e-007	0.81562	1.46562e-021
N7	8.88977e-005	0.000123203	0.171306	5.15278e-019
N8	0.000134488	9.99125e-005	0.00501791	3.23294e-015
N9	0.000108193	0.000117026	0.00767481	8.64931e-019
N10	0.00012216	0.000117204	0.000347154	5.53766e-016
N11	0.000103738	0.000320838	2.70058e-005	8.11512e-019
Atrachelacris_sp	1.74708e-007	0.999779	6.89478e-006	0
N12	0.000253525	0.000111093	4.35453e-006	6.24377e-016
N13	0.000120458	0.00370096	2.52279e-006	5.2901e-016
Leiotettix_pulcher	8.60865e-011	0.996341	1.74624e-008	0
Scotussa_lemniscata	0.00376309	0.00010503	1.74624e-008	0
Scotussa_impudica	0.000204668	0.000126905	2.54025e-006	0
Ommexecha_sp	0.00014274	0.000138892	3.39035e-005	0
N14	1.72306e-007	0.00023323	4.92137e-005	2.6623e-020
Pseudoscopas_nigrigena	0.000531963	0.000954787	0.000331838	0
N15	5.90278e-006	0.952658	0.000330271	5.92691e-018
Scotussa_daguerrei	0.000599864	0.0477053	1.56781e-006	0
Tropidostethus_sp	0.000599864	0.0477053	1.56781e-006	0
N16	0.000138533	0.000129903	0.00567291	1.5651e-013
Ommatolampis_sp	0.000139235	0.000163429	0.00238296	0
Paulinia_acuminata	0.000139235	0.000163429	0.00238296	0
Dichromatos_lilloanus	4.08262e-008	0.999964	0.0130738	0
N17	1.06515e-007	0.000111667	0.00803391	2.39155e-020
N18	9.88851e-005	0.000875809	0.0516109	2.27158e-015
Chlorus_bolivianus	0.00119912	1.88037	0.124734	0
N19	0.000425446	9.68394e-005	0.0634531	2.97889e-012
N20	9.65057e-005	0.000315461	0.00748382	8.24768e-014
Leiotettix_flavipes	8.55866e-007	0.999229	0.0537859	0
Leiotettix_viridis	0.00101074	0.000995703	0.0537859	0
Marellia_remipes	0.000827543	0.00129964	0.0612706	2.28938e-013
N21	0.000124366	0.140761	0.117346	9.27424e-016
N22	0.00123607	0.0040791	0.00470988	1.00318e-013
Dichroplus_maculipennis	0.142015	0.000103744	0.0542888	0
Dichroplus_vittatus	3.40553e-008	1.80207	0.0542887	0
Ronderosia_sp	0.000207337	0.859398	0.0589986	0
N23	9.08403e-007	0.000314406	3.19946e-007	6.60341e-028
N24	9.47396e-006	0.00284571	0.0661819	9.79277e-016
Dichroplus_conspersus	0.00302619	9.06486e-005	0.933819	0
Dichroplus_pratensis	0.0110873	1.10724	0.933819	0
N25	6.46956e-006	0.00250664	4.38072e-008	1.24175e-022
Dichroplus_democraticus	0.00271936	0.000719092	1.00027	7.97446e-012
Dichroplus_silveiraguidoi	1.03653e-006	1.99719	6.0855e-006	0
N26	2.08036e-006	1.01062e-006	0.172193	1.67126e-015
N27	0.000125048	0.000263666	0.756209	1.29434e-012
Dichroplus_elongatus	0.000144901	0.000138439	0.0716114	0
N28	0.000113933	0.00418556	0.0713069	1.83938e-014
Dichroplus_paraelongatus	0.00418203	0.000104125	0.000304493	0
Dichroplus_patruelis	2.19073e-010	0.995617	0	0
N29	0.000165436	0.00119048	0.824254	2.71984e-012
N30	0.000104558	0.000106957	0.0035578	2.13416e-018
Dichroplus_exilis	0.000101061	0.000101068	7.88838e-006	0
Dichroplus_fuscus	0.000101061	0.000101068	7.88838e-006	0
Dichroplus_schulzi	0.000105884	0.000108287	0.00356569	0
N31	2.5331e-006	7.98854e-007	0.0939508	3.8766e-016
N32	0.000151154	0.000147294	0.445221	3.50507e-012
N33	0.000176484	0.000229817	0.312668	8.33175e-011
N34	0.000123366	0.00337656	0.143936	2.04317e-012
N35	0.00333579	0.000118467	0.00490723	2.1827e-011
Diponthus_sp	0.000116065	0.000112052	0.000329724	0
Xyleus_insignis	0.000116065	0.000112052	0.000329724	0
Xyleus_laevipes	2.0658e-006	0.996778	0.00523698	0
Prionolopha_serrata	0.000517924	0.00153125	0.149173	1.72791e-011
Xyleus_modestus	0.00193401	0.00516255	0.461841	3.86981e-010
N36	0.00208793	0.00366467	0.903464	1.98504e-011
Zoniopoda_hempeli	0.000109688	0.000116936	0.00359768	0
N37	0.000104227	0.00011133	0.00344923	3.13484e-016
Zoniopoda_omnicolor	0.000104717	0.000104883	0.000148445	0
Zoniopoda_tarsata	0.000104717	0.000104883	0.000148445	0
N38	0.000327516	0.000334817	0.648649	1.05806e-012
N39	0.000216629	0.000666761	0.338945	5.59458e-012
N40	6.8439e-007	2.0834e-006	0.00181688	1.61089e-015
Dichromorpha_sp	0.000131629	0.000135311	0.0119418	0
Hyalopteryx_rufipennis	0.000131629	0.000135311	0.0119418	0
Leptysma_sp	0.000132819	0.00013787	0.0137587	0
N41	0.00036054	0.00136515	0.338018	1.9981e-010
N42	0.000116847	0.000146566	0.0146587	1.57706e-015
Schistocerca_cancellata	0.00010167	0.000101748	2.67265e-005	0
Schistocerca_pallens	0.00010167	0.000101748	2.67265e-005	0
Schistocerca_flavofasciata	0.000118999	0.000148747	0.0146854	0
N43	0.00678512	0.0188645	1.06903	6.88194e-009
Trimerotropis_ochraceipennis	0.000125086	0.000313972	0.0291532	0
Trimerotropis_pallidipennis	0.000125086	0.000313972	0.0291532	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00323453	1.00369	1.09756	3.79424e-015
Leiotettix_pulcher	0.00360834	1.00406	1.09756	4.94762e-015
Scotussa_lemniscata	0.00737143	0.00782604	1.09756	4.94762e-015
Scotussa_impudica	0.00369255	0.00414696	1.09756	4.41862e-015
Ommexecha_sp	0.00327336	0.00372701	1.09756	3.79343e-015
Pseudoscopas_nigrigena	0.00354059	0.00465893	1.09756	3.23969e-015
Scotussa_daguerrei	0.0036144	1.00407	1.09756	3.24561e-015
Tropidostethus_sp	0.0036144	1.00407	1.09756	3.24561e-015
Ommatolampis_sp	0.00317803	0.00364722	1.09756	1.59749e-013
Paulinia_acuminata	0.00317803	0.00364722	1.09756	1.59749e-013
Dichromatos_lilloanus	0.00276582	1.00322	1.09756	5.85886e-018
Chlorus_bolivianus	0.00397499	1.88449	1.09756	2.27694e-015
Leiotettix_flavipes	0.00329868	1.00376	1.09755	3.06365e-012
Leiotettix_viridis	0.00430856	0.00552625	1.09755	3.06365e-012
Marellia_remipes	0.00402886	0.00551473	1.09755	3.21011e-012
Dichroplus_maculipennis	0.146052	0.148186	1.09756	1.01251e-013
Dichroplus_vittatus	0.00403746	1.95015	1.09756	1.01251e-013
Ronderosia_sp	0.00300869	1.0034	1.09756	9.32791e-016
Dichroplus_conspersus	0.00571341	0.00638142	1.09757	9.84619e-016
Dichroplus_pratensis	0.0137746	1.11353	1.09757	9.84619e-016
Dichroplus_democraticus	0.00540358	0.0066708	1.09784	7.97447e-012
Dichroplus_silveiraguidoi	0.00268526	2.00314	0.0975705	5.34224e-018
Dichroplus_elongatus	0.00294867	0.00353268	1.09756	1.29601e-012
Dichroplus_paraelongatus	0.00709973	0.00768393	1.09756	1.31441e-012
Dichroplus_patruelis	0.00291771	1.0032	1.09726	1.31441e-012
Dichroplus_exilis	0.00304978	0.00452909	1.09756	2.72152e-012
Dichroplus_fuscus	0.00304978	0.00452909	1.09756	2.72152e-012
Dichroplus_schulzi	0.00295004	0.00442935	1.09756	2.72151e-012
Diponthus_sp	0.00571285	0.00624559	1.09756	1.10693e-010
Xyleus_insignis	0.00571285	0.00624559	1.09756	1.10693e-010
Xyleus_laevipes	0.00226307	1.00279	1.09756	8.88661e-011
Prionolopha_serrata	0.00265556	0.00416975	1.09756	1.04102e-010
Xyleus_modestus	0.00389516	0.00757124	1.09756	3.90487e-010
Zoniopoda_hempeli	0.00400761	0.00604301	1.09756	1.98508e-011
Zoniopoda_omnicolor	0.00410687	0.00614228	1.09756	1.98511e-011
Zoniopoda_tarsata	0.00410687	0.00614228	1.09756	1.98511e-011
Dichromorpha_sp	0.00248361	0.00339795	1.09757	6.65426e-012
Hyalopteryx_rufipennis	0.00248361	0.00339795	1.09757	6.65426e-012
Leptysma_sp	0.00248412	0.00339843	1.09757	6.65265e-012
Schistocerca_cancellata	0.00271373	0.00420725	1.09757	2.00869e-010
Schistocerca_pallens	0.00271373	0.00420725	1.09757	2.00869e-010
Schistocerca_flavofasciata	0.00261421	0.00410769	1.09757	2.00868e-010
Trimerotropis_ochraceipennis	0.0069102	0.0191785	1.09819	6.88194e-009
Trimerotropis_pallidipennis	0.0069102	0.0191785	1.09819	6.88194e-009
