#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.385984
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 1.00139
Chlorus_bolivianus: 1.2595
Dichromatos_lilloanus: 0.588628
Leiotettix_pulcher: 0.990063
Scotussa_daguerrei: 1.00048
Dichroplus_vittatus: 1.58198
Ronderosia_sp: 0.70512
Leiotettix_flavipes: 0.721073
Dichroplus_silveiraguidoi: 1.9976
Tropidostethus_sp: 0.999995
Dichroplus_patruelis: 0.997505
Xyleus_laevipes: 1.00228
Total number of loss events: 14.1664
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.578948
N5: 0.539005
Dichroplus_conspersus: 1
Dichroplus_democraticus: 1.00001
Ommexecha_sp: 1.00028
Tropidostethus_sp: 1
Paulinia_acuminata: 1
N25: 0.666009
N26: 0.898033
N31: 0.784674
Prionolopha_serrata: 0.667581
Xyleus_modestus: 0.741431
N41: 0.959479
N43: 1.5535
Total number of duplication events: 18.4861
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000262976
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00498278	0.0113785	0.578948	2.24046e-014
N3	8.47254e-009	6.79069e-007	0.000509546	8.06689e-021
N4	0.000387725	0.000392636	0.0192398	1.79616e-019
N5	3.63846e-008	3.17585e-007	0.539005	7.7642e-017
N6	1.2123e-006	2.68125e-006	0.0637184	1.99895e-021
N7	2.14725e-005	0.000152741	0.181435	9.35952e-013
N8	1.01923e-005	0.00133801	0.0477134	1.03583e-012
Atrachelacris_sp	4.18927e-006	1.00139	0.168147	0
Marellia_remipes	0.0025227	0.00475544	0.168147	4.17671e-012
N9	0.000579534	0.00134116	0.161785	7.62199e-010
Leiotettix_viridis	0.000487919	0.00147291	0.0540759	0
Pseudoscopas_nigrigena	0.000487919	0.00147291	0.0540759	0
N10	1.49482e-007	0.00162054	0.0238176	1.10105e-021
N11	3.2575e-006	0.414488	0.0328046	2.11513e-014
Chlorus_bolivianus	2.32552e-005	1.2595	0.340642	0
Dichromatos_lilloanus	0.0142612	0.588628	0.340642	0
N12	0.000241422	0.000915603	0.229284	1.46685e-011
N13	0.00143602	0.000275403	0.0453783	2.92874e-009
N14	0.000945488	0.0111711	0.0985026	8.49995e-011
Leiotettix_pulcher	1.05888e-006	0.990063	0.000280586	0
Scotussa_lemniscata	0.00993563	0.000212997	0.000280586	0
Scotussa_impudica	0.00165781	0.00228746	0.0987832	1.39966e-010
Scotussa_daguerrei	5.98787e-006	1.00048	0.144162	0
