#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.295525
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.99506
Dichromatos_lilloanus: 0.99476
Leiotettix_pulcher: 0.992614
Scotussa_daguerrei: 0.994544
Chlorus_bolivianus: 1.75666
Dichroplus_vittatus: 1.84763
Leiotettix_flavipes: 0.85913
Tropidostethus_sp: 0.918322
Ronderosia_sp: 0.92162
Dichroplus_silveiraguidoi: 1.98772
Dichroplus_pratensis: 1.0552
Dichroplus_patruelis: 0.997502
Xyleus_laevipes: 0.992608
Total number of loss events: 15.6532
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N8: 0.725873
Dichroplus_conspersus: 1.00037
Dichroplus_democraticus: 1.00268
Dichroplus_pratensis: 1
Paulinia_acuminata: 1.00036
N26: 0.710297
N36: 0.533848
N39: 0.8862
N41: 0.857921
N43: 1.24707
Total number of duplication events: 13.1323
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 3.03539e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00429749	0.00675941	0.260498	3.70823e-016
N3	4.76217e-006	3.97787e-005	0.00815146	2.13376e-019
N4	1.20387e-006	3.14144e-006	0.00127517	2.91243e-022
N5	0.00027552	0.000276393	0.000951989	1.78645e-023
N6	2.44952e-007	8.85422e-007	8.08429e-006	3.29536e-025
N7	1.43057e-007	4.95778e-007	2.87144e-006	8.03417e-028
N8	6.50745e-007	0.00523956	0.725873	1.19292e-015
N9	2.8111e-005	0.000992315	0.0243446	2.72242e-015
N10	0.00136789	0.000131051	0.245097	7.34206e-014
N11	0.000322438	0.000287251	0.00321582	2.64365e-016
Atrachelacris_sp	2.13757e-005	0.99506	0.00145384	7.95726e-014
N12	0.00478336	1.24313e-005	0.000664511	8.17196e-013
Leiotettix_viridis	0.0010086	0.00149587	0.000789328	2.2758e-011
Pseudoscopas_nigrigena	0.0010086	0.00149587	0.000789328	2.2758e-011
N13	6.89393e-008	0.00026949	0.000793291	2.7055e-018
Dichromatos_lilloanus	7.30556e-005	0.99476	0.00387626	2.46236e-017
N14	0.000256928	0.000470539	0.00290277	1.85163e-016
N15	0.00432645	1.84299e-005	0.000628237	2.51223e-013
N16	0.000463658	0.00699963	0.000344822	3.57063e-012
Leiotettix_pulcher	9.08822e-011	0.992614	0	0
Scotussa_lemniscata	0.00738574	2.56038e-007	4.27e-007	0
N17	0.00121137	0.000523726	0.000332576	1.06418e-013
Marellia_remipes	1.40366e-006	4.28664e-006	1.26728e-005	0
Scotussa_impudica	1.40366e-006	4.28664e-006	1.26728e-005	0
Scotussa_daguerrei	1.81175e-005	0.994544	0.000973486	7.86446e-014
Chlorus_bolivianus	7.1339e-008	1.75666	0.249767	0
N18	6.79908e-006	0.0733064	0.245306	1.19301e-014
N19	0.000195982	0.00241366	0.0134013	1.303e-014
N20	6.2165e-005	0.0602852	0.00666182	6.5612e-016
N21	0.00146442	0.00509912	0.000863903	1.59482e-014
Dichroplus_maculipennis	0.135379	0.017251	0.00787639	0
Dichroplus_vittatus	3.36031e-007	1.84763	0.00787638	0
Leiotettix_flavipes	0.00013179	0.85913	0.00874029	2.16496e-012
N22	0.00308454	0.00463762	0.0136752	7.48408e-014
Ommexecha_sp	0.0759726	0.0124503	0.00172691	1.84313e-011
Tropidostethus_sp	2.17703e-005	0.918322	0.00172691	1.84313e-011
Ronderosia_sp	0.000619624	0.92162	0.0288215	1.60758e-014
N23	3.6369e-007	0.000366861	7.47013e-007	2.38498e-026
Dichroplus_conspersus	0.000716417	0.00295971	1.00037	4.67887e-011
N24	0	0.00023769	1.21305e-009	8.89003e-027
N25	0.000293942	0.0120427	1.59576e-007	2.79338e-020
Dichroplus_democraticus	0.00742961	0.00404142	1.00268	4.59752e-011
Dichroplus_silveiraguidoi	2.07966e-005	1.98772	2.45897e-005	0
Dichroplus_pratensis	0.00507556	1.0552	1	0
Paulinia_acuminata	0.00141294	0.00459225	1.00036	3.55045e-017
N26	5.00958e-005	0.000937763	0.710297	2.43696e-013
N27	0.000772865	0.00222754	0.286981	2.02111e-011
N28	2.24552e-007	2.02546e-006	0.00106728	1.28867e-017
Dichroplus_elongatus	8.22312e-007	8.082e-007	0.00166776	0
N29	1.52664e-007	0.00249797	0.00165252	2.63806e-020
Dichroplus_paraelongatus	0.00249814	1.93082e-007	1.52419e-005	0
Dichroplus_patruelis	4.32122e-011	0.997502	1.52419e-005	0
Ommatolampis_sp	1.41772e-007	1.7293e-006	0.00273504	0
N30	0.000320497	0.000817541	0.254365	2.39348e-011
N31	0.000123495	0.000394886	0.0353091	9.10815e-016
Dichroplus_exilis	6.94374e-009	1.27827e-007	4.19657e-005	0
Dichroplus_fuscus	6.94374e-009	1.27827e-007	4.19657e-005	0
Dichroplus_schulzi	0.00024989	0.000525637	0.0353511	0
N32	6.68998e-006	1.99523e-006	0.298014	7.16664e-016
N33	0.000628211	0.00155421	0.445711	1.30976e-011
Diponthus_sp	0.00208069	0.00586191	0.25724	4.20083e-010
N34	0.000951017	0.00260762	0.247376	4.31548e-010
Zoniopoda_hempeli	7.05729e-007	2.09678e-005	0.00986351	1.22204e-013
N35	1.4399e-006	2.07658e-005	0.00937731	4.64862e-015
Zoniopoda_omnicolor	7.28598e-008	1.19681e-006	0.000486202	0
Zoniopoda_tarsata	7.28598e-008	1.19681e-006	0.000486202	0
N36	0.000323356	0.00117778	0.533848	5.01688e-012
N37	3.79786e-005	2.99103e-005	0.0507195	4.88427e-012
Prionolopha_serrata	0.00191935	0.0054296	0.118382	8.69038e-012
Xyleus_modestus	0.00191935	0.0054296	0.118382	8.69038e-012
N38	0.000831973	0.00951412	0.154746	4.37806e-012
Xyleus_insignis	0.00713727	0.0020971	0.0143556	1.13797e-011
Xyleus_laevipes	4.57904e-006	0.992608	0.0143556	1.13797e-011
N39	0.00163329	0.00452798	0.8862	2.70964e-009
N40	0.00063314	0.0011476	0.115803	2.80297e-010
Schistocerca_cancellata	6.07229e-008	1.47831e-006	0.0005515	0
Schistocerca_pallens	6.07229e-008	1.47831e-006	0.0005515	0
Schistocerca_flavofasciata	0.000851215	0.00255633	0.116355	2.79835e-010
N41	0.000680715	0.00290665	0.857921	2.873e-009
N42	2.31663e-005	8.26611e-005	0.0780094	4.48529e-011
Dichromorpha_sp	0.00103624	0.00272429	0.0747705	3.78383e-012
Hyalopteryx_rufipennis	0.00103624	0.00272429	0.0747705	3.78383e-012
Leptysma_sp	0.00185685	0.00532471	0.15278	9.47231e-011
N43	0.00891247	0.0504113	1.24707	3.02795e-006
Trimerotropis_ochraceipennis	0.000127779	0.000764445	0.0258742	0
Trimerotropis_pallidipennis	0.000127779	0.000764445	0.0258742	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00631984	1.00879	1.27087	1.57544e-013
Leiotettix_viridis	0.0120904	0.0152386	1.27087	2.36531e-011
Pseudoscopas_nigrigena	0.0120904	0.0152386	1.27087	2.36531e-011
Dichromatos_lilloanus	0.00604915	1.00847	1.27087	7.77343e-014
Leiotettix_pulcher	0.0110231	1.01381	1.27087	3.89975e-012
Scotussa_lemniscata	0.0184089	0.0212014	1.27087	3.89975e-012
Marellia_remipes	0.0117722	0.0147295	1.27087	4.35535e-013
Scotussa_impudica	0.0117722	0.0147295	1.27087	4.35535e-013
Scotussa_daguerrei	0.00625114	1.00873	1.27087	1.56539e-013
Chlorus_bolivianus	0.0046082	1.76997	1.27087	4.28638e-015
Dichroplus_maculipennis	0.141688	0.170675	1.27087	4.31284e-014
Dichroplus_vittatus	0.00630971	2.00105	1.27087	4.31284e-014
Leiotettix_flavipes	0.00497675	1.00745	1.27087	2.19214e-012
Ommexecha_sp	0.08384	0.105128	1.27087	1.85326e-011
Tropidostethus_sp	0.00788911	1.011	1.27087	1.85326e-011
Ronderosia_sp	0.00520644	1.00725	1.27089	2.95699e-014
Dichroplus_conspersus	0.00529615	0.0104067	1.27126	4.67891e-011
Dichroplus_democraticus	0.0123033	0.0237687	1.27357	4.59756e-011
Dichroplus_silveiraguidoi	0.00489447	2.00744	0.270913	3.71065e-016
Dichroplus_pratensis	0.00965529	1.06289	1.27089	3.71037e-016
Paulinia_acuminata	0.00599216	0.0116719	1.27124	4.06541e-016
Dichroplus_elongatus	0.00540299	0.0102469	1.27089	2.04552e-011
Dichroplus_paraelongatus	0.00790046	0.0127442	1.27089	2.04552e-011
Dichroplus_patruelis	0.00540232	1.01025	1.27089	2.04552e-011
Ommatolampis_sp	0.00540208	0.0102458	1.27089	2.04552e-011
Dichroplus_exilis	0.00507307	0.00922904	1.27089	2.41798e-011
Dichroplus_fuscus	0.00507307	0.00922904	1.27089	2.41798e-011
Dichroplus_schulzi	0.00519946	0.00935966	1.27089	2.41789e-011
Diponthus_sp	0.00701905	0.0142204	1.27089	4.33182e-010
Zoniopoda_hempeli	0.00589008	0.0109871	1.27089	4.44769e-010
Zoniopoda_omnicolor	0.00589089	0.0109881	1.27089	4.44651e-010
Zoniopoda_tarsata	0.00589089	0.0109881	1.27089	4.44651e-010
Prionolopha_serrata	0.00659083	0.0134416	1.27089	1.85926e-011
Xyleus_modestus	0.00659083	0.0134416	1.27089	1.85926e-011
Xyleus_insignis	0.0126027	0.0195933	1.27089	2.07757e-011
Xyleus_laevipes	0.00547006	1.0101	1.27089	2.07757e-011
Schistocerca_cancellata	0.00656874	0.0124762	1.2712	2.98994e-009
Schistocerca_pallens	0.00656874	0.0124762	1.2712	2.98994e-009
Schistocerca_flavofasciata	0.00678676	0.0138835	1.2712	2.98948e-009
Dichromorpha_sp	0.00603761	0.012473	1.2712	2.92164e-009
Hyalopteryx_rufipennis	0.00603761	0.012473	1.2712	2.92164e-009
Leptysma_sp	0.00683506	0.0149908	1.2712	2.96773e-009
Trimerotropis_ochraceipennis	0.00904024	0.0511758	1.27295	3.02795e-006
Trimerotropis_pallidipennis	0.00904024	0.0511758	1.27295	3.02795e-006
