#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.033627
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999298
Tropidostethus_sp: 0.999982
Ronderosia_sp: 0.999938
Leiotettix_pulcher: 0.997271
Scotussa_daguerrei: 0.997166
N19: 0.912504
Chlorus_bolivianus: 1.08503
Dichroplus_silveiraguidoi: 1.99343
Dichroplus_pratensis: 0.999698
Dichroplus_patruelis: 0.998971
Dichroplus_vittatus: 1.31963
Leiotettix_flavipes: 0.994691
Xyleus_laevipes: 0.998408
Total number of loss events: 14.432
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.996299
Dichroplus_conspersus: 1
Dichroplus_democraticus: 1
Ommatolampis_sp: 0.994819
Dichroplus_pratensis: 0.999999
N24: 0.667424
Dichroplus_maculipennis: 0.670142
Dichroplus_vittatus: 0.670141
Leiotettix_flavipes: 0.767173
N31: 0.659823
N41: 0.590817
N43: 1.0372
Total number of duplication events: 13.3543
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 7.0186e-008
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000764126	0.000836232	0.0396562	2.50051e-018
N3	8.85325e-007	2.466e-006	0.000924059	1.23405e-021
N4	2.76723e-007	8.67239e-007	9.13791e-005	3.76079e-024
N5	2.83606e-007	2.19793e-007	2.95244e-006	6.5311e-025
N6	1.95206e-007	5.16586e-007	6.55459e-007	7.87434e-025
N7	5.3383e-009	9.41765e-007	0.996299	5.01297e-019
N8	7.04321e-007	2.50002e-008	0.00248727	1.43893e-019
N9	7.28318e-008	6.19508e-005	0.00112399	2.07885e-021
N10	4.82493e-005	4.86244e-007	8.11284e-005	1.86659e-020
N11	9.22903e-015	4.10101e-006	1.19517e-006	1.37472e-021
N12	1.02841e-005	2.84411e-006	4.55141e-006	1.56824e-021
N13	5.02046e-007	0.000691997	1.26619e-006	3.51409e-018
Atrachelacris_sp	8.95475e-008	0.999298	7.22271e-007	0
Ommexecha_sp	0.000957508	0.000255869	7.22272e-007	0
Leiotettix_viridis	0.000276862	0.000266274	1.98846e-006	1.46129e-017
Tropidostethus_sp	7.53465e-009	0.999982	6.53988e-006	0
Pseudoscopas_nigrigena	0.000288913	0.000277351	7.73506e-006	1.25467e-020
Ronderosia_sp	2.62288e-008	0.999938	8.88634e-005	0
N14	3.31311e-007	1.69757e-006	0.00109126	3.21475e-021
N15	1.12544e-006	3.09024e-006	5.67058e-005	1.63453e-018
N16	3.26783e-007	0.00272634	6.35954e-005	9.04421e-019
