#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.0736711
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N11: 0.704257
N12: 0.919445
Chlorus_bolivianus: 1.03953
Dichromatos_lilloanus: 0.990637
Dichroplus_pratensis: 1.40819
Dichroplus_patruelis: 0.998597
Dichroplus_silveiraguidoi: 1.99746
Leiotettix_pulcher: 0.999789
Scotussa_daguerrei: 0.995689
Dichroplus_vittatus: 1.15905
Leiotettix_flavipes: 0.995086
Xyleus_laevipes: 0.999233
Total number of loss events: 13.8658
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N8: 0.947767
Dichroplus_conspersus: 0.609255
Dichroplus_pratensis: 0.609255
N18: 0.519768
Dichroplus_democraticus: 1.00031
N23: 0.624308
Pseudoscopas_nigrigena: 1.00036
Dichroplus_maculipennis: 0.862402
Dichroplus_vittatus: 0.862401
N30: 0.950329
N32: 0.707609
N34: 0.660413
N38: 0.542516
Xyleus_modestus: 0.590412
N41: 0.839612
N43: 0.99333
Total number of duplication events: 15.6816
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.45576e-008
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0004534	0.000524838	0.0345048	5.55705e-020
N3	1.80917e-006	1.84923e-006	0.00125971	1.51584e-022
N4	0.000400437	0.000401549	0.000384311	4.66328e-022
N5	4.52341e-007	5.1656e-007	8.91019e-006	3.10741e-024
N6	7.28909e-008	4.01284e-007	1.76481e-006	1.85803e-025
N7	9.8798e-009	3.56747e-008	5.18356e-008	1.93416e-029
N8	4.33314e-010	0.00769761	0.947767	7.14267e-022
N9	1.92622e-009	0.0216092	0.0206367	1.69431e-021
N10	5.39189e-005	0.00633991	0.0262625	1.01343e-015
N11	2.51378e-007	0.704257	0.00418153	4.77245e-017
Atrachelacris_sp	0.000317035	0.260222	0.000908012	5.18202e-015
Ronderosia_sp	0.000317035	0.260222	0.000908012	5.18202e-015
Leiotettix_viridis	0.0346017	0.00363364	0.00508956	4.05825e-014
N12	1.16148e-005	0.919445	0.0212768	3.3218e-016
Chlorus_bolivianus	1.29017e-006	1.03953	0.0100753	0
Tropidostethus_sp	0.00448594	0.0527634	0.0100753	0
N13	0.000124978	0.00181886	0.0347923	7.9166e-012
Dichromatos_lilloanus	4.20387e-006	0.990637	0.0174409	8.64957e-013
Ommexecha_sp	0.00924728	0.00110222	0.0174409	8.64957e-013
N14	8.3251e-008	6.5016e-007	7.87457e-010	4.74395e-031
N15	6.44728e-007	3.18242e-007	0.385145	4.99429e-018
N16	2.77811e-007	0.000462219	0.00559806	2.93701e-021
Dichroplus_conspersus	0.000567966	0.000809425	0.609255	8.54773e-012
Dichroplus_pratensis	2.08291e-009	1.40819	0.609255	0
N17	3.52472e-007	2.10294e-008	0.0806311	6.84191e-017
N18	6.57426e-006	1.28795e-005	0.519768	2.94581e-015
Dichroplus_elongatus	5.60685e-006	2.31146e-006	0.0144549	0
N19	8.68847e-008	0.00139883	0.0144264	1.90514e-018
Dichroplus_paraelongatus	0.00140309	9.62878e-009	2.85037e-005	0
Dichroplus_patruelis	1.57657e-012	0.998597	2.85037e-005	0
N20	1.69316e-005	1.76493e-005	0.492992	5.18969e-016
N21	1.72403e-007	2.82626e-006	0.0410672	3.46428e-017
Dichroplus_exilis	3.50871e-009	5.47275e-008	0.000164125	0
Dichroplus_fuscus	3.50871e-009	5.47275e-008	0.000164125	0
Dichroplus_schulzi	1.42595e-007	2.80144e-006	0.0412313	0
N22	1.07751e-006	0.00193381	2.90425e-010	6.30954e-024
Dichroplus_democraticus	0.00193406	0.000305632	1.00031	1.33559e-011
Dichroplus_silveiraguidoi	6.62908e-007	1.99746	9.32801e-007	0
N23	1.29226e-007	6.85188e-007	0.624308	5.17468e-020
N24	2.41546e-006	1.19854e-006	0.238202	3.15812e-015
