#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.169994
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999693
Dichromatos_lilloanus: 0.970299
Ronderosia_sp: 0.969799
Dichroplus_vittatus: 1.97112
N18: 0.958893
Leiotettix_pulcher: 0.996948
Scotussa_daguerrei: 0.997502
Dichroplus_pratensis: 1.05438
Dichroplus_silveiraguidoi: 1.98548
Dichroplus_patruelis: 0.997901
Xyleus_laevipes: 0.988212
Total number of loss events: 13.3909
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.963576
Dichroplus_conspersus: 0.976263
Dichroplus_pratensis: 0.976168
Dichroplus_democraticus: 1.00291
N26: 0.765422
N29: 0.755061
N35: 0.571796
N36: 0.816369
N39: 0.919887
N41: 0.84498
N43: 1.494
Total number of duplication events: 13.1368
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000118528
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N12:ML=12 to Chlorus_bolivianus:ML=10  ProbOfChange = 0.999863  sum expections= 0.033573
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 2	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00589549	0.0196963	0.471565	4.59684e-012
N3	0.000347841	0.000435578	0.0152904	6.71006e-019
N4	0.00117702	0.0012057	0.00748727	9.82678e-017
N5	4.98987e-007	2.52996e-006	5.85447e-005	1.98378e-023
N6	8.14657e-006	8.76142e-006	0.963576	3.53882e-018
N7	1.37775e-008	3.99083e-007	0.0110614	8.21014e-020
N8	7.13829e-006	0.000320192	0.0148145	7.80149e-020
Atrachelacris_sp	0.0001367	0.999693	0.0105637	0
N9	0.000299856	2.1935e-005	0.00245764	1.59992e-012
Leiotettix_viridis	0.00233104	0.00447118	0.00810602	1.19919e-009
Pseudoscopas_nigrigena	0.00233104	0.00447118	0.00810602	1.19919e-009
N10	3.47577e-007	3.10608e-005	0.00272781	5.95065e-022
N11	0.000248065	0.011104	0.0190601	5.63417e-016
N12	0.00270763	0.0274949	0.00341433	9.99048e-011
Chlorus_bolivianus	0	2	0	0
Paulinia_acuminata	0	1.03843e-014	0.000173836	0
N13	1.77842e-005	0.0188673	0.00295987	6.57105e-015
Dichromatos_lilloanus	2.30526e-005	0.970299	0.000630419	1.86638e-015
N14	0.000175954	0.000676802	0.000184761	2.97332e-016
Marellia_remipes	0.029591	0.00463986	0.000445593	1.33298e-012
Ronderosia_sp	2.29152e-005	0.969799	0.000445593	1.77731e-012
N15	0.000125676	0.00128181	0.00494833	4.09298e-017
N16	0.000436659	0.0139276	0.00327851	1.5888e-013
Dichroplus_maculipennis	0.0142296	0.00173817	0.0144236	3.55971e-008
Dichroplus_vittatus	1.73647e-007	1.97112	0.0144236	0
N17	0.00047335	0.0152903	0.0169277	1.61011e-011
N18	7.77504e-006	0.958893	0.000773528	1.26232e-016
Leiotettix_flavipes	0.000111187	0.0252769	8.8333e-007	0
Tropidostethus_sp	0.000111187	0.0252769	8.8333e-007	0
Ommexecha_sp	0.0160922	0.000942481	0.000774434	0
N19	0.000259767	0.00278254	0.0296564	3.81487e-016
N20	0.00257698	0.000449788	0.00600433	4.03346e-011
N21	0.000122696	0.0028269	0.000697614	8.11977e-014
Leiotettix_pulcher	7.37837e-007	0.996948	8.13392e-005	0
Scotussa_lemniscata	0.00329677	0.000244094	8.13392e-005	0
Scotussa_impudica	0.00063147	0.000315754	0.000778954	0
Scotussa_daguerrei	6.54648e-005	0.997502	0.00678329	0
