#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 1.02551
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.99263
Dichromatos_lilloanus: 0.996021
Leiotettix_pulcher: 0.990084
Scotussa_daguerrei: 0.994931
Chlorus_bolivianus: 1.59724
Tropidostethus_sp: 0.603053
Dichroplus_vittatus: 1.59912
Leiotettix_flavipes: 0.605971
Ronderosia_sp: 0.698658
Dichroplus_patruelis: 0.997009
Dichroplus_silveiraguidoi: 1.97593
Xyleus_laevipes: 0.996815
Total number of loss events: 14.1396
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.598688
Dichroplus_democraticus: 1.00473
N26: 0.981856
Dichroplus_conspersus: 0.604169
N30: 0.676813
Ommatolampis_sp: 1.01269
N43: 1.40261
Total number of duplication events: 10.0152
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000386759
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N29:ML=12 to Dichroplus_pratensis:ML=10  ProbOfChange = 0.998426  sum expections= 0.288553
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 2	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0131898	0.0301297	0.406872	4.40345e-013
N3	1.08372e-005	8.65135e-005	0.00422942	1.27269e-017
N4	0.000991941	0.00104302	0.00735355	4.9742e-018
N5	7.28753e-007	3.42916e-006	7.88956e-005	4.25e-023
N6	5.80632e-005	0.000117996	0.598688	2.82911e-016
N7	0.000209745	0.00797649	0.395852	8.18237e-014
N8	0.000622713	0.000111154	0.0049918	7.19616e-020
N9	0.000781288	0.00238356	0.000402358	9.71657e-016
Atrachelacris_sp	0.00116605	0.99263	0.000251417	0
N10	0.00940375	0.00164906	0.000195039	3.50632e-009
Leiotettix_viridis	0.00165874	0.00226283	5.63793e-005	1.65903e-010
Pseudoscopas_nigrigena	0.00165874	0.00226283	5.63793e-005	1.65903e-010
N11	1.69751e-006	6.73167e-005	2.82887e-005	3.07392e-019
Dichromatos_lilloanus	0.00326066	0.996021	0.000625485	0
N12	0.000306609	0.000347415	0.000225907	5.95594e-018
N13	0.00541787	0.000652412	0.00014242	2.42016e-011
N14	0.00328331	0.0131057	0.000256911	8.54368e-010
Leiotettix_pulcher	7.10289e-010	0.990084	2.47332e-007	0
N15	0.00990527	1.83645e-006	2.42612e-007	4.88397e-019
Marellia_remipes	8.76613e-006	7.71793e-008	4.72039e-009	0
Scotussa_lemniscata	8.76613e-006	7.71793e-008	4.72039e-009	0
Scotussa_impudica	0.00555341	0.00542988	0.000257158	8.1086e-010
Scotussa_daguerrei	0.00221154	0.994931	0.000399578	0
N16	7.60303e-005	0.296446	0.0042252	1.59505e-017
N17	9.11626e-005	0.0339093	0.000577173	4.66093e-016
N18	0.00113144	0.0618524	0.000480043	2.41736e-010
N19	0.0148856	0.0202024	0.000136026	1.59843e-010
Chlorus_bolivianus	3.20129e-006	1.59724	0.000227137	0
Ommexecha_sp	0.389973	0.0132665	0.000227137	9.35161e-007
Tropidostethus_sp	0.00148032	0.603053	0.000363153	0
N20	0.0011019	0.0588416	0.000426159	1.46032e-010
N21	0.0110021	0.0166945	9.78741e-005	3.84441e-010
Dichroplus_maculipennis	0.382896	0.0242387	0.000319167	1.19824e-006
Dichroplus_vittatus	7.8924e-006	1.59912	0.000319166	0
Leiotettix_flavipes	0.00142638	0.605971	0.000417037	0
Ronderosia_sp	0.00272236	0.698658	0.00142038	0
N22	0.00469997	0.00885443	0.397059	2.21815e-009
Dichroplus_elongatus	0.000431879	0.000619111	0.00444001	0
N23	0.000219405	0.0031694	0.00440656	2.16045e-015
Dichroplus_paraelongatus	0.00299098	3.27873e-007	3.34509e-005	0
Dichroplus_patruelis	6.49771e-011	0.997009	3.34509e-005	0
