#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.285163
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 1.0019
Leiotettix_pulcher: 0.994644
Scotussa_daguerrei: 1.0059
Dichromatos_lilloanus: 1.00475
Dichroplus_pratensis: 1.07797
Dichroplus_silveiraguidoi: 1.99198
Dichroplus_patruelis: 0.922536
Tropidostethus_sp: 0.922606
Chlorus_bolivianus: 1.07265
Ronderosia_sp: 0.967341
Dichroplus_vittatus: 1.36049
Leiotettix_flavipes: 0.990958
Xyleus_laevipes: 0.998727
Total number of loss events: 15.153
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.628001
N9: 0.792224
Dichroplus_conspersus: 0.971627
Dichroplus_pratensis: 0.971523
Dichroplus_democraticus: 1.00138
N23: 0.696268
N26: 0.642103
Paulinia_acuminata: 1
Chlorus_bolivianus: 0.946604
Ronderosia_sp: 0.946599
Dichroplus_maculipennis: 0.633556
Dichroplus_vittatus: 0.633557
Leiotettix_flavipes: 0.726053
Ommatolampis_sp: 1.00457
N32: 0.926817
Prionolopha_serrata: 0.886233
Xyleus_modestus: 0.886233
N39: 0.605692
Diponthus_sp: 0.932621
N41: 0.931504
N43: 1.82258
Total number of duplication events: 22.189
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.00175092
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0116346	0.0587744	0.628001	6.947e-014
N3	0.00137566	0.00399507	0.216125	5.1855e-015
N4	0.000207259	0.000238349	0.0371594	2.46974e-016
N5	0.00103546	0.00111589	0.0277896	6.37314e-017
N6	0.000125665	0.000171699	0.0044563	4.44498e-020
N7	2.8577e-007	4.01689e-006	8.15896e-005	5.98472e-027
N8	4.15797e-006	8.28203e-008	2.04574e-005	1.33132e-024
N9	2.62521e-005	8.96496e-005	0.792224	1.15476e-016
N10	4.82176e-005	2.25373e-006	0.0402948	1.0145e-013
N11	0.000204939	0.000475329	0.156079	1.5926e-014
N12	2.7092e-007	3.48355e-006	0.00391068	7.56145e-017
N13	7.59691e-006	0.00110159	0.00235729	7.6511e-016
Atrachelacris_sp	4.50837e-005	1.0019	0.00513577	0
Pseudoscopas_nigrigena	0.00233391	0.00416496	0.00513577	1.80877e-013
N14	0.000552625	0.000422544	0.00656898	2.62193e-012
N15	0.000387355	0.00572675	0.000919002	2.01435e-015
Leiotettix_pulcher	5.73756e-007	0.994644	0	0
Scotussa_lemniscata	0.00545744	0.000107385	6.38928e-006	0
N16	0.000262487	0.000248225	0.000789776	1.3309e-014
Marellia_remipes	0.000238922	0.000245107	0.000135615	0
Scotussa_impudica	0.000238922	0.000245107	0.000135615	0
Scotussa_daguerrei	8.23756e-005	1.0059	0.0114051	0
Leiotettix_viridis	0.00240262	0.0105686	0.167484	6.49493e-013
Dichromatos_lilloanus	0.002983	1.00475	0.207779	0
N17	5.93878e-007	1.8126e-007	1.61583e-006	2.89505e-024
N18	1.45786e-007	8.26155e-007	6.34681e-007	5.73737e-025
N19	5.77389e-007	0.00012292	3.51923e-008	8.48028e-028
N20	9.08866e-006	0.0022121	0.0284777	1.18646e-016
Dichroplus_conspersus	0.00247763	0.00398835	0.971627	6.60264e-009
Dichroplus_pratensis	4.41876e-006	1.07797	0.971523	0
N21	0.000138785	0.00802383	1.1738e-007	6.13454e-020
Dichroplus_democraticus	0.00557379	0.00489333	1.00138	5.38412e-011
Dichroplus_silveiraguidoi	1.80623e-005	1.99198	1.59536e-005	0
N22	3.17437e-006	4.07207e-007	0.263838	5.0932e-018
N23	0.000351243	0.0033079	0.696268	1.87198e-010
Dichroplus_elongatus	0.00150274	0.00104338	0.0398918	3.75613e-012
N24	0.000202062	0.0764587	0.0394201	1.23007e-014
N25	1.13617e-007	0.000311042	0.000306194	1.0627e-018
Dichroplus_paraelongatus	0.0776864	0.000213737	0.000165405	0
Dichroplus_patruelis	8.97657e-006	0.922536	0.000165405	0
Tropidostethus_sp	9.10673e-006	0.922606	0.00047165	0
N26	0.0003537	0.00144377	0.642103	5.89481e-010
N27	0.000224256	0.000255411	0.0816591	8.61392e-013
N28	0.000233782	0.000242461	0.0123191	1.30921e-016
Dichroplus_exilis	1.91697e-008	3.1113e-007	7.91988e-005	0
Dichroplus_fuscus	1.91697e-008	3.1113e-007	7.91988e-005	0
Dichroplus_schulzi	0.000362582	0.000371372	0.0123983	0
Ommexecha_sp	0.000800186	0.00216667	0.0940574	8.14415e-012
Paulinia_acuminata	0.00170712	0.00512185	1	8.71903e-015
N29	5.35308e-006	0.0179978	0.0371861	1.66739e-019
Chlorus_bolivianus	5.49538e-005	1.07265	0.946604	0
Ronderosia_sp	0.0297776	0.967341	0.946599	0
N30	0.000107529	0.0108085	0.274053	1.3613e-009
N31	0.000471883	0.00900222	0.0924986	2.16581e-010
Dichroplus_maculipennis	0.0170974	0.0060357	0.633556	2.47883e-007
Dichroplus_vittatus	5.80829e-006	1.36049	0.633557	0
Leiotettix_flavipes	0.0114799	0.990958	0.726053	0
Ommatolampis_sp	0.00520135	0.013926	1.00457	1.50098e-007
N32	0.00253504	0.00650689	0.926817	5.65405e-007
N33	0.000518497	0.00134959	0.0957468	2.3076e-011
N34	4.83386e-006	1.34295e-005	0.00405172	3.05433e-014
Dichromorpha_sp	0.000406885	0.00122889	0.00580313	8.48564e-015
Hyalopteryx_rufipennis	0.000406885	0.00122889	0.00580313	8.48564e-015
Schistocerca_flavofasciata	0.000570054	0.00172594	0.00985487	5.40998e-014
N35	1.2444e-005	2.31746e-005	0.00993022	6.71525e-012
Leptysma_sp	0.00162961	0.00711095	0.0956713	7.8884e-012
N36	0.00159937	0.00663655	0.0956208	8.25864e-012
Schistocerca_cancellata	2.27596e-008	8.61444e-007	5.05741e-005	0
Schistocerca_pallens	2.27596e-008	8.61444e-007	5.05741e-005	0
N37	0.000147439	0.000201177	0.139053	1.29417e-008
N38	0.000117136	7.57496e-005	0.0452572	2.19651e-010
Prionolopha_serrata	0.00723019	0.0329632	0.886233	4.88005e-007
Xyleus_modestus	0.00723019	0.0329632	0.886233	4.88005e-007
N39	0.00130333	0.0120712	0.605692	1.34205e-007
Xyleus_insignis	0.010573	0.0250676	0.324787	4.27201e-008
Xyleus_laevipes	0.00481074	0.998727	0.324777	0
N40	0.00218938	0.00629506	0.354913	2.67759e-006
Diponthus_sp	0.0113139	0.0566455	0.932621	6.1065e-006
N41	0.00945341	0.0457341	0.931504	7.22924e-006
Zoniopoda_hempeli	0.000231372	0.000238433	0.0011378	0
N42	5.86288e-016	1.5838e-006	7.56884e-005	5.74149e-017
Zoniopoda_omnicolor	0.000231162	0.000236677	0.00106211	0
Zoniopoda_tarsata	0.000231162	0.000236677	0.00106211	0
