#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.207841
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.99745
Leiotettix_pulcher: 0.993769
Scotussa_daguerrei: 0.915402
Ronderosia_sp: 0.999736
Dichroplus_pratensis: 1.17707
Dichroplus_silveiraguidoi: 1.99468
Dichroplus_patruelis: 0.995731
N24: 0.882929
Leiotettix_flavipes: 0.994275
Dichroplus_vittatus: 1.29567
Xyleus_laevipes: 0.998072
Total number of loss events: 12.8642
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Ronderosia_sp: 0.530423
Dichroplus_conspersus: 0.842396
Dichroplus_pratensis: 0.842393
Dichroplus_democraticus: 1.00088
N20: 0.942724
N22: 0.872904
N24: 0.991815
N26: 0.5991
Dichroplus_maculipennis: 0.728784
Dichroplus_vittatus: 0.728781
Pseudoscopas_nigrigena: 0.869344
Ommatolampis_sp: 1.00827
N31: 0.745857
N41: 0.536583
N43: 1.35905
Total number of duplication events: 19.2382
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 3.44621e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N14:ML=12 to Chlorus_bolivianus:ML=10  ProbOfChange = 0.999429  sum expections= 0.0937083
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 2	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0028173	0.00538697	0.347714	2.97752e-016
N3	3.69512e-005	1.82114e-005	0.00827172	1.04548e-019
N4	0.000463547	0.000496611	0.00804746	8.36757e-018
N5	4.25118e-007	2.20128e-006	0.000191939	3.27446e-023
N6	8.64639e-008	5.0512e-007	2.51935e-005	2.72741e-026
N7	1.24451e-008	6.93085e-008	4.64843e-007	2.31136e-028
N8	1.17472e-007	3.35515e-007	0.468511	1.02031e-018
N9	1.6325e-005	0.000850888	0.337868	1.06664e-013
N10	0.000261419	0.00091823	0.159821	2.18897e-014
Atrachelacris_sp	0.000397729	0.99745	0.0327328	0
N11	0.0018028	1.93568e-005	0.0170288	1.30665e-012
N12	0.000448574	0.0058774	0.0156551	3.54806e-012
Leiotettix_pulcher	1.88506e-010	0.993769	6.36543e-013	0
Scotussa_lemniscata	0.00618152	4.31526e-007	4.88049e-005	0
Scotussa_impudica	0.0011777	0.000484916	0.0157039	3.59989e-012
N13	9.95625e-005	0.0829138	0.134326	2.84771e-014
N14	0.00319543	0.0137943	0.0424677	3.7266e-012
Chlorus_bolivianus	0	2	0	0
Ommexecha_sp	0.0935924	1.87292e-007	0.0156448	0
Scotussa_daguerrei	0.000838444	0.915402	0.0582283	0
Ronderosia_sp	0.00964235	0.999736	0.530423	0
N15	7.07518e-007	1.59947e-006	6.51876e-008	7.4648e-025
N16	0.000203563	0.00644044	0.157604	2.02037e-013
Dichroplus_conspersus	0.0062118	0.000561213	0.842396	4.89797e-008
Dichroplus_pratensis	5.46244e-007	1.17707	0.842393	0
N17	1.81085e-006	7.39169e-007	1.84647e-008	4.02568e-022
N18	6.76249e-007	3.5683e-006	2.50261e-009	1.51456e-024
N19	2.42473e-006	0.00532378	3.54786e-009	5.20364e-025
Dichroplus_democraticus	0.00404396	0.00158498	1.00088	8.98503e-011
Dichroplus_silveiraguidoi	3.36627e-006	1.99468	4.73916e-006	0
N20	0.000470011	0.00135758	0.942724	9.00984e-013
N21	0.000112011	0.000117783	0.057241	1.14213e-016
Dichroplus_exilis	1.08548e-009	1.76693e-008	3.50159e-005	0
Dichroplus_fuscus	1.08548e-009	1.76693e-008	3.50159e-005	0
Dichroplus_schulzi	0.000113328	0.0001191	0.057276	0
N22	0.000492484	0.000505652	0.872904	1.01723e-013
Dichroplus_elongatus	0.000243186	0.000239032	0.127096	1.64305e-012
N23	0.000218527	0.00388821	0.126501	1.6108e-012
Dichroplus_paraelongatus	0.00367387	2.55969e-007	0.000594933	0
Dichroplus_patruelis	2.91936e-010	0.995731	4.11703e-012	0
N24	0.0124907	0.882929	0.991815	6.11415e-016
Dichromatos_lilloanus	0.000806685	0.117771	0.0081855	0
Tropidostethus_sp	0.000806685	0.117771	0.0081855	0
N25	3.31847e-006	2.16839e-006	0.369765	2.75711e-014
N26	0.000603093	0.00693552	0.5991	1.03499e-012
Leiotettix_flavipes	3.01528e-006	0.994275	0.0311612	0
Marellia_remipes	0.00598866	0.000261977	0.0311612	1.06394e-011
N27	0.000115388	0.000119627	0.374057	2.18589e-012
