#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.727286
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.861684
Chlorus_bolivianus: 1.85866
Dichromatos_lilloanus: 0.860829
Leiotettix_pulcher: 0.93708
N16: 0.862996
Dichroplus_vittatus: 1.61851
Ronderosia_sp: 0.621863
Leiotettix_flavipes: 0.677566
Dichroplus_patruelis: 0.998348
Dichroplus_silveiraguidoi: 1.99138
Dichroplus_pratensis: 1.06035
Xyleus_laevipes: 0.996435
Total number of loss events: 13.9068
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.806152
Dichroplus_democraticus: 1
Ommexecha_sp: 0.998362
N27: 0.761134
Dichroplus_pratensis: 1
Marellia_remipes: 0.503372
N31: 0.898855
N36: 0.533694
N43: 1.09359
Total number of duplication events: 11.0751
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 4.74065e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00174499	0.00232928	0.108409	2.27789e-017
N3	8.58351e-006	1.34783e-005	0.00291587	6.18298e-020
N4	0.000536264	0.000542762	0.00147312	6.03567e-022
N5	2.30581e-007	1.721e-006	3.41179e-005	6.78803e-027
N6	2.64894e-008	6.66694e-005	0.806152	8.44606e-021
N7	6.28112e-008	0.101934	0.186435	4.20275e-021
N8	0.0001547	0.0021648	0.00585565	4.61411e-021
N9	5.24324e-006	0.0351928	0.000488587	2.48757e-021
N10	1.15517e-010	0.00119897	3.53051e-005	6.1073e-021
N11	0.00214351	0.000141808	0.000436964	6.19779e-015
Atrachelacris_sp	6.37407e-005	0.861684	0.000579724	0
N12	0.136155	0.000208506	0.000375799	4.79036e-011
Leiotettix_viridis	0.00214939	0.000384645	0.000203926	0
Pseudoscopas_nigrigena	0.00214939	0.000384645	0.000203926	0
Chlorus_bolivianus	1.59515e-009	1.85866	0.00101673	0
Dichromatos_lilloanus	4.40228e-005	0.860829	0.00105206	0
N13	0.00665828	0.00102131	0.00148911	4.77345e-017
N14	0.0377323	3.72553e-006	1.58708e-005	7.0603e-015
N15	0.00295708	0.00525788	4.55015e-005	3.44509e-014
Leiotettix_pulcher	3.696e-009	0.93708	1.74859e-007	0
Scotussa_lemniscata	0.0629196	6.47647e-007	1.74859e-007	0
Scotussa_impudica	0.0592604	0.00277579	4.56764e-005	0
N16	4.52923e-007	0.862996	6.13078e-005	4.81413e-018
Scotussa_daguerrei	2.40374e-007	0.0386255	2.39302e-007	0
Tropidostethus_sp	2.40374e-007	0.0386255	2.39302e-007	0
N17	3.41669e-006	0.220592	0.00389946	9.31345e-018
N18	0.000248901	0.0559239	0.00172666	1.82765e-015
N19	0.0038367	0.00552296	0.000184474	5.51775e-014
Dichroplus_maculipennis	0.379948	2.27015e-006	0.0016028	0
Dichroplus_vittatus	7.68115e-007	1.61851	0.0016028	0
Ronderosia_sp	0.00012641	0.621863	0.00178727	0
Leiotettix_flavipes	0.000154399	0.677566	0.00351395	0
N20	7.55034e-005	2.7806e-006	0.0761104	3.55449e-013
N21	6.58303e-005	0.000211195	0.115217	1.41702e-012
Dichroplus_elongatus	1.855e-005	5.88861e-006	0.00252108	0
N22	3.42401e-007	0.00163919	0.00249501	2.12097e-017
Dichroplus_paraelongatus	0.00165162	9.06996e-008	2.60676e-005	0
Dichroplus_patruelis	1.30081e-011	0.998348	2.60676e-005	0
Diponthus_sp	0.000388922	0.00135655	0.117738	1.41895e-012
N23	1.36652e-007	5.20758e-005	5.45287e-007	6.81164e-029
N24	4.98572e-005	1.49157e-007	2.50137e-008	1.11826e-022
N25	0.000128841	0.000152619	5.19641e-008	6.55986e-022
Dichroplus_democraticus	0.000520227	0.00149274	1	4.43164e-011
N26	0.000512077	0.00908859	2.51107e-007	8.58984e-021
