#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.497594
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.822745
Leiotettix_pulcher: 0.824079
Tropidostethus_sp: 0.821623
Scotussa_daguerrei: 0.823583
Dichromatos_lilloanus: 0.997551
Chlorus_bolivianus: 1.81301
Ronderosia_sp: 0.922694
Dichroplus_pratensis: 1.04982
Dichroplus_silveiraguidoi: 1.99519
Dichroplus_patruelis: 0.998083
Dichroplus_vittatus: 1.50074
Leiotettix_flavipes: 0.988699
Xyleus_laevipes: 0.989699
Total number of loss events: 14.9621
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.772495
Dichroplus_conspersus: 0.986965
Dichroplus_pratensis: 0.986965
Dichroplus_democraticus: 1.00052
N23: 0.694155
Leiotettix_flavipes: 0.657975
N32: 0.571606
Prionolopha_serrata: 0.547086
N39: 0.534507
Xyleus_modestus: 0.644852
N40: 0.835769
Diponthus_sp: 0.795529
N43: 0.765814
Total number of duplication events: 14.7556
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 6.74279e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000469735	0.00048961	0.0240748	1.61673e-024
N3	6.38323e-006	3.52493e-006	0.00062525	1.22851e-022
N4	0.00047088	0.00047591	0.000630887	1.99787e-021
N5	2.63767e-006	3.34468e-006	1.67586e-005	3.09212e-024
N6	2.56544e-008	1.02521e-007	0.772495	5.64946e-018
N7	1.18098e-005	0.000813146	0.189722	1.67139e-016
N8	1.61136e-006	0.174034	0.0356713	1.54592e-016
N9	0.00021421	0.00105106	0.000448246	4.83839e-017
Atrachelacris_sp	2.12732e-009	0.822745	7.83887e-005	0
N10	0.00573285	6.02965e-005	6.24041e-005	1.26426e-016
N11	1.78644e-005	0.00681279	7.32826e-006	1.41334e-017
N12	0.0057522	0.00329696	8.59435e-006	3.89139e-014
Leiotettix_pulcher	3.63606e-009	0.824079	0	0
Scotussa_lemniscata	0.175921	2.28164e-007	2.93579e-008	0
Tropidostethus_sp	9.73212e-009	0.821623	8.62371e-006	0
Scotussa_impudica	0.160143	0.0228778	1.59824e-005	1.53379e-015
Scotussa_daguerrei	1.73769e-008	0.823583	0.000526922	0
N13	0.000116983	0.000177781	0.0269198	4.39629e-016
Dichromatos_lilloanus	1.0554e-008	0.997551	0.00927594	0
N14	0.00242976	1.57935e-006	0.00642902	8.03129e-015
N15	2.1486e-005	6.90696e-006	0.00269626	7.58524e-014
Leiotettix_viridis	2.94837e-007	3.97401e-006	0.000150643	0
Paulinia_acuminata	2.94837e-007	3.97401e-006	0.000150643	0
N16	2.40082e-005	4.57898e-006	0.00214433	1.20828e-014
Ommexecha_sp	6.16715e-007	5.99538e-006	0.000702568	8.63918e-015
Pseudoscopas_nigrigena	6.16715e-007	5.99538e-006	0.000702568	8.63918e-015
N17	1.73335e-005	0.0758444	0.104122	2.19532e-014
N18	0.000920495	0.00580325	0.0140644	6.77243e-012
Chlorus_bolivianus	4.48654e-007	1.81301	0.107835	0
Marellia_remipes	0.0755417	0.0120532	0.107835	3.17705e-008
Ronderosia_sp	6.1295e-005	0.922694	0.121899	0
N19	5.41361e-008	2.18342e-007	1.51587e-007	7.95672e-027
N20	1.38644e-007	0.0001374	6.64032e-009	3.76464e-028
N21	1.35195e-006	0.000631011	0.0130262	6.87078e-018
Dichroplus_conspersus	0.00160799	0.00086795	0.986965	1.3468e-010
Dichroplus_pratensis	0.0093931	1.04982	0.986965	0
N22	0.000121082	0.00477819	1.69163e-009	4.224e-022
Dichroplus_democraticus	0.00351002	0.000773093	1.00052	6.19663e-012
Dichroplus_silveiraguidoi	2.82969e-006	1.99519	2.33915e-006	0
N23	1.67084e-007	8.73337e-008	0.694155	3.14105e-017
N24	9.38766e-007	6.71978e-007	0.107902	4.95086e-016
N25	3.8587e-006	0.000236266	0.191795	4.7196e-015
Dichroplus_elongatus	1.53448e-005	3.90861e-006	0.00614717	0
N26	2.76995e-007	0.00185946	0.00610028	1.30756e-017
Dichroplus_paraelongatus	0.00187065	6.7119e-008	4.68882e-005	0
Dichroplus_patruelis	1.33403e-011	0.998083	0	0
N27	8.56063e-006	8.85156e-006	0.16967	8.30283e-015
N28	6.56173e-007	8.70624e-006	0.0282333	6.11452e-014
Dichroplus_exilis	4.93692e-009	7.1184e-008	3.84134e-005	0
Dichroplus_fuscus	4.93692e-009	7.1184e-008	3.84134e-005	0
Dichroplus_schulzi	5.90334e-007	8.71337e-006	0.0282717	6.09817e-014
Ommatolampis_sp	0.000696707	0.00135419	0.305844	2.8629e-015
N29	3.50987e-006	0.0113123	0.34204	4.7143e-015
N30	0.000575321	0.00996724	0.163762	5.97332e-011
Dichroplus_maculipennis	0.0196344	0.00124638	0.494213	5.1294e-008
Dichroplus_vittatus	2.8914e-006	1.50074	0.494213	0
Leiotettix_flavipes	0.000270398	0.988699	0.657975	0
N31	0.000180568	0.000167536	0.428178	2.44918e-012
N32	0.00198188	0.00613389	0.571606	2.54571e-010
N33	8.63729e-008	1.43596e-006	0.000671603	2.36592e-019
Dichromorpha_sp	5.14925e-009	1.2887e-007	0.00019274	0
Hyalopteryx_rufipennis	5.14925e-009	1.2887e-007	0.00019274	0
Leptysma_sp	4.54937e-008	1.51902e-006	0.000864342	0
N34	0.000823825	0.00145438	0.49365	6.40883e-010
N35	2.80205e-006	0.000570102	0.0787605	1.44644e-011
Schistocerca_cancellata	6.57504e-009	1.24602e-007	5.95285e-005	0
Schistocerca_pallens	6.57504e-009	1.24602e-007	5.95285e-005	0
Schistocerca_flavofasciata	2.72144e-006	0.000579035	0.07882	1.44557e-011
N36	3.94691e-006	3.50081e-006	0.163885	4.05642e-015
N37	6.35702e-006	7.06651e-006	0.192532	3.76675e-012
N38	1.75769e-005	2.91894e-005	0.0977644	2.23188e-012
Prionolopha_serrata	0.00219785	0.00760708	0.547086	5.73299e-010
N39	0.00141277	0.0148187	0.534507	1.21187e-010
Xyleus_insignis	0.0103221	2.22299e-005	0.0125792	1.26099e-011
Xyleus_laevipes	5.72105e-007	0.989699	0.0125792	0
Xyleus_modestus	0.00291863	0.00915138	0.644852	2.81388e-011
N40	0.00350117	0.00858601	0.835769	1.17013e-008
N41	1.49299e-007	3.96962e-006	0.00148815	5.57147e-019
Zoniopoda_hempeli	6.48314e-009	1.30343e-007	0.000131174	0
Zoniopoda_omnicolor	6.48314e-009	1.30343e-007	0.000131174	0
Zoniopoda_tarsata	1.02959e-007	4.02829e-006	0.00161932	0
N42	0.000543443	0.000501576	0.230095	6.42427e-013
Diponthus_sp	0.00415122	0.0174731	0.795529	2.53411e-007
N43	0.00392054	0.010253	0.765814	3.242e-007
Trimerotropis_ochraceipennis	2.44573e-006	0.000110423	0.0294713	1.26842e-011
Trimerotropis_pallidipennis	2.44573e-006	0.000110423	0.0294713	1.26842e-011
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00117729	0.999616	1.02376	3.75766e-016
Leiotettix_pulcher	0.0126802	1.01112	1.02376	3.94302e-014
Scotussa_lemniscata	0.188602	0.187041	1.02376	3.94302e-014
Tropidostethus_sp	0.00692802	1.00537	1.02376	5.16326e-016
Scotussa_impudica	0.167053	0.199809	1.02376	2.03599e-015
Scotussa_daguerrei	0.0009631	0.999402	1.02376	3.27383e-016
Dichromatos_lilloanus	0.00107847	0.999515	1.02376	6.1242e-016
Leiotettix_viridis	0.00353	0.00197588	1.02376	8.44961e-014
Paulinia_acuminata	0.00353	0.00197588	1.02376	8.44961e-014
Ommexecha_sp	0.00353284	0.00197557	1.02376	2.93657e-014
Pseudoscopas_nigrigena	0.00353284	0.00197557	1.02376	2.93657e-014
Chlorus_bolivianus	0.00188794	1.89563	1.02386	6.79439e-012
Marellia_remipes	0.0774292	0.0946733	1.02386	3.17773e-008
Ronderosia_sp	0.00102829	0.99951	1.02386	2.19589e-014
Dichroplus_conspersus	0.00255917	0.00260897	1.02534	1.3468e-010
Dichroplus_pratensis	0.0103443	1.05156	1.02534	6.87291e-018
Dichroplus_democraticus	0.00458093	0.00666129	1.02587	6.19663e-012
Dichroplus_silveiraguidoi	0.00107374	2.00108	0.0253502	2.54784e-021
Dichroplus_elongatus	0.000969999	0.00121354	1.02535	5.24609e-015
Dichroplus_paraelongatus	0.00282559	0.00306916	1.02535	5.25917e-015
Dichroplus_patruelis	0.000954931	1.00115	1.0253	5.25917e-015
Dichroplus_exilis	0.000960017	0.000990995	1.02535	6.99745e-014
Dichroplus_fuscus	0.000960017	0.000990995	1.02535	6.99745e-014
Dichroplus_schulzi	0.000959947	0.000990931	1.02535	6.9811e-014
Ommatolampis_sp	0.00164656	0.00232689	1.02535	2.89431e-015
Dichroplus_maculipennis	0.0211602	0.0234949	1.02535	5.13537e-008
Dichroplus_vittatus	0.00152872	1.52298	1.02535	5.97379e-011
