#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.184002
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999277
N13: 0.988591
Scotussa_daguerrei: 0.99689
Chlorus_bolivianus: 1.84443
Ronderosia_sp: 0.875357
Dichromatos_lilloanus: 0.999801
Dichroplus_pratensis: 1.0548
Dichroplus_silveiraguidoi: 1.9972
Dichroplus_patruelis: 0.999506
Leiotettix_flavipes: 0.999751
Dichroplus_vittatus: 1.30036
Xyleus_laevipes: 0.991615
Total number of loss events: 14.267
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.776872
Dichroplus_conspersus: 0.973128
Dichroplus_pratensis: 0.973128
Dichroplus_democraticus: 1.00028
Ommatolampis_sp: 1
N24: 0.944619
N26: 0.996198
Leiotettix_flavipes: 0.687088
Leiotettix_viridis: 0.68709
Dichroplus_maculipennis: 0.708203
Dichroplus_vittatus: 0.708202
Pseudoscopas_nigrigena: 0.847685
N32: 0.728413
N34: 0.728446
N37: 0.758923
N43: 1.03003
Total number of duplication events: 16.8423
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 8.82025e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000803397	0.0010381	0.0670589	5.61114e-019
N3	0.000261377	0.000268006	0.00444552	2.85303e-021
N4	0.000257909	0.000263	0.000689339	6.55358e-024
N5	5.51601e-008	1.74293e-007	2.86925e-006	1.24846e-027
N6	0.000110569	0.000110386	2.8265e-006	7.16606e-029
N7	2.46205e-005	0.000224354	0.776872	7.07263e-017
N8	0.000102736	2.84594e-005	0.171315	4.60722e-015
N9	7.23307e-006	0.000606346	0.0434643	4.71579e-017
Atrachelacris_sp	4.28608e-007	0.999277	0.0083485	0
N10	0.000661892	5.94867e-006	0.00780692	7.29947e-016
N11	3.37667e-005	8.10811e-006	0.000373226	1.33136e-016
N12	0.000112834	0.00537491	0.000167229	1.49989e-018
N13	2.22173e-010	0.988591	1.37618e-008	9.38247e-024
Leiotettix_pulcher	1.35387e-009	0.00610456	9.65617e-011	0
Tropidostethus_sp	1.35387e-009	0.00610456	9.65617e-011	0
Scotussa_lemniscata	0.00530347	1.27084e-007	1.12783e-006	0
Scotussa_impudica	0.000282572	0.000245353	0.000168357	0
N14	0.000117268	0.00316059	0.000530524	5.57155e-018
Ommexecha_sp	0.00311078	5.67954e-007	1.10599e-005	0
Scotussa_daguerrei	3.40057e-007	0.99689	1.10599e-005	0
N15	1.15772e-005	0.000574048	0.0145827	8.51121e-017
N16	0.000100252	0.124893	0.00618395	1.16338e-016
Chlorus_bolivianus	1.33916e-007	1.84443	0.0310461	0
N17	0.00360085	0.00309076	0.0307638	2.10145e-012
Marellia_remipes	0.124656	3.93713e-007	0.000282356	0
Ronderosia_sp	1.3335e-005	0.875357	0.000282331	0
Paulinia_acuminata	0.00137463	0.00100036	0.0372301	3.91886e-013
Dichromatos_lilloanus	0.0018756	0.999801	0.223128	0
N18	0.00010966	0.000113358	1.03345e-007	3.3498e-027
N19	0.000104017	0.00131773	0.0268722	6.96728e-017
Dichroplus_conspersus	0.00164726	0.000508717	0.973128	6.01293e-010
Dichroplus_pratensis	1.53814e-006	1.0548	0.973128	0
N20	0.000114049	0.000110282	1.08029e-008	8.67633e-024
N21	1.37496e-007	3.64316e-007	4.35789e-009	8.29665e-026
N22	4.13959e-007	3.24602e-006	5.34544e-010	6.10928e-027
N23	0.000111652	0.00290237	7.03928e-010	6.77195e-027
Dichroplus_democraticus	0.00223353	0.000281031	1.00028	0
Dichroplus_silveiraguidoi	7.07083e-007	1.9972	4.15268e-007	0
Ommatolampis_sp	0.000512324	0.000509668	1	9.75071e-014
N24	1.57938e-005	1.41492e-005	0.944619	3.48197e-016
N25	2.27077e-007	1.9342e-006	0.0551229	7.16055e-017
Dichroplus_exilis	5.77893e-009	7.20284e-008	0.000257903	0
Dichroplus_fuscus	5.77893e-009	7.20284e-008	0.000257903	0
Dichroplus_schulzi	0.000108542	0.000110291	0.0553808	0
N26	0.000508591	0.000513445	0.996198	7.24696e-015
Dichroplus_elongatus	4.71081e-006	3.2257e-007	0.00380195	0
N27	3.4124e-008	0.000489027	0.00369308	8.09388e-019
Dichroplus_paraelongatus	0.000494304	1.64327e-008	0.000107966	0
Dichroplus_patruelis	1.35241e-012	0.999506	0.000107966	0
N28	7.56434e-005	0.00032754	0.312913	1.06091e-019
Leiotettix_flavipes	0.00452815	0.999751	0.687088	0
Leiotettix_viridis	0.00116475	0.00239444	0.68709	9.92717e-012
N29	0.000103073	0.000116937	0.152322	5.35946e-019
N30	0.000246944	0.00700464	0.139482	7.63583e-014
Dichroplus_maculipennis	0.0065011	0.00025982	0.708203	2.95035e-008
Dichroplus_vittatus	4.58978e-006	1.30036	0.708202	0
Pseudoscopas_nigrigena	0.000839979	0.00165235	0.847685	1.47621e-011
N31	0.000100641	9.14072e-005	0.262108	9.05613e-014
N32	0.000912123	0.0023845	0.728413	1.09122e-010
Dichromorpha_sp	0.000114878	0.00012441	0.0101743	0
N33	6.75721e-007	9.8791e-006	0.00952674	1.93517e-015
Hyalopteryx_rufipennis	3.32613e-008	4.97457e-007	0.000647569	0
Leptysma_sp	3.32613e-008	4.97457e-007	0.000647569	0
N34	0.000865874	0.00293967	0.728446	1.13415e-010
N35	4.05082e-007	1.20561e-005	0.0101393	9.9021e-018
Schistocerca_cancellata	0	3.36454e-009	2.21914e-006	0
Schistocerca_pallens	0	3.36454e-009	2.21914e-006	0
Schistocerca_flavofasciata	4.02586e-007	1.20556e-005	0.0101415	0
N36	9.71912e-005	9.79341e-005	0.243192	3.8197e-013
N37	0.00245719	0.00891393	0.758923	3.83278e-011
Diponthus_sp	2.14431e-007	8.69262e-006	0.00302804	0
N38	2.22789e-007	8.68833e-006	0.00300787	2.1435e-017
Zoniopoda_hempeli	6.14326e-010	1.47231e-008	2.0167e-005	0
N39	1.748e-014	1.26405e-008	9.63559e-006	1.31068e-024
Zoniopoda_omnicolor	7.87591e-010	9.54817e-009	1.05314e-005	0
Zoniopoda_tarsata	7.87591e-010	9.54817e-009	1.05314e-005	0
N40	0.000221331	0.000237338	0.485136	2.55339e-011
N41	6.26053e-005	4.55526e-005	0.0743859	4.03384e-012
Prionolopha_serrata	0.00136506	0.0039878	0.202427	1.27963e-011
Xyleus_modestus	0.00136506	0.0039878	0.202427	1.27963e-011
N42	0.00082493	0.00994673	0.259359	5.01032e-012
Xyleus_insignis	0.00875978	0.000887225	0.0174541	0
Xyleus_laevipes	5.17062e-006	0.991615	0.017454	0
N43	0.00358631	0.0125162	1.03003	8.51571e-007
Trimerotropis_ochraceipennis	0.000503007	0.000713209	0.0422447	0
Trimerotropis_pallidipennis	0.000503007	0.000713209	0.0422447	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00156833	1.00182	1.0722	4.72567e-015
Leiotettix_pulcher	0.00237639	1.00262	1.0722	5.59025e-015
Tropidostethus_sp	0.00237639	1.00262	1.0722	5.59025e-015
