#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.137069
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N10: 0.8875
Chlorus_bolivianus: 1.01173
Leiotettix_pulcher: 0.99795
Scotussa_daguerrei: 0.998499
Ronderosia_sp: 0.999762
Dichroplus_pratensis: 1.31297
Dichroplus_patruelis: 0.997751
Dichroplus_silveiraguidoi: 1.99445
Leiotettix_flavipes: 0.999999
Dichroplus_vittatus: 1.64374
Xyleus_laevipes: 0.991525
Tropidostethus_sp: 0.995412
Total number of loss events: 14.2532
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N9: 0.697113
Ronderosia_sp: 0.707234
Dichroplus_conspersus: 0.691463
Dichroplus_pratensis: 0.691463
N20: 0.526258
N22: 0.506124
Dichroplus_democraticus: 1.00129
Leiotettix_flavipes: 1.00015
N25: 0.533649
Pseudoscopas_nigrigena: 1.00062
N27: 0.721278
N41: 1.07811
N43: 1.12889
Total number of duplication events: 14.0681
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.76908e-005
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00180755	0.00247577	0.151874	5.5891e-015
N3	0.000318381	0.000446029	0.0517925	7.93457e-016
N4	0.00266027	0.00276958	0.028545	8.36057e-017
N5	7.29119e-007	4.1568e-006	0.000251048	2.11794e-021
N6	2.05755e-006	5.03755e-006	0.000209937	1.99558e-022
N7	0.000123258	0.000121402	0.000152611	6.57094e-021
N8	1.31182e-007	3.88827e-007	0.292529	1.00846e-017
N9	0.000110887	0.00128305	0.697113	6.29504e-017
N10	2.33322e-005	0.8875	0.00942777	2.14006e-019
Atrachelacris_sp	0.000854177	0.111939	0.000692923	0
N11	6.84264e-006	0.0989304	0.000252214	7.94661e-017
Chlorus_bolivianus	7.38814e-007	1.01173	0.000440682	0
Dichromatos_lilloanus	0.00242619	0.0145468	0.000440681	0
N12	0.000630539	2.62624e-006	0.0036486	1.57018e-016
N13	0.000237451	0.000957095	0.00449494	1.07545e-014
N14	0.00164855	0.000937084	0.00179809	6.4074e-012
N15	0.000223092	0.00207839	0.000164801	3.73502e-015
Leiotettix_pulcher	4.08759e-010	0.99795	1.42468e-005	0
Scotussa_lemniscata	0.002398	0.00057851	1.42468e-005	0
Scotussa_impudica	0.000577448	0.000904499	0.000179048	6.35118e-014
Scotussa_daguerrei	5.24858e-005	0.998499	0.00197714	0
Leiotettix_viridis	0.00188842	0.00288471	0.00647209	9.01015e-011
Ronderosia_sp	0.0149426	0.999762	0.707234	0
N16	2.23432e-007	1.09516e-006	5.17298e-007	1.24159e-025
N17	1.18892e-006	1.15365e-006	0.172135	1.90445e-015
N18	0.000437118	0.00716954	0.136403	3.82994e-015
Dichroplus_conspersus	0.00745447	0.00244081	0.691463	3.74242e-008
Dichroplus_pratensis	3.88701e-007	1.31297	0.691463	0
N19	2.13465e-005	1.90316e-005	0.285456	2.76343e-013
N20	0.00112416	0.00141464	0.526258	7.78685e-013
Dichroplus_elongatus	0.000356985	0.000348503	0.0161509	0
N21	0.000219819	0.00240528	0.0160958	1.17903e-016
Dichroplus_paraelongatus	0.00219398	6.12929e-008	5.50523e-005	0
Dichroplus_patruelis	1.40179e-011	0.997751	0	0
N22	0.0010854	0.0013447	0.506124	9.30729e-013
N23	0.00037561	0.000615102	0.0361327	8.98229e-016
Dichroplus_exilis	1.09268e-008	1.81324e-007	0.000152066	0
Dichroplus_fuscus	1.09268e-008	1.81324e-007	0.000152066	0
Dichroplus_schulzi	0.000380713	0.000860467	0.0362848	2.86329e-013
N24	0.000123941	0.00566923	1.0537e-007	9.87402e-024
Dichroplus_democraticus	0.0051846	0.0034845	1.00129	1.93146e-010
Dichroplus_silveiraguidoi	1.05294e-005	1.99445	6.44379e-006	0
Leiotettix_flavipes	0.0150807	0.999999	1.00015	4.80139e-014
N25	0.00163087	0.00168898	0.533649	2.69863e-013
Dichroplus_maculipennis	0.00139369	0.00223366	0.466719	2.10549e-007
N26	0.000495244	0.00941446	0.119356	3.73066e-011
Dichroplus_vittatus	7.42826e-008	1.64374	0.34736	0
Diponthus_sp	0.00874161	0.00117371	0.347361	1.41445e-008
Pseudoscopas_nigrigena	0.00277803	0.00417291	1.00062	1.15316e-013
N27	0.0016372	0.00170552	0.721278	2.76988e-010
N28	0.000201632	0.000189686	0.0681652	7.70921e-012
N29	0.00237362	0.00801767	0.237935	4.09869e-010
N30	5.29777e-007	7.31832e-006	0.00064997	2.44208e-016
Dichromorpha_sp	0.000360551	0.0008434	0.0011117	0
Hyalopteryx_rufipennis	0.000360551	0.0008434	0.0011117	0
