#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.0872492
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Dichromatos_lilloanus: 0.905815
Leiotettix_pulcher: 0.989203
Chlorus_bolivianus: 1.07678
Ronderosia_sp: 0.705453
Dichroplus_pratensis: 1.28867
Dichroplus_silveiraguidoi: 1.99621
Dichroplus_patruelis: 0.999702
Dichroplus_vittatus: 1.34476
Leiotettix_flavipes: 0.999999
Tropidostethus_sp: 0.998033
Xyleus_laevipes: 0.99367
Total number of loss events: 13.9776
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N8: 0.695826
Chlorus_bolivianus: 0.641713
Ronderosia_sp: 0.641713
Dichroplus_conspersus: 0.700749
Dichroplus_pratensis: 0.704729
Dichroplus_democraticus: 1.00058
N20: 0.991619
N22: 0.998861
Dichroplus_maculipennis: 0.650645
Dichroplus_vittatus: 0.650645
Pseudoscopas_nigrigena: 0.759913
Leiotettix_flavipes: 1.00004
N26: 0.999109
N27: 0.640811
N41: 1.00344
N43: 1.01436
Total number of duplication events: 15.7136
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 3.44794e-009
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000267335	0.000303546	0.0273202	5.71027e-022
N3	1.18375e-006	2.17534e-006	0.00105178	3.81168e-021
N4	0.00118269	0.00118602	0.00424431	4.39173e-019
N5	9.61549e-007	5.84173e-006	0.000146122	1.12627e-021
N6	1.26854e-006	7.37644e-007	4.24197e-005	2.19406e-026
N7	3.13779e-009	1.45482e-006	0.225711	2.97843e-022
N8	3.30575e-006	0.00594001	0.695826	1.23587e-017
N9	0	4.10075e-008	0.00386899	9.49218e-021
N10	1.51346e-006	0.492994	0.0424201	3.00247e-017
Atrachelacris_sp	0.000603145	0.41332	0.0257661	0
Scotussa_daguerrei	0.000603145	0.41332	0.0257661	0
Dichromatos_lilloanus	0.000102457	0.905815	0.0681863	4.31262e-018
N11	0.00822514	4.5851e-005	0.0280199	1.04417e-012
N12	0.00026781	0.00778408	0.0441801	1.35781e-010
Leiotettix_pulcher	1.93301e-010	0.989203	0	0
Scotussa_lemniscata	0.0107513	3.37451e-007	4.54166e-005	0
Scotussa_impudica	0.0037482	0.00111483	0.0442255	1.36632e-010
N13	2.32471e-006	0.289159	0.12636	2.28862e-017
Chlorus_bolivianus	0.00055207	1.07678	0.641713	0
Ronderosia_sp	0.0302577	0.705453	0.641713	2.30156e-009
N14	1.86491e-007	2.15517e-008	7.2234e-008	2.74811e-024
N15	3.21037e-007	1.96047e-007	3.05866e-008	8.46998e-024
N16	3.86527e-007	1.17487e-006	4.39224e-009	1.07305e-024
N17	0.000501777	0.00663324	0.29527	4.4128e-015
Dichroplus_conspersus	0.00168028	8.55836e-007	0.700749	0
Dichroplus_pratensis	8.10061e-008	1.28867	0.704729	0
N18	1.74628e-006	7.93059e-006	3.78297e-009	1.0399e-023
N19	8.60219e-007	0.00377701	1.28929e-008	1.82741e-025
Dichroplus_democraticus	0.00262138	0.000581815	1.00058	0
